n	d	lo	hi
10	-3	-4.29022030036105	-1.67202205257635
20	-3	-3.90478144779496	-2.07638289709172
40	-3	-3.63789537280721	-2.35271561734319
80	-3	-3.45070557021172	-2.54461161411589
160	-3	-3.31873466503739	-2.67893639911797
320	-3	-3.22486283638966	-2.77338179491124
640	-3	-3.1592016193783	-2.83960516962789
1280	-3	-3.11266310837146	-2.88676027770882
2560	-3	-3.0797223273772	-2.91998315825678
5120	-3	-3.05640651095449	-2.94345721276682
10	-2.95	-4.22822580874049	-1.63397395780606
20	-2.95	-3.84658799060208	-2.03455922377019
40	-2.95	-3.58219693209671	-2.30841794800601
80	-2.95	-3.3967094622633	-2.49861108789242
160	-2.95	-3.26590231204414	-2.63172659274489
320	-2.95	-3.17291592705288	-2.72535774872303
640	-2.95	-3.10779459869585	-2.79107264142259
1280	-2.95	-3.06168304087637	-2.83774693962147
2560	-2.95	-3.02902568252966	-2.87067173723959
5120	-2.95	-3.00590086547369	-2.8939230658002
10	-2.9	-4.16632440596014	-1.59584972274422
20	-2.9	-3.78846414025198	-1.99272013916726
40	-2.9	-3.52653710638802	-2.26408114848504
80	-2.9	-3.34277335585873	-2.45258277030834
160	-2.9	-3.21311592597301	-2.58454638987738
320	-2.9	-3.12095459752332	-2.67735083963675
640	-2.9	-3.05640063431372	-2.74245078032448
1280	-2.9	-3.01072656324562	-2.78873624594185
2560	-2.9	-2.97830377411927	-2.82140937615466
5120	-2.9	-2.95542788720612	-2.84444787449061
10	-2.85	-4.10451989920671	-1.5576391212451
20	-2.85	-3.7304000142096	-1.9507970603717
40	-2.85	-3.47094472450775	-2.21970028545672
80	-2.85	-3.28882122748725	-2.40651669086841
160	-2.85	-3.16034144379855	-2.53732343336246
320	-2.85	-3.0690550854315	-2.62932246995323
640	-2.85	-3.00502469178996	-2.69382401625738
1280	-2.85	-2.95974912226822	-2.73971367887979
2560	-2.85	-2.92764427757078	-2.77208251421297
5120	-2.85	-2.90493418725269	-2.79493626612084
10	-2.8	-4.04281210080706	-1.51931802664216
20	-2.8	-3.67240928788699	-1.90882708985772
40	-2.8	-3.41537493936576	-2.17528170833603
80	-2.8	-3.23488633849683	-2.36042726796765
160	-2.8	-3.10759263197071	-2.49009165555406
320	-2.8	-3.01710470338184	-2.58123899557413
640	-2.8	-2.95368585893871	-2.6452190006172
1280	-2.8	-2.90876421617963	-2.69066303731287
2560	-2.8	-2.87695629489579	-2.7227776849316
5120	-2.8	-2.85444954192926	-2.74542670256974
10	-2.75	-3.98122070338851	-1.48090183180761
20	-2.75	-3.61449273856322	-1.86673468368746
40	-2.75	-3.35987427850465	-2.13079665997033
80	-2.75	-3.18104914133101	-2.31427048285634
160	-2.75	-3.05484902915296	-2.4428201588057
320	-2.75	-2.96566626438422	-2.53317697717791
640	-2.75	-2.9023321304617	-2.59659352603002
1280	-2.75	-2.85781329446831	-2.64165934103174
2560	-2.75	-2.8262517001848	-2.67345158457383
5120	-2.75	-2.80395774978107	-2.69590366903493
10	-2.7	-3.91975321948937	-1.44241230852073
20	-2.7	-3.55662025511166	-1.82460317849814
40	-2.7	-3.30441162086296	-2.08627046638467
80	-2.7	-3.12719860516081	-2.26813425126719
160	-2.7	-3.00216774964966	-2.39550481500392
320	-2.7	-2.9137630868005	-2.48508563565835
640	-2.7	-2.85099915399021	-2.54793316247152
1280	-2.7	-2.80686039213961	-2.59260305368197
2560	-2.7	-2.7756173055713	-2.62410100100023
5120	-2.7	-2.75348242387066	-2.64638005332478
10	-2.65	-3.85836704665018	-1.40381164835078
