n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	d1.cm	d2.cm	dm.c1	dm.c2	c1.c2	c1.cm	c2.cm	d1.p2	d2.p1	dm.p1	dm.p2	p1.p2	d1.scp2	d2.scp1	dm.scp2	dm.scp1	d1.scpd2	d2.scpd1	dm.scpd2	dm.scpd1	big1	big2
10	10	0	0	0.0452	0.0154867256637168	0.267699115044248	0.4938	0.294247787610619	0.373893805309735	0.469026548672566	0.511061946902655	0.511061946902655	0.513274336283186	0.511061946902655	0.513274336283186	0.513274336283186	0.469026548672566	0.491150442477876	0.513274336283186	0.513274336283186	0.513274336283186	0.0154867256637168	0.0154867256637168	0.0154867256637168	0.0154867256637168	0.0154867256637168	0.0154867256637168	0.0154867256637168	0.0154867256637168	0.511061946902655	0.00221238938053097
20	10	0	0	0.0482	0.029045643153527	0.377593360995851	0.5028	0.479253112033195	0.37551867219917	0.49792531120332	0.466804979253112	0.49792531120332	0.49792531120332	0.49792531120332	0.49792531120332	0.49792531120332	0.493775933609959	0.493775933609959	0.49792531120332	0.49792531120332	0.49792531120332	0.029045643153527	0.029045643153527	0.029045643153527	0.029045643153527	0.0269709543568465	0.029045643153527	0.029045643153527	0.029045643153527	0.435684647302905	0.0622406639004149
40	10	0	0	0.0476	0.023109243697479	0.453781512605042	0.5039	0.512605042016807	0.40546218487395	0.514705882352941	0.457983193277311	0.514705882352941	0.514705882352941	0.514705882352941	0.514705882352941	0.514705882352941	0.514705882352941	0.512605042016807	0.514705882352941	0.514705882352941	0.514705882352941	0.023109243697479	0.023109243697479	0.023109243697479	0.023109243697479	0.0189075630252101	0.023109243697479	0.0210084033613445	0.023109243697479	0.38655462184874	0.128151260504202
80	10	0	0	0.0503	0.0278330019880716	0.479125248508946	0.4964	0.504970178926441	0.383697813121272	0.506958250497018	0.403578528827038	0.506958250497018	0.506958250497018	0.506958250497018	0.506958250497018	0.506958250497018	0.506958250497018	0.500994035785288	0.506958250497018	0.506958250497018	0.506958250497018	0	0.0278330019880716	0.00596421471172962	0.0278330019880716	0.0178926441351889	0.0278330019880716	0.0178926441351889	0.0278330019880716	0.302186878727634	0.204771371769384
160	10	0	0	0.0541	0.0258780036968577	0.482439926062847	0.4991	0.476894639556377	0.306839186691312	0.487985212569316	0.317929759704251	0.487985212569316	0.478743068391867	0.486136783733826	0.487985212569316	0.486136783733826	0.478743068391867	0.476894639556377	0.487985212569316	0.480591497227357	0.487985212569316	0	0.0258780036968577	0	0.0258780036968577	0.0129390018484288	0.0258780036968577	0.0129390018484288	0.0258780036968577	0.2181146025878	0.269870609981516
320	10	0	0	0.0481	0.0207900207900208	0.490644490644491	0.4949	0.482328482328482	0.232848232848233	0.490644490644491	0.237006237006237	0.490644490644491	0.482328482328482	0.486486486486487	0.490644490644491	0.486486486486487	0.482328482328482	0.48024948024948	0.490644490644491	0.482328482328482	0.490644490644491	0	0.0207900207900208	0	0.0207900207900208	0.0187110187110187	0.0207900207900208	0.0187110187110187	0.0207900207900208	0.14968814968815	0.340956340956341
640	10	0	0	0.0495	0.0262626262626263	0.533333333333333	0.5095	0.521212121212121	0.187878787878788	0.533333333333333	0.187878787878788	0.533333333333333	0.521212121212121	0.529292929292929	0.533333333333333	0.529292929292929	0.521212121212121	0.513131313131313	0.533333333333333	0.521212121212121	0.533333333333333	0	0.0262626262626263	0	0.0262626262626263	0.0121212121212121	0.0262626262626263	0.0121212121212121	0.0262626262626263	0.123232323232323	0.41010101010101
1280	10	0	0	0.0498	0.0261044176706827	0.497991967871486	0.5081	0.481927710843373	0.130522088353414	0.497991967871486	0.130522088353414	0.497991967871486	0.481927710843373	0.483935742971888	0.497991967871486	0.483935742971888	0.481927710843373	0.471887550200803	0.497991967871486	0.481927710843373	0.497991967871486	0	0.0261044176706827	0	0.0261044176706827	0.0140562248995984	0.0261044176706827	0.0140562248995984	0.0261044176706827	0.0803212851405622	0.417670682730924
2560	10	0	0	0.0505	0.0277227722772277	0.548514851485149	0.503	0.530693069306931	0.0891089108910891	0.548514851485149	0.0891089108910891	0.548514851485149	0.532673267326733	0.532673267326733	0.548514851485149	0.532673267326733	0.532673267326733	0.520792079207921	0.548514851485149	0.532673267326733	0.548514851485149	0	0.0277227722772277	0	0.0277227722772277	0.0118811881188119	0.0277227722772277	0.0118811881188119	0.0277227722772277	0.0514851485148515	0.497029702970297
5120	10	0	0	0.0523	0.0210325047801147	0.500956022944551	0.5058	0.48565965583174	0.0707456978967495	0.500956022944551	0.0707456978967495	0.500956022944551	0.48565965583174	0.489483747609943	0.500956022944551	0.489483747609943	0.48565965583174	0.479923518164436	0.500956022944551	0.487571701720841	0.500956022944551	0	0.0210325047801147	0	0.0210325047801147	0.0133843212237094	0.0210325047801147	0.0133843212237094	0.0210325047801147	0.0420650095602294	0.458891013384321
10	20	0	0	0.0452	0.0154867256637168	0.172566371681416	0.5062	0.0774336283185841	0.323008849557522	0.148230088495575	0.5	0.471238938053097	0.5	0.491150442477876	0.5	0.5	0.398230088495575	0.442477876106195	0.493362831858407	0.5	0.5	0.0154867256637168	0.0154867256637168	0.0154867256637168	0.0154867256637168	0.0154867256637168	0.0154867256637168	0.0154867256637168	0.0154867256637168	0.5	0
20	20	0	0	0.0482	0.016597510373444	0.302904564315353	0.4988	0.317427385892116	0.350622406639004	0.477178423236515	0.491701244813278	0.5	0.5	0.5	0.5	0.5	0.477178423236515	0.483402489626556	0.5	0.5	0.5	0.016597510373444	0.016597510373444	0.016597510373444	0.016597510373444	0.016597510373444	0.016597510373444	0.016597510373444	0.016597510373444	0.489626556016597	0.0103734439834025
40	20	0	0	0.0476	0.0294117647058824	0.409663865546218	0.4915	0.512605042016807	0.413865546218487	0.521008403361345	0.502100840336134	0.521008403361345	0.521008403361345	0.521008403361345	0.521008403361345	0.521008403361345	0.516806722689076	0.516806722689076	0.521008403361345	0.521008403361345	0.521008403361345	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.0294117647058824	0.464285714285714	0.0567226890756303
80	20	0	0	0.0503	0.0218687872763419	0.465208747514911	0.5078	0.495029821073559	0.427435387673956	0.497017892644135	0.457256461232604	0.497017892644135	0.497017892644135	0.497017892644135	0.497017892644135	0.497017892644135	0.497017892644135	0.495029821073559	0.497017892644135	0.497017892644135	0.497017892644135	0.0218687872763419	0.0218687872763419	0.0218687872763419	0.0218687872763419	0.0198807157057654	0.0218687872763419	0.0198807157057654	0.0218687872763419	0.355864811133201	0.141153081510934
160	20	0	0	0.0541	0.0240295748613678	0.473197781885397	0.4909	0.486136783733826	0.364140480591497	0.486136783733826	0.380776340110906	0.486136783733826	0.486136783733826	0.486136783733826	0.486136783733826	0.486136783733826	0.486136783733826	0.486136783733826	0.486136783733826	0.486136783733826	0.486136783733826	0.00739371534195933	0.0240295748613678	0.0203327171903882	0.0240295748613678	0.0147874306839187	0.0240295748613678	0.0147874306839187	0.0240295748613678	0.269870609981516	0.216266173752311
320	20	0	0	0.0481	0.0291060291060291	0.534303534303534	0.5043	0.538461538461538	0.349272349272349	0.548856548856549	0.353430353430353	0.548856548856549	0.540540540540541	0.546777546777547	0.548856548856549	0.548856548856549	0.540540540540541	0.538461538461538	0.548856548856549	0.542619542619543	0.548856548856549	0	0.0291060291060291	0	0.0291060291060291	0.0166320166320166	0.0291060291060291	0.0166320166320166	0.0291060291060291	0.264033264033264	0.284823284823285
640	20	0	0	0.0495	0.0303030303030303	0.480808080808081	0.4997	0.468686868686869	0.236363636363636	0.482828282828283	0.242424242424242	0.482828282828283	0.468686868686869	0.472727272727273	0.482828282828283	0.476767676767677	0.468686868686869	0.468686868686869	0.482828282828283	0.468686868686869	0.482828282828283	0	0.0303030303030303	0	0.0303030303030303	0.0161616161616162	0.0303030303030303	0.0161616161616162	0.0303030303030303	0.15959595959596	0.323232323232323
1280	20	0	0	0.0498	0.0301204819277108	0.524096385542169	0.4921	0.514056224899598	0.174698795180723	0.524096385542169	0.174698795180723	0.524096385542169	0.514056224899598	0.516064257028112	0.524096385542169	0.516064257028112	0.514056224899598	0.51004016064257	0.524096385542169	0.514056224899598	0.524096385542169	0	0.0301204819277108	0	0.0301204819277108	0.0200803212851406	0.0301204819277108	0.0200803212851406	0.0301204819277108	0.116465863453815	0.407630522088353
2560	20	0	0	0.0505	0.0198019801980198	0.524752475247525	0.507	0.516831683168317	0.136633663366337	0.526732673267327	0.136633663366337	0.526732673267327	0.516831683168317	0.520792079207921	0.526732673267327	0.520792079207921	0.516831683168317	0.516831683168317	0.526732673267327	0.516831683168317	0.526732673267327	0	0.0198019801980198	0	0.0198019801980198	0.00594059405940594	0.0198019801980198	0.00594059405940594	0.0198019801980198	0.0891089108910891	0.437623762376238
5120	20	0	0	0.0523	0.0191204588910134	0.506692160611855	0.494	0.491395793499044	0.0841300191204589	0.506692160611855	0.0841300191204589	0.506692160611855	0.491395793499044	0.493307839388145	0.506692160611855	0.493307839388145	0.491395793499044	0.489483747609943	0.506692160611855	0.491395793499044	0.506692160611855	0	0.0191204588910134	0	0.0191204588910134	0.011472275334608	0.0191204588910134	0.011472275334608	0.0191204588910134	0.0592734225621415	0.447418738049713
10	40	0	0	0.0452	0.0243362831858407	0.0907079646017699	0.4883	0.00663716814159292	0.199115044247788	0.00884955752212389	0.455752212389381	0.34070796460177	0.455752212389381	0.435840707964602	0.451327433628319	0.455752212389381	0.238938053097345	0.294247787610619	0.40929203539823	0.455752212389381	0.455752212389381	0.0243362831858407	0.0243362831858407	0.0243362831858407	0.0243362831858407	0.0243362831858407	0.0221238938053097	0.0243362831858407	0.0221238938053097	0.455752212389381	0
20	40	0	0	0.0482	0.0228215767634855	0.238589211618257	0.4985	0.0892116182572614	0.323651452282158	0.176348547717842	0.545643153526971	0.516597510373444	0.545643153526971	0.54149377593361	0.545643153526971	0.545643153526971	0.450207468879668	0.470954356846473	0.545643153526971	0.545643153526971	0.545643153526971	0.0228215767634855	0.0228215767634855	0.0228215767634855	0.0228215767634855	0.0228215767634855	0.0228215767634855	0.0228215767634855	0.0228215767634855	0.545643153526971	0
40	40	0	0	0.0476	0.0210084033613445	0.283613445378151	0.4972	0.313025210084034	0.329831932773109	0.474789915966387	0.483193277310924	0.493697478991597	0.493697478991597	0.493697478991597	0.493697478991597	0.493697478991597	0.474789915966387	0.48109243697479	0.493697478991597	0.493697478991597	0.493697478991597	0.0210084033613445	0.0210084033613445	0.0210084033613445	0.0210084033613445	0.0210084033613445	0.0210084033613445	0.0210084033613445	0.0210084033613445	0.489495798319328	0.00420168067226891
80	40	0	0	0.0503	0.0178926441351889	0.399602385685885	0.4987	0.502982107355865	0.403578528827038	0.510934393638171	0.469184890656064	0.510934393638171	0.510934393638171	0.510934393638171	0.510934393638171	0.510934393638171	0.508946322067594	0.508946322067594	0.510934393638171	0.510934393638171	0.510934393638171	0.0178926441351889	0.0178926441351889	0.0178926441351889	0.0178926441351889	0.0178926441351889	0.0178926441351889	0.0178926441351889	0.0178926441351889	0.467196819085487	0.0437375745526839
160	40	0	0	0.0541	0.0203327171903882	0.438077634011091	0.4964	0.465804066543438	0.382624768946396	0.467652495378928	0.410351201478743	0.467652495378928	0.467652495378928	0.467652495378928	0.467652495378928	0.467652495378928	0.467652495378928	0.465804066543438	0.467652495378928	0.467652495378928	0.467652495378928	0.0203327171903882	0.0203327171903882	0.0203327171903882	0.0203327171903882	0.0147874306839187	0.0203327171903882	0.0147874306839187	0.0203327171903882	0.345656192236599	0.121996303142329
320	40	0	0	0.0481	0.0145530145530146	0.515592515592516	0.5034	0.53014553014553	0.440748440748441	0.53014553014553	0.453222453222453	0.53014553014553	0.53014553014553	0.53014553014553	0.53014553014553	0.53014553014553	0.53014553014553	0.53014553014553	0.53014553014553	0.53014553014553	0.53014553014553	0.00207900207900208	0.0145530145530146	0.0124740124740125	0.0145530145530146	0.00831600831600832	0.0145530145530146	0.00831600831600832	0.0145530145530146	0.328482328482329	0.201663201663202
640	40	0	0	0.0495	0.0121212121212121	0.478787878787879	0.5004	0.482828282828283	0.337373737373737	0.486868686868687	0.343434343434343	0.486868686868687	0.484848484848485	0.486868686868687	0.486868686868687	0.486868686868687	0.482828282828283	0.482828282828283	0.486868686868687	0.484848484848485	0.486868686868687	0	0.0121212121212121	0	0.0121212121212121	0.0101010101010101	0.0121212121212121	0.0101010101010101	0.0121212121212121	0.226262626262626	0.260606060606061
1280	40	0	0	0.0498	0.0261044176706827	0.520080321285141	0.506	0.520080321285141	0.283132530120482	0.524096385542169	0.285140562248996	0.524096385542169	0.520080321285141	0.524096385542169	0.524096385542169	0.524096385542169	0.520080321285141	0.520080321285141	0.524096385542169	0.522088353413655	0.524096385542169	0	0.0261044176706827	0	0.0261044176706827	0.0180722891566265	0.0261044176706827	0.0180722891566265	0.0261044176706827	0.174698795180723	0.349397590361446
2560	40	0	0	0.0505	0.0237623762376238	0.469306930693069	0.4999	0.461386138613861	0.17029702970297	0.471287128712871	0.172277227722772	0.471287128712871	0.461386138613861	0.467326732673267	0.471287128712871	0.467326732673267	0.461386138613861	0.461386138613861	0.471287128712871	0.461386138613861	0.471287128712871	0	0.0237623762376238	0	0.0237623762376238	0.0118811881188119	0.0237623762376238	0.0118811881188119	0.0237623762376238	0.106930693069307	0.364356435643564
5120	40	0	0	0.0523	0.0229445506692161	0.453154875717017	0.4967	0.441682600382409	0.130019120458891	0.455066921606119	0.130019120458891	0.455066921606119	0.441682600382409	0.445506692160612	0.455066921606119	0.451242829827916	0.441682600382409	0.441682600382409	0.455066921606119	0.441682600382409	0.455066921606119	0	0.0229445506692161	0	0.0229445506692161	0.0152963671128107	0.0229445506692161	0.0152963671128107	0.0229445506692161	0.0650095602294455	0.390057361376673
10	80	0	0	0.0452	0.0353982300884956	0.0929203539823009	0.499	0	0.216814159292035	0	0.535398230088496	0.334070796460177	0.535398230088496	0.475663716814159	0.502212389380531	0.535398230088496	0.179203539823009	0.303097345132743	0.373893805309735	0.535398230088496	0.535398230088496	0.0353982300884956	0.00221238938053097	0.0353982300884956	0.00663716814159292	0.0353982300884956	0.0199115044247788	0.0353982300884956	0.0199115044247788	0.535398230088496	0
20	80	0	0	0.0482	0.024896265560166	0.12655601659751	0.4928	0.00622406639004149	0.25103734439834	0.0103734439834025	0.506224066390041	0.423236514522822	0.506224066390041	0.493775933609959	0.504149377593361	0.506224066390041	0.317427385892116	0.350622406639004	0.470954356846473	0.506224066390041	0.506224066390041	0.024896265560166	0.024896265560166	0.024896265560166	0.024896265560166	0.024896265560166	0.020746887966805	0.024896265560166	0.0228215767634855	0.506224066390041	0
40	80	0	0	0.0476	0.0189075630252101	0.224789915966387	0.5045	0.0819327731092437	0.30672268907563	0.186974789915966	0.502100840336134	0.5	0.502100840336134	0.5	0.502100840336134	0.502100840336134	0.436974789915966	0.449579831932773	0.502100840336134	0.502100840336134	0.502100840336134	0.0189075630252101	0.0189075630252101	0.0189075630252101	0.0189075630252101	0.0189075630252101	0.0189075630252101	0.0189075630252101	0.0189075630252101	0.5	0.00210084033613445
80	80	0	0	0.0503	0.0238568588469185	0.318091451292247	0.4996	0.3220675944334	0.330019880715706	0.483101391650099	0.489065606361829	0.514910536779324	0.514910536779324	0.514910536779324	0.514910536779324	0.514910536779324	0.483101391650099	0.487077534791252	0.514910536779324	0.514910536779324	0.514910536779324	0.0238568588469185	0.0238568588469185	0.0238568588469185	0.0238568588469185	0.0238568588469185	0.0238568588469185	0.0238568588469185	0.0238568588469185	0.504970178926441	0.0119284294234592
160	80	0	0	0.0541	0.0277264325323475	0.415896487985213	0.4977	0.486136783733826	0.402957486136784	0.506469500924214	0.473197781885397	0.506469500924214	0.506469500924214	0.506469500924214	0.506469500924214	0.506469500924214	0.502772643253235	0.502772643253235	0.506469500924214	0.506469500924214	0.506469500924214	0.0277264325323475	0.0277264325323475	0.0277264325323475	0.0277264325323475	0.0277264325323475	0.0277264325323475	0.0277264325323475	0.0277264325323475	0.44362292051756	0.0628465804066543
320	80	0	0	0.0481	0.0145530145530146	0.498960498960499	0.5013	0.532224532224532	0.457380457380457	0.532224532224532	0.488565488565489	0.532224532224532	0.532224532224532	0.532224532224532	0.532224532224532	0.532224532224532	0.532224532224532	0.532224532224532	0.532224532224532	0.532224532224532	0.532224532224532	0.0145530145530146	0.0145530145530146	0.0145530145530146	0.0145530145530146	0.0124740124740125	0.0145530145530146	0.0124740124740125	0.0145530145530146	0.384615384615385	0.147609147609148
640	80	0	0	0.0495	0.0242424242424242	0.480808080808081	0.5007	0.494949494949495	0.377777777777778	0.498989898989899	0.406060606060606	0.498989898989899	0.496969696969697	0.498989898989899	0.498989898989899	0.498989898989899	0.494949494949495	0.494949494949495	0.498989898989899	0.496969696969697	0.498989898989899	0.00202020202020202	0.0242424242424242	0.0101010101010101	0.0242424242424242	0.0161616161616162	0.0242424242424242	0.0161616161616162	0.0242424242424242	0.303030303030303	0.195959595959596
1280	80	0	0	0.0498	0.0281124497991968	0.534136546184739	0.5059	0.532128514056225	0.335341365461847	0.540160642570281	0.347389558232932	0.540160642570281	0.536144578313253	0.540160642570281	0.540160642570281	0.540160642570281	0.534136546184739	0.534136546184739	0.540160642570281	0.538152610441767	0.540160642570281	0	0.0281124497991968	0	0.0281124497991968	0.0140562248995984	0.0281124497991968	0.0140562248995984	0.0281124497991968	0.216867469879518	0.323293172690763
2560	80	0	0	0.0505	0.0257425742574257	0.510891089108911	0.5054	0.500990099009901	0.271287128712871	0.510891089108911	0.273267326732673	0.510891089108911	0.500990099009901	0.508910891089109	0.510891089108911	0.508910891089109	0.500990099009901	0.500990099009901	0.510891089108911	0.500990099009901	0.510891089108911	0	0.0257425742574257	0	0.0257425742574257	0.0158415841584158	0.0257425742574257	0.0158415841584158	0.0257425742574257	0.154455445544554	0.356435643564356
5120	80	0	0	0.0523	0.0325047801147228	0.518164435946463	0.4954	0.497131931166348	0.181644359464627	0.518164435946463	0.183556405353728	0.518164435946463	0.499043977055449	0.508604206500956	0.518164435946463	0.508604206500956	0.497131931166348	0.497131931166348	0.518164435946463	0.500956022944551	0.518164435946463	0	0.0325047801147228	0	0.0325047801147228	0.017208413001912	0.0325047801147228	0.017208413001912	0.0325047801147228	0.11472275334608	0.403441682600382
10	160	0	0	0.0452	0.0199115044247788	0.0553097345132743	0.5071	0	0.146017699115044	0	0.47787610619469	0.194690265486726	0.47787610619469	0.349557522123894	0.391592920353982	0.47787610619469	0.079646017699115	0.179203539823009	0.232300884955752	0.47787610619469	0.473451327433628	0.0199115044247788	0	0.0199115044247788	0	0.0199115044247788	0.00442477876106195	0.0199115044247788	0.00442477876106195	0.47787610619469	0
20	160	0	0	0.0482	0.0145228215767635	0.0912863070539419	0.4981	0	0.199170124481328	0	0.49792531120332	0.317427385892116	0.49792531120332	0.439834024896266	0.473029045643154	0.49792531120332	0.221991701244813	0.267634854771784	0.360995850622407	0.49792531120332	0.49792531120332	0.0145228215767635	0	0.0145228215767635	0.00829875518672199	0.0145228215767635	0.00829875518672199	0.0145228215767635	0.00829875518672199	0.49792531120332	0
40	160	0	0	0.0476	0.0189075630252101	0.153361344537815	0.5	0.00630252100840336	0.271008403361345	0.00630252100840336	0.495798319327731	0.434873949579832	0.495798319327731	0.478991596638655	0.493697478991597	0.495798319327731	0.359243697478992	0.369747899159664	0.466386554621849	0.495798319327731	0.495798319327731	0.0189075630252101	0.0189075630252101	0.0189075630252101	0.0189075630252101	0.0189075630252101	0.0147058823529412	0.0189075630252101	0.0189075630252101	0.495798319327731	0
80	160	0	0	0.0503	0.0298210735586481	0.228628230616302	0.4943	0.105367793240557	0.3220675944334	0.204771371769384	0.491053677932406	0.47713717693837	0.491053677932406	0.487077534791252	0.491053677932406	0.491053677932406	0.427435387673956	0.433399602385686	0.491053677932406	0.491053677932406	0.491053677932406	0.0298210735586481	0.0298210735586481	0.0298210735586481	0.0298210735586481	0.0298210735586481	0.0298210735586481	0.0298210735586481	0.0298210735586481	0.491053677932406	0
160	160	0	0	0.0541	0.0314232902033272	0.314232902033272	0.4982	0.32902033271719	0.32902033271719	0.44916820702403	0.44916820702403	0.460258780036969	0.460258780036969	0.460258780036969	0.462107208872458	0.462107208872458	0.44916820702403	0.44916820702403	0.462107208872458	0.462107208872458	0.462107208872458	0.0314232902033272	0.0314232902033272	0.0314232902033272	0.0314232902033272	0.0314232902033272	0.0314232902033272	0.0314232902033272	0.0314232902033272	0.44547134935305	0.0166358595194085
320	160	0	0	0.0481	0.0291060291060291	0.372141372141372	0.5028	0.442827442827443	0.372141372141372	0.461538461538462	0.424116424116424	0.461538461538462	0.461538461538462	0.461538461538462	0.461538461538462	0.461538461538462	0.459459459459459	0.459459459459459	0.461538461538462	0.461538461538462	0.461538461538462	0.0291060291060291	0.0291060291060291	0.0291060291060291	0.0291060291060291	0.0291060291060291	0.0291060291060291	0.0291060291060291	0.0291060291060291	0.395010395010395	0.0665280665280665
640	160	0	0	0.0495	0.0181818181818182	0.460606060606061	0.4988	0.527272727272727	0.442424242424242	0.527272727272727	0.480808080808081	0.527272727272727	0.527272727272727	0.527272727272727	0.527272727272727	0.527272727272727	0.527272727272727	0.527272727272727	0.527272727272727	0.527272727272727	0.527272727272727	0.0181818181818182	0.0181818181818182	0.0181818181818182	0.0181818181818182	0.0141414141414141	0.0181818181818182	0.0181818181818182	0.0181818181818182	0.406060606060606	0.121212121212121
