n1	n2	d	lo	hi
10	10	-3	-4.85153823949366	-1.14846176050634
10	20	-3	-4.58673784105896	-1.39309150941397
10	40	-3	-4.44348380506854	-1.52676005501738
10	80	-3	-4.36822768772668	-1.59762311062133
10	160	-3	-4.32956769638672	-1.6343070566412
10	320	-3	-4.30997108149051	-1.65311889016412
10	640	-3	-4.30015188538642	-1.66251333298002
10	1280	-3	-4.29518016436646	-1.66725155980903
10	2560	-3	-4.29269916006251	-1.66963122468769
10	5120	-3	-4.29145867539455	-1.67082464538286
20	10	-3	-4.60690849058603	-1.41326215894104
20	20	-3	-4.29294161548719	-1.70705838451281
20	40	-3	-4.11247765833986	-1.87751211167624
20	80	-3	-4.01292055476828	-1.97228210884282
20	160	-3	-3.96005796912753	-2.02293278661026
20	320	-3	-3.93273001407245	-2.04940447719659
20	640	-3	-3.91888844256745	-2.06276272566795
20	1280	-3	-3.91184028370023	-2.06953692777595
20	2560	-3	-3.90831281133567	-2.07294865176349
20	5120	-3	-3.90654649911741	-2.07466209022717
40	10	-3	-4.47323994498262	-1.55651619493146
40	20	-3	-4.12248788832376	-1.88752234166014
40	40	-3	-3.90878357086836	-2.09121642913164
40	80	-3	-3.7837659654814	-2.21125886182394
40	160	-3	-3.71413748148391	-2.27849542016152
40	320	-3	-3.67695370412348	-2.31476984361413
40	640	-3	-3.65775147910054	-2.333425002236
40	1280	-3	-3.64786861426792	-2.34298398191572
40	2560	-3	-3.64289439382484	-2.34782462365262
40	5120	-3	-3.64039643459107	-2.35026254032151
80	10	-3	-4.40237688937867	-1.63177231227332
80	20	-3	-4.02771789115718	-1.98707944523172
80	40	-3	-3.78874113817606	-2.2162340345186
80	80	-3	-3.64071373718534	-2.35928626281466
80	160	-3	-3.55336908734696	-2.44414896897223
80	320	-3	-3.50447132911348	-2.49212021384255
80	640	-3	-3.47839524729032	-2.51758551264415
80	1280	-3	-3.46471361689158	-2.53088214915007
80	2560	-3	-3.45775343361074	-2.53768600336939
80	5120	-3	-3.45423848120559	-2.54113152595085
160	10	-3	-4.3656929433588	-1.67043230361328
160	20	-3	-3.97706721338974	-2.03994203087247
160	40	-3	-3.72150457983848	-2.28586251851609
160	80	-3	-3.55585103102777	-2.44663091265304
160	160	-3	-3.4524086896909	-2.5475913103091
160	320	-3	-3.39108515386569	-2.60802406834024
160	640	-3	-3.35681688343826	-2.64163288177623
160	1280	-3	-3.33825289562852	-2.65974302093968
160	2560	-3	-3.32862513850747	-2.66918663072093
160	5120	-3	-3.32371109570819	-2.67401912588406
320	10	-3	-4.34688110983588	-1.69002891850949
320	20	-3	-3.95059552280341	-2.06726998592755
320	40	-3	-3.68523015638587	-2.32304629587652
320	80	-3	-3.50787978615745	-2.49552867088652
320	160	-3	-3.39197593165976	-2.60891484613431
320	320	-3	-3.31924771896891	-2.68075228103109
320	640	-3	-3.27620607668786	-2.72305060662582
320	1280	-3	-3.25176681650643	-2.74692138204587
320	2560	-3	-3.23867549130935	-2.75976790314346
320	5120	-3	-3.23186285165437	-2.76646733557014
640	10	-3	-4.33748666701998	-1.69984811461358
640	20	-3	-3.93723727433205	-2.08111155743255
640	40	-3	-3.666574997764	-2.34224852089946
640	80	-3	-3.48241448735585	-2.52160475270968
640	160	-3	-3.35836711822377	-2.64318311656174
640	320	-3	-3.27694939337418	-2.72379392331214
640	640	-3	-3.22599039188154	-2.77400960811846
640	1280	-3	-3.19536732151836	-2.80399112877725
640	2560	-3	-3.17817926527863	-2.82088508969789
640	5120	-3	-3.16894449502949	-2.82997589556726
1280	10	-3	-4.33274844019097	-1.70481983563354
1280	20	-3	-3.93046307222405	-2.08815971629977
1280	40	-3	-3.65701601808428	-2.35213138573208
1280	80	-3	-3.46911785084993	-2.53528638310842
1280	160	-3	-3.34025697906032	-2.66174710437148
1280	320	-3	-3.25307861795413	-2.74823318349357
1280	640	-3	-3.19600887122275	-2.80463267848164
1280	1280	-3	-3.15973794380954	-2.84026205619046
1280	2560	-3	-3.1381870867718	-2.86151215148245
1280	5120	-3	-3.12605579231442	-2.8734894107885
2560	10	-3	-4.33036877531231	-1.70730083993749
2560	20	-3	-3.92705134823651	-2.09168718866433
2560	40	-3	-3.65217537634738	-2.35710560617516
2560	80	-3	-3.46231399663061	-2.54224656638926
2560	160	-3	-3.33081336927907	-2.67137486149253
2560	320	-3	-3.24023209685654	-2.76132450869065
2560	640	-3	-3.17911491030211	-2.82182073472137
2560	1280	-3	-3.13848784851755	-2.8618129132282
2560	2560	-3	-3.11295284168624	-2.88704715831376
2560	5120	-3	-3.09773810040376	-2.90210010500201
5120	10	-3	-4.32917535461714	-1.70854132460545
5120	20	-3	-3.92533790977283	-2.09345350088259
5120	40	-3	-3.64973745967849	-2.35960356540893
5120	80	-3	-3.45886847404915	-2.54576151879441
5120	160	-3	-3.32598087411594	-2.67628890429181
5120	320	-3	-3.23353266442986	-2.76813714834563
5120	640	-3	-3.17002410443274	-2.83105550497051
5120	1280	-3	-3.1265105892115	-2.87394420768558
5120	2560	-3	-3.09789989499799	-2.90226189959624
5120	5120	-3	-3.0798672728103	-2.9201327271897
10	10	-2.95	-4.78460779510579	-1.11539220489421
10	20	-2.95	-4.52222550320064	-1.35758216267698
10	40	-2.95	-4.38020584097923	-1.49000085456013
10	80	-2.95	-4.30558591321389	-1.56022523860583
10	160	-2.95	-4.26725440970833	-1.59658993114153
10	320	-2.95	-4.24781561062774	-1.61522808904798
10	640	-2.95	-4.23806798090577	-1.624547745443
10	1280	-2.95	-4.23314534160968	-1.62924353291303
10	2560	-2.95	-4.2306850477002	-1.63160339721618
10	5120	-2.95	-4.22945529061375	-1.63278724175122
20	10	-2.95	-4.54241783732302	-1.37777449679936
20	20	-2.95	-4.23136717597889	-1.66863282402111
20	40	-2.95	-4.05249605637966	-1.83747819089389
20	80	-2.95	-3.9538037531637	-1.93138272228486
20	160	-2.95	-3.90140316725227	-1.98158578823983
20	320	-2.95	-3.87430198850303	-2.00780929461277
20	640	-2.95	-3.86056462164762	-2.02105923215642
20	1280	-2.95	-3.8535877237193	-2.02777176555712
20	2560	-2.95	-3.85009054998064	-2.03115459772413
20	5120	-2.95	-3.8483399398007	-2.03285403476603
40	10	-2.95	-4.40999914543987	-1.51979415902078
40	20	-2.95	-4.06252180910611	-1.84750394362034
40	40	-2.95	-3.85072220489633	-2.04927779510367
40	80	-2.95	-3.72680429383864	-2.16822197964103
40	160	-2.95	-3.65779299425628	-2.23486239072774
40	320	-2.95	-3.62092257527324	-2.27079528860979
40	640	-2.95	-3.60186721520328	-2.28929835415794
40	1280	-2.95	-3.59208543864258	-2.29876990927921
40	2560	-2.95	-3.58715456070335	-2.30356934792656
40	5120	-2.95	-3.58467911853293	-2.3059872391004
80	10	-2.95	-4.33977476139417	-1.59441408678611
80	20	-2.95	-3.96861727771514	-1.9461962468363
80	40	-2.95	-3.73177802035897	-2.17319570616136
80	80	-2.95	-3.5850600708982	-2.3149399291018
80	160	-2.95	-3.4984954926354	-2.39904971120028
80	320	-2.95	-3.45001348455252	-2.44656831594792
