n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	d1.cm	d2.cm	dm.c1	dm.c2	c1.c2	c1.cm	c2.cm	d1.p2	d2.p1	dm.p1	dm.p2	p1.p2	d1.scp2	d2.scp1	dm.scp2	dm.scp1	d1.scpd2	d2.scpd1	dm.scpd2	dm.scpd1	big1	big2
20	20	0	0	0.480769230769231	0.0576923076923077	0.307692307692308	0.480769230769231	0.288461538461538	0.346153846153846	0.461538461538462	0.480769230769231	0.480769230769231	0.480769230769231	0.480769230769231	0.480769230769231	0.480769230769231	0.461538461538462	0.480769230769231	0.480769230769231	0.480769230769231	0.480769230769231	0.480769230769231	0.480769230769231	0.480769230769231	0.480769230769231	0.461538461538462	0.403846153846154	0.480769230769231	0.480769230769231	0.442307692307692	0.0384615384615385
40	20	0	0	0.434782608695652	0	0.41304347826087	0.434782608695652	0.41304347826087	0.391304347826087	0.434782608695652	0.41304347826087	0.434782608695652	0.434782608695652	0.434782608695652	0.434782608695652	0.434782608695652	0.434782608695652	0.434782608695652	0.434782608695652	0.434782608695652	0.434782608695652	0.434782608695652	0.434782608695652	0.434782608695652	0.434782608695652	0.434782608695652	0.41304347826087	0.434782608695652	0.434782608695652	0.41304347826087	0.0217391304347826
80	20	0	0	0.459459459459459	0	0.405405405405405	0.459459459459459	0.459459459459459	0.378378378378378	0.459459459459459	0.432432432432432	0.459459459459459	0.459459459459459	0.459459459459459	0.459459459459459	0.459459459459459	0.459459459459459	0.459459459459459	0.459459459459459	0.459459459459459	0.459459459459459	0.459459459459459	0.459459459459459	0.459459459459459	0.459459459459459	0.459459459459459	0.459459459459459	0.459459459459459	0.459459459459459	0.405405405405405	0.0540540540540541
160	20	0	0	0.411764705882353	0.0196078431372549	0.392156862745098	0.411764705882353	0.411764705882353	0.333333333333333	0.411764705882353	0.352941176470588	0.411764705882353	0.411764705882353	0.411764705882353	0.411764705882353	0.411764705882353	0.411764705882353	0.411764705882353	0.411764705882353	0.411764705882353	0.411764705882353	0.0392156862745098	0.411764705882353	0.0392156862745098	0.411764705882353	0.392156862745098	0.411764705882353	0.392156862745098	0.411764705882353	0.235294117647059	0.176470588235294
320	20	0	0	0.522727272727273	0.0227272727272727	0.5	0.522727272727273	0.522727272727273	0.318181818181818	0.522727272727273	0.318181818181818	0.522727272727273	0.522727272727273	0.522727272727273	0.522727272727273	0.522727272727273	0.522727272727273	0.522727272727273	0.522727272727273	0.522727272727273	0.522727272727273	0	0.522727272727273	0	0.522727272727273	0.522727272727273	0.522727272727273	0.522727272727273	0.522727272727273	0.272727272727273	0.25
20	40	0	0	0.596153846153846	0.0384615384615385	0.211538461538462	0.596153846153846	0.0576923076923077	0.346153846153846	0.173076923076923	0.596153846153846	0.576923076923077	0.596153846153846	0.576923076923077	0.596153846153846	0.596153846153846	0.442307692307692	0.5	0.576923076923077	0.596153846153846	0.596153846153846	0.596153846153846	0.365384615384615	0.596153846153846	0.596153846153846	0.596153846153846	0.403846153846154	0.596153846153846	0.519230769230769	0.596153846153846	0
40	40	0	0	0.41304347826087	0.0434782608695652	0.239130434782609	0.41304347826087	0.239130434782609	0.239130434782609	0.391304347826087	0.391304347826087	0.41304347826087	0.41304347826087	0.41304347826087	0.41304347826087	0.41304347826087	0.391304347826087	0.391304347826087	0.41304347826087	0.41304347826087	0.41304347826087	0.41304347826087	0.41304347826087	0.41304347826087	0.41304347826087	0.41304347826087	0.347826086956522	0.41304347826087	0.41304347826087	0.391304347826087	0.0217391304347826
80	40	0	0	0.540540540540541	0	0.486486486486487	0.540540540540541	0.540540540540541	0.432432432432432	0.540540540540541	0.513513513513513	0.540540540540541	0.540540540540541	0.540540540540541	0.540540540540541	0.540540540540541	0.540540540540541	0.540540540540541	0.540540540540541	0.540540540540541	0.540540540540541	0.540540540540541	0.540540540540541	0.540540540540541	0.540540540540541	0.540540540540541	0.540540540540541	0.540540540540541	0.540540540540541	0.486486486486487	0.0540540540540541
160	40	0	0	0.509803921568627	0.0196078431372549	0.470588235294118	0.509803921568627	0.509803921568627	0.431372549019608	0.509803921568627	0.470588235294118	0.509803921568627	0.509803921568627	0.509803921568627	0.509803921568627	0.509803921568627	0.509803921568627	0.509803921568627	0.509803921568627	0.509803921568627	0.509803921568627	0.509803921568627	0.509803921568627	0.509803921568627	0.509803921568627	0.509803921568627	0.509803921568627	0.509803921568627	0.509803921568627	0.372549019607843	0.137254901960784
320	40	0	0	0.5	0	0.5	0.5	0.5	0.409090909090909	0.5	0.431818181818182	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0681818181818182	0.5	0.0909090909090909	0.5	0.5	0.5	0.5	0.5	0.204545454545455	0.295454545454545
