n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	d1.cm	d2.cm	dm.c1	dm.c2	c1.c2	c1.cm	c2.cm	d1.p2	d2.p1	dm.p1	dm.p2	p1.p2	d1.scp2	d2.scp1	dm.scp2	dm.scp1	d1.scpd2	d2.scpd1	dm.scpd2	dm.scpd1	big1	big2
20	20	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
40	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	20	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
160	20	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0.666666666666667	1	0.333333333333333	1	0.333333333333333	1	0	1
320	20	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1
20	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	40	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
80	40	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
160	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	40	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1
20	80	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
40	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	80	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
160	80	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
320	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	160	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0
40	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	160	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
160	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	160	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
20	320	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0
40	320	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0
80	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	320	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	0.5
20	20	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.333333333333333	0.666666666666667
40	20	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.666666666666667	0.333333333333333
80	20	0.2	0	1	1	1	1	1	0.384615384615385	1	0.461538461538462	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.769230769230769	1	0.923076923076923	1	0	1
160	20	0.2	0	1	1	1	1	0.888888888888889	0	1	0	1	1	1	1	1	1	0.888888888888889	1	1	1	0.333333333333333	1	0.722222222222222	1	0.0555555555555556	1	0.222222222222222	1	0	1
320	20	0.2	0	1	1	1	1	0.916666666666667	0	1	0	1	0.958333333333333	1	1	1	0.958333333333333	0.916666666666667	1	0.958333333333333	1	0.0833333333333333	1	0.0833333333333333	1	0.0416666666666667	1	0.0416666666666667	1	0	1
20	40	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
40	40	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	40	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
160	40	0.2	0	1	1	1	1	1	0.625	1	0.625	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.625	1	0.75	1	0	1
320	40	0.2	0	1	1	1	1	0.857142857142857	0	1	0	1	0.928571428571429	1	1	1	0.857142857142857	0.857142857142857	1	1	1	0.428571428571429	1	1	1	0.0714285714285714	1	0.285714285714286	1	0	1
20	80	0.2	0	1	1	1	1	0.25	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	0.75	1	0
40	80	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
80	80	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	0.5
160	80	0.2	0	1	1	1	1	1	0.9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.9
320	80	0.2	0	1	1	1	1	1	0.619047619047619	1	0.619047619047619	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.714285714285714	1	0.904761904761905	1	0	1
20	160	0.2	0	1	1	1	1	0	0.5	0	1	1	1	1	1	1	0.5	1	1	1	1	1	0	1	1	1	0.5	1	0.5	1	0
40	160	0.2	0	1	1	1	1	0.25	0.5	0.25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.25	1	0.25	1	0
80	160	0.2	0	1	1	1	1	0.666666666666667	0.833333333333333	0.833333333333333	1	1	1	1	1	1	0.833333333333333	0.833333333333333	1	1	1	1	1	1	1	1	0.833333333333333	1	0.833333333333333	1	0
160	160	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.833333333333333	0.166666666666667
320	160	0.2	0	1	1	1	1	1	0.909090909090909	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.181818181818182	0.818181818181818
20	320	0.2	0	1	1	1	1	0	0.5	0	1	0.5	1	1	1	1	0.5	0.5	1	1	1	1	0	1	0	1	0.25	1	0.25	1	0
40	320	0.2	0	1	1	1	1	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0
80	320	0.2	0	1	1	1	1	0	0.777777777777778	0.111111111111111	1	0.888888888888889	1	1	1	1	0.777777777777778	0.777777777777778	1	1	1	1	1	1	1	1	0.333333333333333	1	0.666666666666667	1	0
160	320	0.2	0	1	1	1	1	0.714285714285714	0.785714285714286	0.785714285714286	1	1	1	1	1	1	0.785714285714286	0.857142857142857	1	1	1	1	1	1	1	1	0.785714285714286	1	0.785714285714286	0.928571428571429	0.0714285714285714
320	320	0.2	0	1	1	1	1	0.863636363636364	0.863636363636364	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.954545454545455	1	1	0.727272727272727	0.272727272727273
20	20	0.5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.777777777777778	0.222222222222222
40	20	0.5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.222222222222222	0.777777777777778
80	20	0.5	0	1	1	1	1	1	0.75	1	0.916666666666667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.916666666666667	1	1	1	0.125	0.875
