n1	n2	d1	d2	type	m	sig1	sig2	sigm	sdir	d1.c2	d2.c1	d1.cm	d2.cm	dm.c1	dm.c2	c1.c2	c1.cm	c2.cm	d1.p2	d2.p1	dm.p1	dm.p2	p1.p2	d1.scp2	d2.scp1	dm.scp2	dm.scp1	d1.scpd2	d2.scpd1	dm.scpd2	dm.scpd1	big1	big2
20	20	0	0	raw	1000	48	48	38	512	806	807	944	944	998	997	997	1000	1000	939	939	1000	1000	1000	512	512	512	512	508	507	512	512	245	268
20	20	0	0	sig1	48	48	1	10	23	10	12	29	31	46	46	46	48	48	29	29	48	48	48	23	23	23	23	23	18	23	23	22	1
20	20	0	0	bsln	23	23	1	10	23	10	12	20	21	23	23	23	23	23	20	20	23	23	23	23	23	23	23	23	18	23	23	22	1
20	20	0	0	sig2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
20	20	0	0	big2	23	23	1	10	23	10	12	20	21	23	23	23	23	23	20	20	23	23	23	23	23	23	23	23	18	23	23	23	1
20	20	0	0	s2or	23	23	1	10	23	10	12	20	21	23	23	23	23	23	20	20	23	23	23	23	23	23	23	23	18	23	23	23	1
40	20	0	0	raw	1000	46	48	39	509	894	729	998	827	998	989	996	1000	999	952	948	1000	997	1000	276	509	380	509	497	509	506	509	192	317
40	20	0	0	sig1	46	46	2	16	20	26	18	44	23	44	41	43	46	45	35	35	46	44	46	20	20	20	20	20	20	20	20	20	0
40	20	0	0	bsln	20	20	0	14	20	20	18	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	0
40	20	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	20	0	0	big2	20	20	0	14	20	20	18	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	0
40	20	0	0	s2or	20	20	0	14	20	20	18	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	0
80	20	0	0	raw	1000	33	48	40	523	929	629	1000	682	1000	979	994	1000	999	958	951	1000	989	1000	63	523	76	523	490	523	507	523	136	387
80	20	0	0	sig1	33	33	2	19	18	28	15	33	15	33	32	32	33	33	30	30	33	32	33	18	18	18	18	18	18	18	18	11	7
80	20	0	0	bsln	18	18	2	17	18	18	15	18	15	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	11	7
80	20	0	0	sig2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2
80	20	0	0	big2	18	18	7	17	18	18	17	18	17	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	7
80	20	0	0	s2or	18	18	2	17	18	18	17	18	17	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	13	7
160	20	0	0	raw	1000	58	48	56	538	946	486	1000	509	1000	963	993	1000	995	957	951	1000	973	1000	3	538	6	538	475	538	491	538	110	428
160	20	0	0	sig1	58	58	3	35	26	52	19	58	19	58	54	57	58	58	54	54	58	56	58	3	26	6	26	25	26	25	26	13	13
160	20	0	0	bsln	26	26	2	25	26	26	19	26	19	26	26	26	26	26	26	26	26	26	26	3	26	6	26	25	26	25	26	13	13
160	20	0	0	sig2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2	1	2	0	2
160	20	0	0	big2	26	26	13	25	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	13	26	13	26	26	26	26	26	26	13
160	20	0	0	s2or	26	26	2	25	26	26	21	26	21	26	26	26	26	26	26	26	26	26	26	4	26	7	26	26	26	26	26	15	13
320	20	0	0	raw	1000	57	48	59	526	946	355	1000	365	1000	957	984	1000	988	952	947	1000	961	1000	0	526	0	526	439	526	442	526	86	440
320	20	0	0	sig1	57	57	5	47	36	52	24	57	24	57	53	54	57	54	53	53	57	53	57	0	36	0	36	31	36	31	36	17	19
320	20	0	0	bsln	36	36	3	36	36	35	24	36	24	36	35	35	36	35	35	35	36	35	36	0	36	0	36	31	36	31	36	17	19
320	20	0	0	sig2	3	3	3	3	3	2	0	3	0	3	2	2	3	2	2	2	3	2	3	0	3	0	3	1	3	1	3	0	3
320	20	0	0	big2	36	36	19	36	36	36	35	36	35	36	36	36	36	36	36	36	36	36	36	19	36	19	36	36	36	36	36	36	19
320	20	0	0	s2or	36	36	3	36	36	36	27	36	27	36	36	36	36	36	36	36	36	36	36	3	36	3	36	33	36	33	36	20	19
20	40	0	0	raw	1000	48	46	44	509	737	890	839	998	983	1000	993	1000	1000	939	943	998	1000	1000	509	274	509	359	509	502	509	508	317	192
20	40	0	0	sig1	48	48	3	13	24	6	14	9	48	38	48	43	48	48	24	27	48	48	48	24	13	24	24	24	17	24	23	24	0
20	40	0	0	bsln	24	24	2	13	24	6	14	9	24	23	24	23	24	24	21	22	24	24	24	24	13	24	24	24	17	24	23	24	0
20	40	0	0	sig2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
20	40	0	0	big2	24	24	2	13	24	6	14	9	24	23	24	23	24	24	21	22	24	24	24	24	13	24	24	24	17	24	23	24	0
20	40	0	0	s2or	24	24	2	13	24	6	14	9	24	23	24	23	24	24	21	22	24	24	24	24	13	24	24	24	17	24	23	24	2
40	40	0	0	raw	1000	46	46	51	512	840	842	958	957	997	997	997	1000	1000	954	954	1000	1000	1000	512	512	512	512	512	511	512	512	263	249
40	40	0	0	sig1	46	46	3	18	23	16	17	35	35	44	44	44	46	46	35	35	46	46	46	23	23	23	23	23	22	23	23	22	1
40	40	0	0	bsln	23	23	2	17	23	16	17	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	22	23	23	22	1
40	40	0	0	sig2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1
40	40	0	0	big2	23	23	2	17	23	16	17	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	22	23	23	23	1
40	40	0	0	s2or	23	23	2	17	23	16	17	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	22	23	23	23	2
80	40	0	0	raw	1000	33	46	29	488	895	750	995	836	1000	981	994	1000	1000	952	952	1000	997	1000	272	488	351	488	477	488	487	488	199	289
80	40	0	0	sig1	33	33	1	12	19	22	17	31	20	33	29	31	33	33	26	26	33	32	33	19	19	19	19	19	19	19	19	17	2
80	40	0	0	bsln	19	19	0	12	19	19	17	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	17	2
80	40	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	40	0	0	big2	19	19	2	12	19	19	17	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	2
80	40	0	0	s2or	19	19	0	12	19	19	17	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	17	2
160	40	0	0	raw	1000	58	46	58	475	928	623	1000	675	1000	969	991	1000	998	948	948	1000	983	1000	76	475	85	475	448	475	458	475	124	351
160	40	0	0	sig1	58	58	3	38	37	49	32	58	36	58	52	55	58	58	49	49	58	55	58	37	37	37	37	37	37	37	37	26	11
160	40	0	0	bsln	37	37	0	31	37	37	32	37	35	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	26	11
160	40	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	40	0	0	big2	37	37	11	31	37	37	32	37	35	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	11
160	40	0	0	s2or	37	37	0	31	37	37	32	37	35	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	26	11
320	40	0	0	raw	1000	57	46	52	491	937	506	1000	531	1000	964	989	1000	996	953	950	1000	975	1000	2	491	3	491	439	491	447	491	113	378
320	40	0	0	sig1	57	57	0	37	27	51	21	57	22	57	55	56	57	57	53	53	57	56	57	2	27	3	27	27	27	27	27	17	10
320	40	0	0	bsln	27	27	0	25	27	27	21	27	22	27	27	27	27	27	27	27	27	27	27	2	27	3	27	27	27	27	27	17	10
320	40	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
320	40	0	0	big2	27	27	10	25	27	27	23	27	24	27	27	27	27	27	27	27	27	27	27	12	27	12	27	27	27	27	27	27	10
320	40	0	0	s2or	27	27	0	25	27	27	21	27	22	27	27	27	27	27	27	27	27	27	27	2	27	3	27	27	27	27	27	17	10
20	80	0	0	raw	1000	48	33	38	489	609	923	670	1000	978	1000	993	999	1000	954	958	988	1000	1000	489	48	489	65	489	462	489	475	363	126
20	80	0	0	sig1	48	48	2	5	24	0	11	0	48	31	48	41	47	48	19	22	38	48	48	24	1	24	11	24	14	24	14	24	0
20	80	0	0	bsln	24	24	0	5	24	0	11	0	24	20	24	23	24	24	17	20	22	24	24	24	1	24	11	24	14	24	14	24	0
20	80	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	80	0	0	big2	24	24	0	5	24	0	11	0	24	20	24	23	24	24	17	20	22	24	24	24	1	24	11	24	14	24	14	24	0
20	80	0	0	s2or	24	24	0	5	24	0	11	0	24	20	24	23	24	24	17	20	22	24	24	24	1	24	11	24	14	24	14	24	0
40	80	0	0	raw	1000	46	33	35	522	758	908	853	997	989	1000	994	1000	1000	961	962	998	1000	1000	522	285	522	376	522	513	522	521	318	204
40	80	0	0	sig1	46	46	1	5	17	3	12	6	43	37	46	40	46	46	22	23	44	46	46	17	8	17	17	17	11	17	16	17	0
40	80	0	0	bsln	17	17	0	5	17	3	12	6	17	17	17	17	17	17	16	17	17	17	17	17	8	17	17	17	11	17	16	17	0
40	80	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	80	0	0	big2	17	17	0	5	17	3	12	6	17	17	17	17	17	17	16	17	17	17	17	17	8	17	17	17	11	17	16	17	0
