n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	d1.cm	d2.cm	dm.c1	dm.c2	c1.c2	c1.cm	c2.cm	d1.p2	d2.p1	dm.p1	dm.p2	p1.p2	d1.scp2	d2.scp1	dm.scp2	dm.scp1	d1.scpd2	d2.scpd1	dm.scpd2	dm.scpd1	big1	big2
10	10	0	0	0.09	0	0.111111111111111	0.58	0.222222222222222	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	0.555555555555556	0
20	10	0	0	0.06	0	0.5	0.46	0.666666666666667	0.5	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	0.666666666666667	0
50	10	0	0	0.05	0	1	0.54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	0.6	0.4
73	10	0	0	0.03	0	0.333333333333333	0.49	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	NA	NA	NA	NA	NA	NA	NA	NA	0.333333333333333	0
106	10	0	0	0.03	0	0.333333333333333	0.54	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	NA	NA	NA	NA	NA	NA	NA	NA	0.333333333333333	0
154	10	0	0	0.12	0.0833333333333333	0.833333333333333	0.6	0.833333333333333	0.5	0.833333333333333	0.5	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0	0.0833333333333333	0	0.0833333333333333	0	0.0833333333333333	0	0.0833333333333333	0.333333333333333	0.5
224	10	0	0	0.09	0.111111111111111	0.444444444444444	0.54	0.444444444444444	0.222222222222222	0.444444444444444	0.222222222222222	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0	0.111111111111111	0	0.111111111111111	0	0.111111111111111	0	0.111111111111111	0.111111111111111	0.333333333333333
325	10	0	0	0.08	0	0.375	0.45	0.375	0.25	0.375	0.25	0.375	0.375	0.375	0.375	0.375	0.375	0.375	0.375	0.375	0.375	NA	NA	NA	NA	NA	NA	NA	NA	0.125	0.25
473	10	0	0	0.04	0	0.75	0.5	0.75	0.5	0.75	0.5	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	NA	NA	NA	NA	NA	NA	NA	NA	0.5	0.25
688	10	0	0	0.03	0	0.666666666666667	0.44	0.666666666666667	0	0.666666666666667	0	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	0	0.666666666666667
1000	10	0	0	0.07	0.285714285714286	0.571428571428571	0.44	0.428571428571429	0.285714285714286	0.571428571428571	0.285714285714286	0.571428571428571	0.428571428571429	0.571428571428571	0.571428571428571	0.571428571428571	0.428571428571429	0.428571428571429	0.571428571428571	0.428571428571429	0.571428571428571	0	0.285714285714286	0	0.285714285714286	0.142857142857143	0.285714285714286	0.142857142857143	0.285714285714286	0.142857142857143	0.428571428571429
10	20	0	0	0.09	0	0.222222222222222	0.5	0	0.333333333333333	0.333333333333333	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	NA	NA	NA	NA	NA	NA	NA	NA	0.444444444444444	0
