n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	d1.cm	d2.cm	dm.c1	dm.c2	c1.c2	c1.cm	c2.cm	d1.p2	d2.p1	dm.p1	dm.p2	p1.p2	d1.scp2	d2.scp1	dm.scp2	dm.scp1	d1.scpd2	d2.scpd1	dm.scpd2	dm.scpd1	big1	big2
10	10	0	0	0.551020408163265	0.0204081632653061	0.224489795918367	0.551020408163265	0.244897959183673	0.285714285714286	0.510204081632653	0.551020408163265	0.551020408163265	0.551020408163265	0.551020408163265	0.551020408163265	0.551020408163265	0.510204081632653	0.530612244897959	0.551020408163265	0.551020408163265	0.551020408163265	0.551020408163265	0.551020408163265	0.551020408163265	0.551020408163265	0.551020408163265	0.448979591836735	0.551020408163265	0.551020408163265	0.551020408163265	0.0204081632653061
20	10	0	0	0.619047619047619	0.0238095238095238	0.547619047619048	0.619047619047619	0.595238095238095	0.452380952380952	0.619047619047619	0.595238095238095	0.619047619047619	0.619047619047619	0.619047619047619	0.619047619047619	0.619047619047619	0.619047619047619	0.619047619047619	0.619047619047619	0.619047619047619	0.619047619047619	0.619047619047619	0.619047619047619	0.619047619047619	0.619047619047619	0.619047619047619	0.595238095238095	0.619047619047619	0.619047619047619	0.595238095238095	0.0476190476190476
50	10	0	0	0.5625	0.0416666666666667	0.5625	0.5625	0.5625	0.375	0.5625	0.395833333333333	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5	0.5625	0.5625	0.5625	0.5625	0.5625	0.375	0.229166666666667
73	10	0	0	0.435483870967742	0.0161290322580645	0.403225806451613	0.435483870967742	0.435483870967742	0.387096774193548	0.435483870967742	0.403225806451613	0.435483870967742	0.435483870967742	0.435483870967742	0.435483870967742	0.435483870967742	0.435483870967742	0.435483870967742	0.435483870967742	0.435483870967742	0.435483870967742	0.0967741935483871	0.435483870967742	0.0967741935483871	0.435483870967742	0.435483870967742	0.435483870967742	0.435483870967742	0.435483870967742	0.290322580645161	0.161290322580645
106	10	0	0	0.511111111111111	0.0222222222222222	0.488888888888889	0.511111111111111	0.511111111111111	0.4	0.511111111111111	0.422222222222222	0.511111111111111	0.511111111111111	0.511111111111111	0.511111111111111	0.511111111111111	0.511111111111111	0.511111111111111	0.511111111111111	0.511111111111111	0.511111111111111	0.0222222222222222	0.511111111111111	0.0222222222222222	0.511111111111111	0.466666666666667	0.511111111111111	0.488888888888889	0.511111111111111	0.288888888888889	0.244444444444444
154	10	0	0	0.347826086956522	0.0652173913043478	0.326086956521739	0.347826086956522	0.347826086956522	0.282608695652174	0.347826086956522	0.304347826086957	0.347826086956522	0.347826086956522	0.347826086956522	0.347826086956522	0.347826086956522	0.347826086956522	0.347826086956522	0.347826086956522	0.347826086956522	0.347826086956522	0.0652173913043478	0.347826086956522	0.0652173913043478	0.347826086956522	0.347826086956522	0.347826086956522	0.347826086956522	0.347826086956522	0.217391304347826	0.195652173913043
224	10	0	0	0.568627450980392	0.0196078431372549	0.549019607843137	0.568627450980392	0.568627450980392	0.294117647058824	0.568627450980392	0.333333333333333	0.568627450980392	0.568627450980392	0.568627450980392	0.568627450980392	0.568627450980392	0.568627450980392	0.568627450980392	0.568627450980392	0.568627450980392	0.568627450980392	0.0196078431372549	0.568627450980392	0.0196078431372549	0.568627450980392	0.549019607843137	0.568627450980392	0.549019607843137	0.568627450980392	0.274509803921569	0.313725490196078
325	10	0	0	0.450980392156863	0.0588235294117647	0.450980392156863	0.450980392156863	0.450980392156863	0.274509803921569	0.450980392156863	0.274509803921569	0.450980392156863	0.450980392156863	0.450980392156863	0.450980392156863	0.450980392156863	0.450980392156863	0.450980392156863	0.450980392156863	0.450980392156863	0.450980392156863	0.0588235294117647	0.450980392156863	0.0588235294117647	0.450980392156863	0.411764705882353	0.450980392156863	0.411764705882353	0.450980392156863	0.235294117647059	0.274509803921569
473	10	0	0	0.541666666666667	0.0208333333333333	0.541666666666667	0.541666666666667	0.541666666666667	0.291666666666667	0.541666666666667	0.3125	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.0208333333333333	0.541666666666667	0.0208333333333333	0.541666666666667	0.458333333333333	0.541666666666667	0.458333333333333	0.541666666666667	0.166666666666667	0.395833333333333
688	10	0	0	0.607843137254902	0	0.607843137254902	0.607843137254902	0.607843137254902	0.215686274509804	0.607843137254902	0.215686274509804	0.607843137254902	0.607843137254902	0.607843137254902	0.607843137254902	0.607843137254902	0.607843137254902	0.607843137254902	0.607843137254902	0.607843137254902	0.607843137254902	0	0.607843137254902	0	0.607843137254902	0.490196078431373	0.607843137254902	0.490196078431373	0.607843137254902	0.117647058823529	0.490196078431373
1000	10	0	0	0.450980392156863	0.0196078431372549	0.450980392156863	0.450980392156863	0.450980392156863	0.117647058823529	0.450980392156863	0.117647058823529	0.450980392156863	0.450980392156863	0.450980392156863	0.450980392156863	0.450980392156863	0.450980392156863	0.450980392156863	0.450980392156863	0.450980392156863	0.450980392156863	0.0196078431372549	0.450980392156863	0.0196078431372549	0.450980392156863	0.333333333333333	0.450980392156863	0.333333333333333	0.450980392156863	0.0588235294117647	0.411764705882353
10	20	0	0	0.469387755102041	0.0204081632653061	0.0816326530612245	0.469387755102041	0.0408163265306122	0.306122448979592	0.102040816326531	0.469387755102041	0.448979591836735	0.469387755102041	0.448979591836735	0.469387755102041	0.469387755102041	0.36734693877551	0.408163265306122	0.448979591836735	0.469387755102041	0.469387755102041	0.469387755102041	0.204081632653061	0.469387755102041	0.469387755102041	0.469387755102041	0.306122448979592	0.469387755102041	0.428571428571429	0.469387755102041	0.0204081632653061
20	20	0	0	0.547619047619048	0.0238095238095238	0.404761904761905	0.547619047619048	0.404761904761905	0.428571428571429	0.5	0.5	0.547619047619048	0.547619047619048	0.547619047619048	0.547619047619048	0.547619047619048	0.5	0.5	0.547619047619048	0.547619047619048	0.547619047619048	0.547619047619048	0.547619047619048	0.547619047619048	0.547619047619048	0.547619047619048	0.476190476190476	0.547619047619048	0.547619047619048	0.547619047619048	0.0238095238095238
