n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	d1.cm	d2.cm	dm.c1	dm.c2	c1.c2	c1.cm	c2.cm	d1.p2	d2.p1	dm.p1	dm.p2	p1.p2	d1.scp2	d2.scp1	dm.scp2	dm.scp1	d1.scpd2	d2.scpd1	dm.scpd2	dm.scpd1	big1	big2
10	10	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.333333333333333	0.666666666666667
20	10	0	0	1	1	1	1	1	0.909090909090909	1	0.909090909090909	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.909090909090909	1	1	1	0	1
50	10	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.705882352941177	1	0.764705882352941	1	0	1
73	10	0	0	1	1	1	1	0.5	0	1	0	1	0.666666666666667	1	1	1	0.666666666666667	0.5	1	0.666666666666667	1	0.166666666666667	1	0.666666666666667	1	0.5	1	0.5	1	0	1
106	10	0	0	1	1	1	1	0.823529411764706	0	1	0	1	0.823529411764706	0.941176470588235	1	0.941176470588235	0.823529411764706	0.823529411764706	1	0.823529411764706	1	0	1	0	1	0.647058823529412	1	0.647058823529412	1	0	1
154	10	0	0	1	1	1	1	0.909090909090909	0	1	0	1	0.909090909090909	1	1	1	0.909090909090909	0.727272727272727	1	0.909090909090909	1	0	1	0	1	0.545454545454545	1	0.545454545454545	1	0	1
224	10	0	0	1	1	1	1	0.9375	0	1	0	1	0.9375	1	1	1	0.9375	0.875	1	1	1	0	1	0	1	0.5625	1	0.5625	1	0	1
325	10	0	0	1	1	1	1	0.736842105263158	0	1	0	1	0.736842105263158	0.894736842105263	1	0.894736842105263	0.736842105263158	0.473684210526316	1	0.789473684210526	1	0	1	0	1	0.473684210526316	1	0.473684210526316	1	0	1
473	10	0	0	1	1	1	1	0.625	0	1	0	1	0.625	0.75	1	0.75	0.625	0.25	1	0.625	1	0	1	0	1	0.625	1	0.625	1	0	1
688	10	0	0	1	1	1	1	0.666666666666667	0	1	0	1	0.666666666666667	0.75	1	0.75	0.666666666666667	0.5	1	0.666666666666667	1	0	1	0	1	0.5	1	0.5	1	0	1
1000	10	0	0	1	1	1	1	0.666666666666667	0	1	0	1	0.666666666666667	0.916666666666667	1	0.916666666666667	0.666666666666667	0.166666666666667	1	0.666666666666667	1	0	1	0	1	0.666666666666667	1	0.666666666666667	1	0	1
10	20	0	0	1	1	1	1	0.888888888888889	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
20	20	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.545454545454545	0.454545454545455
50	20	0	0	1	1	1	1	0.947368421052632	0.736842105263158	1	0.842105263157895	1	1	1	1	1	1	0.947368421052632	1	1	1	1	1	1	1	0.894736842105263	1	0.947368421052632	1	0	1
73	20	0	0	1	1	1	1	1	0.4	1	0.7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7	1	1	1	0	1
106	20	0	0	1	1	1	1	0.777777777777778	0	1	0.111111111111111	1	1	1	1	1	0.888888888888889	0.888888888888889	1	1	1	1	1	1	1	0.777777777777778	1	0.777777777777778	1	0	1
154	20	0	0	1	1	1	1	0.857142857142857	0	1	0	1	0.928571428571429	1	1	1	0.857142857142857	0.857142857142857	1	0.928571428571429	1	0.214285714285714	1	0.5	1	0.428571428571429	1	0.5	1	0	1
224	20	0	0	1	1	1	1	0.846153846153846	0	1	0	1	0.846153846153846	1	1	1	0.846153846153846	0.846153846153846	1	0.846153846153846	1	0	1	0	1	0.615384615384615	1	0.615384615384615	1	0	1
325	20	0	0	1	1	1	1	0.8	0	1	0	1	0.8	1	1	1	0.8	0.8	1	0.9	1	0	1	0	1	0.1	1	0.1	1	0	1
473	20	0	0	1	1	1	1	0.8	0	1	0	1	0.9	1	1	1	0.8	0.8	1	1	1	0	1	0	1	0.4	1	0.4	1	0	1
688	20	0	0	1	1	1	1	0.666666666666667	0	1	0	1	0.666666666666667	1	1	1	0.666666666666667	0.666666666666667	1	0.666666666666667	1	0	1	0	1	0.666666666666667	1	0.666666666666667	1	0	1
1000	20	0	0	1	1	1	1	0.714285714285714	0	1	0	1	0.857142857142857	0.857142857142857	1	0.857142857142857	0.714285714285714	0.714285714285714	1	0.857142857142857	1	0	1	0	1	0.571428571428571	1	0.571428571428571	1	0	1
10	50	0	0	1	1	1	1	0	1	0.111111111111111	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.666666666666667	1	0.888888888888889	1	0
20	50	0	0	1	1	1	1	0.777777777777778	0.888888888888889	0.777777777777778	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
50	50	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.285714285714286	0.714285714285714
73	50	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.111111111111111	0.888888888888889
106	50	0	0	1	1	1	1	1	0.916666666666667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.25	0.75
154	50	0	0	1	1	1	1	1	0.5	1	0.75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
224	50	0	0	1	1	1	1	1	0	1	0.315789473684211	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.842105263157895	1	0.947368421052632	1	0	1
325	50	0	0	1	1	1	1	0.909090909090909	0	1	0	1	0.909090909090909	1	1	1	0.909090909090909	0.909090909090909	1	0.909090909090909	1	0.181818181818182	1	1	1	0.545454545454545	1	0.636363636363636	1	0	1
473	50	0	0	1	1	1	1	0.9	0	1	0	1	0.9	1	1	1	0.9	0.9	1	1	1	0	1	0	1	0.6	1	0.6	1	0	1
688	50	0	0	1	1	1	1	0.909090909090909	0	1	0	1	1	1	1	1	1	0.909090909090909	1	1	1	0	1	0	1	0.363636363636364	1	0.363636363636364	1	0	1
1000	50	0	0	1	1	1	1	0.733333333333333	0	1	0	1	0.8	0.933333333333333	1	0.933333333333333	0.8	0.733333333333333	1	0.8	1	0	1	0	1	0.4	1	0.4	1	0	1
10	73	0	0	1	1	1	1	0	0.727272727272727	0	1	1	1	1	1	1	0.727272727272727	1	1	1	1	1	0.181818181818182	1	0.545454545454545	1	0.454545454545455	1	0.454545454545455	1	0
20	73	0	0	1	1	1	1	0.181818181818182	0.909090909090909	0.454545454545455	1	1	1	1	1	1	0.909090909090909	1	1	1	1	1	1	1	1	1	0.818181818181818	1	1	1	0
50	73	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.75	0.25
73	73	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.4	0.6
