n1	n2	d1	d2	sig1	sig2	sdir
20	20	0	0	0.0491	0.0672097759674134	0.4974
50	20	0	0	0.0498	0.0542168674698795	0.4967
100	20	0	0	0.0501	0.0538922155688623	0.492
150	20	0	0	0.0506	0.041501976284585	0.4936
200	20	0	0	0.0517	0.058027079303675	0.5001
250	20	0	0	0.0489	0.0429447852760736	0.4966
300	20	0	0	0.0496	0.0282258064516129	0.505
350	20	0	0	0.0504	0.0634920634920635	0.4924
400	20	0	0	0.0494	0.0587044534412955	0.4956
450	20	0	0	0.0489	0.049079754601227	0.5115
500	20	0	0	0.0511	0.0626223091976517	0.5022
20	50	0	0	0.0491	0.044806517311609	0.5003
50	50	0	0	0.0498	0.0481927710843374	0.5124
100	50	0	0	0.0501	0.0419161676646707	0.5037
150	50	0	0	0.0506	0.0395256916996047	0.5043
200	50	0	0	0.0517	0.0386847195357834	0.4958
250	50	0	0	0.0489	0.0388548057259714	0.4979
300	50	0	0	0.0496	0.0463709677419355	0.5099
350	50	0	0	0.0504	0.0496031746031746	0.4967
400	50	0	0	0.0494	0.0546558704453441	0.5031
450	50	0	0	0.0489	0.0531697341513292	0.494
500	50	0	0	0.0511	0.0430528375733855	0.5045
20	100	0	0	0.0491	0.054989816700611	0.5058
50	100	0	0	0.0498	0.0622489959839357	0.4959
100	100	0	0	0.0501	0.0678642714570858	0.4962
150	100	0	0	0.0506	0.0454545454545455	0.5068
200	100	0	0	0.0517	0.0560928433268859	0.4951
250	100	0	0	0.0489	0.0593047034764826	0.499
300	100	0	0	0.0496	0.0524193548387097	0.4934
350	100	0	0	0.0504	0.0456349206349206	0.4992
400	100	0	0	0.0494	0.0445344129554656	0.5084
450	100	0	0	0.0489	0.049079754601227	0.5031
500	100	0	0	0.0511	0.0645792563600783	0.5074
20	150	0	0	0.0491	0.0488798370672098	0.5026
50	150	0	0	0.0498	0.0481927710843374	0.5055
100	150	0	0	0.0501	0.0339321357285429	0.5104
150	150	0	0	0.0506	0.041501976284585	0.502
200	150	0	0	0.0517	0.0406189555125725	0.4947
250	150	0	0	0.0489	0.0531697341513292	0.5062
300	150	0	0	0.0496	0.0564516129032258	0.4932
350	150	0	0	0.0504	0.0317460317460317	0.5018
400	150	0	0	0.0494	0.0647773279352227	0.4976
450	150	0	0	0.0489	0.0613496932515337	0.4979
500	150	0	0	0.0511	0.060665362035225	0.499
20	200	0	0	0.0491	0.065173116089613	0.5047
50	200	0	0	0.0498	0.0582329317269076	0.4972
100	200	0	0	0.0501	0.0459081836327345	0.5017
150	200	0	0	0.0506	0.0553359683794466	0.5065
200	200	0	0	0.0517	0.0502901353965184	0.5068
250	200	0	0	0.0489	0.0572597137014315	0.4995
300	200	0	0	0.0496	0.0362903225806452	0.5077
350	200	0	0	0.0504	0.0496031746031746	0.5077
400	200	0	0	0.0494	0.0546558704453441	0.4911
450	200	0	0	0.0489	0.0388548057259714	0.4952
500	200	0	0	0.0511	0.0313111545988258	0.5073
20	250	0	0	0.0491	0.044806517311609	0.5016
50	250	0	0	0.0498	0.0502008032128514	0.4987
100	250	0	0	0.0501	0.0459081836327345	0.5028
150	250	0	0	0.0506	0.0612648221343874	0.491
200	250	0	0	0.0517	0.0560928433268859	0.4847
250	250	0	0	0.0489	0.0552147239263804	0.4972
300	250	0	0	0.0496	0.0443548387096774	0.5076
350	250	0	0	0.0504	0.0535714285714286	0.5008
400	250	0	0	0.0494	0.0384615384615385	0.5054
450	250	0	0	0.0489	0.0429447852760736	0.4887
500	250	0	0	0.0511	0.0450097847358121	0.5024
20	300	0	0	0.0491	0.054989816700611	0.4898
50	300	0	0	0.0498	0.0582329317269076	0.4973
100	300	0	0	0.0501	0.0459081836327345	0.4968
150	300	0	0	0.0506	0.0612648221343874	0.4946
200	300	0	0	0.0517	0.058027079303675	0.4949
250	300	0	0	0.0489	0.049079754601227	0.5028
300	300	0	0	0.0496	0.0403225806451613	0.4992
350	300	0	0	0.0504	0.0456349206349206	0.507
400	300	0	0	0.0494	0.0587044534412955	0.4842
450	300	0	0	0.0489	0.0531697341513292	0.5005
500	300	0	0	0.0511	0.0430528375733855	0.5038
20	350	0	0	0.0491	0.0590631364562118	0.495
50	350	0	0	0.0498	0.0461847389558233	0.4851
100	350	0	0	0.0501	0.0578842315369262	0.4984
150	350	0	0	0.0506	0.0553359683794466	0.4856
200	350	0	0	0.0517	0.0444874274661509	0.4977
250	350	0	0	0.0489	0.0470347648261759	0.4966
300	350	0	0	0.0496	0.0423387096774194	0.4988
350	350	0	0	0.0504	0.0575396825396825	0.5008
400	350	0	0	0.0494	0.0526315789473684	0.5034
