n1	n2	d1	d2	sig1	sig2	sdir
20	20	0	0	1	0.0672097759674134	0.496945010183299
50	20	0	0	1	0.0542168674698795	0.504016064257028
100	20	0	0	1	0.0538922155688623	0.463073852295409
150	20	0	0	1	0.041501976284585	0.513833992094862
200	20	0	0	1	0.058027079303675	0.477756286266925
250	20	0	0	1	0.0429447852760736	0.529652351738241
300	20	0	0	1	0.0282258064516129	0.512096774193548
350	20	0	0	1	0.0634920634920635	0.527777777777778
400	20	0	0	1	0.0587044534412955	0.520242914979757
450	20	0	0	1	0.049079754601227	0.533742331288344
500	20	0	0	1	0.0626223091976517	0.50880626223092
20	50	0	0	1	0.044806517311609	0.468431771894094
50	50	0	0	1	0.0481927710843374	0.506024096385542
100	50	0	0	1	0.0419161676646707	0.50499001996008
150	50	0	0	1	0.0395256916996047	0.513833992094862
200	50	0	0	1	0.0386847195357834	0.493230174081238
250	50	0	0	1	0.0388548057259714	0.507157464212679
300	50	0	0	1	0.0463709677419355	0.504032258064516
350	50	0	0	1	0.0496031746031746	0.505952380952381
400	50	0	0	1	0.0546558704453441	0.47165991902834
450	50	0	0	1	0.0531697341513292	0.525562372188139
500	50	0	0	1	0.0430528375733855	0.518590998043053
20	100	0	0	1	0.054989816700611	0.5010183299389
50	100	0	0	1	0.0622489959839357	0.5
100	100	0	0	1	0.0678642714570858	0.516966067864271
150	100	0	0	1	0.0454545454545455	0.488142292490119
200	100	0	0	1	0.0560928433268859	0.460348162475822
250	100	0	0	1	0.0593047034764826	0.488752556237219
300	100	0	0	1	0.0524193548387097	0.485887096774194
350	100	0	0	1	0.0456349206349206	0.488095238095238
400	100	0	0	1	0.0445344129554656	0.52834008097166
450	100	0	0	1	0.049079754601227	0.486707566462168
500	100	0	0	1	0.0645792563600783	0.518590998043053
20	150	0	0	1	0.0488798370672098	0.474541751527495
50	150	0	0	1	0.0481927710843374	0.512048192771084
100	150	0	0	1	0.0339321357285429	0.489021956087824
150	150	0	0	1	0.041501976284585	0.50197628458498
200	150	0	0	1	0.0406189555125725	0.493230174081238
250	150	0	0	1	0.0531697341513292	0.535787321063395
300	150	0	0	1	0.0564516129032258	0.526209677419355
350	150	0	0	1	0.0317460317460317	0.472222222222222
400	150	0	0	1	0.0647773279352227	0.475708502024291
450	150	0	0	1	0.0613496932515337	0.54601226993865
500	150	0	0	1	0.060665362035225	0.512720156555773
20	200	0	0	1	0.065173116089613	0.474541751527495
50	200	0	0	1	0.0582329317269076	0.530120481927711
100	200	0	0	1	0.0459081836327345	0.489021956087824
150	200	0	0	1	0.0553359683794466	0.49604743083004
200	200	0	0	1	0.0502901353965184	0.518375241779497
250	200	0	0	1	0.0572597137014315	0.533742331288344
300	200	0	0	1	0.0362903225806452	0.524193548387097
350	200	0	0	1	0.0496031746031746	0.484126984126984
400	200	0	0	1	0.0546558704453441	0.520242914979757
450	200	0	0	1	0.0388548057259714	0.498977505112474
500	200	0	0	1	0.0313111545988258	0.50880626223092
20	250	0	0	1	0.044806517311609	0.519348268839104
50	250	0	0	1	0.0502008032128514	0.471887550200803
100	250	0	0	1	0.0459081836327345	0.508982035928144
150	250	0	0	1	0.0612648221343874	0.480237154150198
200	250	0	0	1	0.0560928433268859	0.499032882011605
250	250	0	0	1	0.0552147239263804	0.531697341513292
300	250	0	0	1	0.0443548387096774	0.493951612903226
350	250	0	0	1	0.0535714285714286	0.486111111111111
400	250	0	0	1	0.0384615384615385	0.493927125506073
450	250	0	0	1	0.0429447852760736	0.476482617586912
500	250	0	0	1	0.0450097847358121	0.50880626223092
20	300	0	0	1	0.054989816700611	0.507128309572301
50	300	0	0	1	0.0582329317269076	0.471887550200803
100	300	0	0	1	0.0459081836327345	0.475049900199601
150	300	0	0	1	0.0612648221343874	0.480237154150198
200	300	0	0	1	0.058027079303675	0.483558994197292
250	300	0	0	1	0.049079754601227	0.507157464212679
300	300	0	0	1	0.0403225806451613	0.475806451612903
350	300	0	0	1	0.0456349206349206	0.511904761904762
400	300	0	0	1	0.0587044534412955	0.469635627530364
450	300	0	0	1	0.0531697341513292	0.482617586912065
500	300	0	0	1	0.0430528375733855	0.536203522504892
20	350	0	0	1	0.0590631364562118	0.490835030549898
50	350	0	0	1	0.0461847389558233	0.427710843373494
100	350	0	0	1	0.0578842315369262	0.481037924151697
150	350	0	0	1	0.0553359683794466	0.464426877470356
200	350	0	0	1	0.0444874274661509	0.508704061895551
250	350	0	0	1	0.0470347648261759	0.486707566462168
300	350	0	0	1	0.0423387096774194	0.485887096774194
350	350	0	0	1	0.0575396825396825	0.527777777777778
400	350	0	0	1	0.0526315789473684	0.493927125506073
450	350	0	0	1	0.065439672801636	0.511247443762781
500	350	0	0	1	0.0410958904109589	0.487279843444227
20	400	0	0	1	0.0590631364562118	0.505091649694501
50	400	0	0	1	0.0502008032128514	0.504016064257028
100	400	0	0	1	0.0538922155688623	0.493013972055888
150	400	0	0	1	0.0553359683794466	0.49802371541502
200	400	0	0	1	0.0618955512572534	0.516441005802708
250	400	0	0	1	0.0368098159509202	0.505112474437628
300	400	0	0	1	0.0362903225806452	0.481854838709677
350	400	0	0	1	0.0416666666666667	0.529761904761905
400	400	0	0	1	0.0445344129554656	0.516194331983806
450	400	0	0	1	0.0449897750511247	0.517382413087935
500	400	0	0	1	0.0645792563600783	0.479452054794521
20	450	0	0	1	0.0488798370672098	0.462321792260692
