n1	n2	d1	d2	sig1	sig2	sdir
20	20	0	0	0.0491	0.0203665987780041	0.4974
50	20	0	0	0.0498	0.034136546184739	0.4967
100	20	0	0	0.0501	0.0259481037924152	0.492
150	20	0	0	0.0506	0.0158102766798419	0.4936
200	20	0	0	0.0517	0.0270793036750484	0.5001
250	20	0	0	0.0489	0.0245398773006135	0.4966
300	20	0	0	0.0496	0.0201612903225806	0.505
350	20	0	0	0.0504	0.0376984126984127	0.4924
400	20	0	0	0.0494	0.034412955465587	0.4956
450	20	0	0	0.0489	0.0286298568507157	0.5115
500	20	0	0	0.0511	0.0352250489236791	0.5022
20	50	0	0	0.0491	0.0264765784114053	0.5003
50	50	0	0	0.0498	0.0261044176706827	0.5124
100	50	0	0	0.0501	0.0199600798403194	0.5037
150	50	0	0	0.0506	0.0197628458498024	0.5043
200	50	0	0	0.0517	0.00967117988394584	0.4958
250	50	0	0	0.0489	0.0286298568507157	0.4979
300	50	0	0	0.0496	0.0262096774193548	0.5099
350	50	0	0	0.0504	0.0337301587301587	0.4967
400	50	0	0	0.0494	0.0242914979757085	0.5031
450	50	0	0	0.0489	0.0306748466257669	0.494
500	50	0	0	0.0511	0.0215264187866928	0.5045
20	100	0	0	0.0491	0.0325865580448065	0.5058
50	100	0	0	0.0498	0.0281124497991968	0.4959
100	100	0	0	0.0501	0.0339321357285429	0.4962
150	100	0	0	0.0506	0.0138339920948617	0.5068
200	100	0	0	0.0517	0.0309477756286267	0.4951
250	100	0	0	0.0489	0.0265848670756646	0.499
300	100	0	0	0.0496	0.0282258064516129	0.4934
350	100	0	0	0.0504	0.0218253968253968	0.4992
400	100	0	0	0.0494	0.0222672064777328	0.5084
450	100	0	0	0.0489	0.0204498977505112	0.5031
500	100	0	0	0.0511	0.025440313111546	0.5074
20	150	0	0	0.0491	0.0285132382892057	0.5026
50	150	0	0	0.0498	0.0301204819277108	0.5055
100	150	0	0	0.0501	0.0219560878243513	0.5104
150	150	0	0	0.0506	0.0237154150197628	0.502
200	150	0	0	0.0517	0.0193423597678917	0.4947
250	150	0	0	0.0489	0.016359918200409	0.5062
300	150	0	0	0.0496	0.032258064516129	0.4932
350	150	0	0	0.0504	0.0138888888888889	0.5018
400	150	0	0	0.0494	0.0283400809716599	0.4976
450	150	0	0	0.0489	0.0449897750511247	0.4979
500	150	0	0	0.0511	0.0313111545988258	0.499
20	200	0	0	0.0491	0.0346232179226069	0.5047
50	200	0	0	0.0498	0.0220883534136546	0.4972
100	200	0	0	0.0501	0.0279441117764471	0.5017
150	200	0	0	0.0506	0.041501976284585	0.5065
200	200	0	0	0.0517	0.0406189555125725	0.5068
250	200	0	0	0.0489	0.0306748466257669	0.4995
300	200	0	0	0.0496	0.0100806451612903	0.5077
350	200	0	0	0.0504	0.0257936507936508	0.5077
400	200	0	0	0.0494	0.0364372469635627	0.4911
450	200	0	0	0.0489	0.0184049079754601	0.4952
500	200	0	0	0.0511	0.0176125244618395	0.5073
20	250	0	0	0.0491	0.0183299389002037	0.5016
50	250	0	0	0.0498	0.0200803212851406	0.4987
100	250	0	0	0.0501	0.0239520958083832	0.5028
150	250	0	0	0.0506	0.0355731225296443	0.491
200	250	0	0	0.0517	0.0290135396518375	0.4847
250	250	0	0	0.0489	0.0286298568507157	0.4972
300	250	0	0	0.0496	0.0201612903225806	0.5076
350	250	0	0	0.0504	0.0277777777777778	0.5008
400	250	0	0	0.0494	0.01417004048583	0.5054
450	250	0	0	0.0489	0.0245398773006135	0.4887
500	250	0	0	0.0511	0.0234833659491194	0.5024
20	300	0	0	0.0491	0.0264765784114053	0.4898
50	300	0	0	0.0498	0.0281124497991968	0.4973
100	300	0	0	0.0501	0.0179640718562874	0.4968
150	300	0	0	0.0506	0.0256916996047431	0.4946
200	300	0	0	0.0517	0.0309477756286267	0.4949
250	300	0	0	0.0489	0.0265848670756646	0.5028
300	300	0	0	0.0496	0.0241935483870968	0.4992
350	300	0	0	0.0504	0.0178571428571429	0.507
400	300	0	0	0.0494	0.0425101214574899	0.4842
450	300	0	0	0.0489	0.0245398773006135	0.5005
500	300	0	0	0.0511	0.0215264187866928	0.5038
20	350	0	0	0.0491	0.0264765784114053	0.495
50	350	0	0	0.0498	0.0240963855421687	0.4851
100	350	0	0	0.0501	0.0239520958083832	0.4984
150	350	0	0	0.0506	0.0296442687747036	0.4856
200	350	0	0	0.0517	0.0251450676982592	0.4977
250	350	0	0	0.0489	0.016359918200409	0.4966
300	350	0	0	0.0496	0.0141129032258065	0.4988
350	350	0	0	0.0504	0.0317460317460317	0.5008
400	350	0	0	0.0494	0.0303643724696356	0.5034
450	350	0	0	0.0489	0.0306748466257669	0.5005
500	350	0	0	0.0511	0.0234833659491194	0.4928
20	400	0	0	0.0491	0.0366598778004073	0.5042
50	400	0	0	0.0498	0.0321285140562249	0.5037
100	400	0	0	0.0501	0.0279441117764471	0.502
150	400	0	0	0.0506	0.0355731225296443	0.502
200	400	0	0	0.0517	0.0328820116054159	0.4977
250	400	0	0	0.0489	0.0143149284253579	0.5074
300	400	0	0	0.0496	0.0141129032258065	0.4998
350	400	0	0	0.0504	0.0238095238095238	0.4936
400	400	0	0	0.0494	0.0242914979757085	0.5128
450	400	0	0	0.0489	0.016359918200409	0.5035
500	400	0	0	0.0511	0.0391389432485323	0.503
20	450	0	0	0.0491	0.0264765784114053	0.4993
50	450	0	0	0.0498	0.0301204819277108	0.498
100	450	0	0	0.0501	0.0219560878243513	0.4997
150	450	0	0	0.0506	0.0217391304347826	0.4917
