n1	n2	d1	d2	type	m	sig1	sig2	sdir
20	20	0	0	raw	10000	491	491	4974
20	20	0	0	sig1	491	491	33	244
20	20	0	0	bsln	244	244	10	244
20	20	0	0	sig2	10000	491	491	4974
20	20	0	0	big2	491	491	33	244
20	20	0	0	s2or	244	244	10	244
50	20	0	0	raw	10000	498	491	4967
50	20	0	0	sig1	498	498	27	251
50	20	0	0	bsln	251	251	17	251
50	20	0	0	sig2	10000	498	491	4967
50	20	0	0	big2	498	498	27	251
50	20	0	0	s2or	251	251	17	251
100	20	0	0	raw	10000	501	491	4920
100	20	0	0	sig1	501	501	27	232
100	20	0	0	bsln	232	232	13	232
100	20	0	0	sig2	10000	501	491	4920
100	20	0	0	big2	501	501	27	232
100	20	0	0	s2or	232	232	13	232
150	20	0	0	raw	10000	506	491	4936
150	20	0	0	sig1	506	506	21	260
150	20	0	0	bsln	260	260	8	260
150	20	0	0	sig2	10000	506	491	4936
150	20	0	0	big2	506	506	21	260
150	20	0	0	s2or	260	260	8	260
200	20	0	0	raw	10000	517	491	5001
200	20	0	0	sig1	517	517	30	247
200	20	0	0	bsln	247	247	14	247
200	20	0	0	sig2	10000	517	491	5001
200	20	0	0	big2	517	517	30	247
200	20	0	0	s2or	247	247	14	247
250	20	0	0	raw	10000	489	491	4966
250	20	0	0	sig1	489	489	21	259
250	20	0	0	bsln	259	259	12	259
250	20	0	0	sig2	10000	489	491	4966
250	20	0	0	big2	489	489	21	259
250	20	0	0	s2or	259	259	12	259
300	20	0	0	raw	10000	496	491	5050
300	20	0	0	sig1	496	496	14	254
300	20	0	0	bsln	254	254	10	254
300	20	0	0	sig2	10000	496	491	5050
300	20	0	0	big2	496	496	14	254
300	20	0	0	s2or	254	254	10	254
350	20	0	0	raw	10000	504	491	4924
350	20	0	0	sig1	504	504	32	266
350	20	0	0	bsln	266	266	19	266
350	20	0	0	sig2	10000	504	491	4924
350	20	0	0	big2	504	504	32	266
350	20	0	0	s2or	266	266	19	266
400	20	0	0	raw	10000	494	491	4956
400	20	0	0	sig1	494	494	29	257
400	20	0	0	bsln	257	257	17	257
400	20	0	0	sig2	10000	494	491	4956
400	20	0	0	big2	494	494	29	257
400	20	0	0	s2or	257	257	17	257
450	20	0	0	raw	10000	489	491	5115
450	20	0	0	sig1	489	489	24	261
450	20	0	0	bsln	261	261	14	261
450	20	0	0	sig2	10000	489	491	5115
450	20	0	0	big2	489	489	24	261
450	20	0	0	s2or	261	261	14	261
500	20	0	0	raw	10000	511	491	5022
500	20	0	0	sig1	511	511	32	260
500	20	0	0	bsln	260	260	18	260
500	20	0	0	sig2	10000	511	491	5022
500	20	0	0	big2	511	511	32	260
500	20	0	0	s2or	260	260	18	260
20	50	0	0	raw	10000	491	498	5003
20	50	0	0	sig1	491	491	22	230
20	50	0	0	bsln	230	230	13	230
20	50	0	0	sig2	10000	491	498	5003
20	50	0	0	big2	491	491	22	230
20	50	0	0	s2or	230	230	13	230
50	50	0	0	raw	10000	498	498	5124
50	50	0	0	sig1	498	498	24	252
50	50	0	0	bsln	252	252	13	252
50	50	0	0	sig2	10000	498	498	5124
50	50	0	0	big2	498	498	24	252
50	50	0	0	s2or	252	252	13	252
100	50	0	0	raw	10000	501	498	5037
100	50	0	0	sig1	501	501	21	253
100	50	0	0	bsln	253	253	10	253
100	50	0	0	sig2	10000	501	498	5037
100	50	0	0	big2	501	501	21	253
100	50	0	0	s2or	253	253	10	253
150	50	0	0	raw	10000	506	498	5043
150	50	0	0	sig1	506	506	20	260
150	50	0	0	bsln	260	260	10	260
150	50	0	0	sig2	10000	506	498	5043
150	50	0	0	big2	506	506	20	260
150	50	0	0	s2or	260	260	10	260
200	50	0	0	raw	10000	517	498	4958
200	50	0	0	sig1	517	517	20	255
200	50	0	0	bsln	255	255	5	255
200	50	0	0	sig2	10000	517	498	4958
200	50	0	0	big2	517	517	20	255
200	50	0	0	s2or	255	255	5	255
250	50	0	0	raw	10000	489	498	4979
250	50	0	0	sig1	489	489	19	248
250	50	0	0	bsln	248	248	14	248
