n1	n2	d	scpd
10	10	0	-0.99316332635611
10	20	0	-0.739843611618859
10	40	0	-0.573998721068931
10	80	0	-0.460976223800588
10	160	0	-0.382616578400636
10	320	0	-0.327765102067811
10	640	0	-0.28922088469493
10	1280	0	-0.262042471656477
10	2560	0	-0.242891014892789
10	5120	0	-0.229365326006593
20	10	0	-0.928973317377677
20	20	0	-0.679020178839732
20	40	0	-0.514732520556797
20	80	0	-0.402478717714093
20	160	0	-0.324487095825565
20	320	0	-0.269826501519299
20	640	0	-0.231444209524938
20	1280	0	-0.204313810516589
20	2560	0	-0.185209339300967
20	5120	0	-0.171695204760203
40	10	0	-0.883796683222186
40	20	0	-0.636127359912833
40	40	0	-0.472897039729082
40	80	0	-0.361149265701391
40	160	0	-0.283430621070446
40	320	0	-0.228943834054766
40	640	0	-0.190597554971408
40	1280	0	-0.163510579225436
40	2560	0	-0.144415753531731
40	5120	0	-0.130893009764148
80	10	0	-0.851959077195256
80	20	0	-0.605907072299241
80	40	0	-0.443343319053581
80	80	0	-0.33195628925864
80	160	0	-0.254400207368792
80	320	0	-0.199997352010771
80	640	0	-0.161691733925858
80	1280	0	-0.134660834171166
80	2560	0	-0.115578036616381
80	5120	0	-0.102115954001894
160	10	0	-0.829539119777914
160	20	0	-0.584590597446516
160	40	0	-0.422518903834435
160	80	0	-0.311364021277063
160	160	0	-0.233927400290948
160	320	0	-0.179590507070467
160	640	0	-0.141312624703763
160	1280	0	-0.114284497478646
160	2560	0	-0.0952245437275202
160	5120	0	-0.0817327589287927
320	10	0	-0.813659412045115
320	20	0	-0.569462042643222
320	40	0	-0.407754126735552
320	80	0	-0.296762787410567
320	160	0	-0.219421048033972
320	320	0	-0.165079283067864
320	640	0	-0.126860933065514
320	1280	0	-0.0998356578266819
320	2560	0	-0.0807890037302904
320	5120	0	-0.0672961497482375
640	10	0	-0.802470178800629
640	20	0	-0.558833277201605
640	40	0	-0.397343021273494
640	80	0	-0.286476921936762
640	160	0	-0.209166771592152
640	320	0	-0.154870531406576
640	640	0	-0.116644383673426
640	1280	0	-0.0896785334357192
640	2560	0	-0.0706091082957147
640	5120	0	-0.0571211136539688
1280	10	0	-0.794543913855871
1280	20	0	-0.551287184741543
1280	40	0	-0.389964148844002
1280	80	0	-0.279140386705583
1280	160	0	-0.201904326885043
1280	320	0	-0.147646974442543
1280	640	0	-0.109393139042517
1280	1280	0	-0.082453997714477
1280	2560	0	-0.0633620177197839
1280	5120	0	-0.049884920676386
2560	10	0	-0.788983838715279
2560	20	0	-0.54599297833257
2560	40	0	-0.384771061412586
2560	80	0	-0.274059802815995
2560	160	0	-0.196782567485236
2560	320	0	-0.142564602754079
2560	640	0	-0.104339491177208
2560	1280	0	-0.0773562392391629
2560	2560	0	-0.0582940836751022
2560	5120	0	-0.0448181996689434
5120	10	0	-0.785027305164789
5120	20	0	-0.54222508029367
5120	40	0	-0.381078744428299
5120	80	0	-0.270412515381455
5120	160	0	-0.193168825687687
5120	320	0	-0.138973500553125
5120	640	0	-0.100728339538813
5120	1280	0	-0.0737183032124495
5120	2560	0	-0.0546544022099193
5120	5120	0	-0.0412080683624903
10	10	0.05	-0.938239579581268
10	20	0.05	-0.687809277437718
10	40	0.05	-0.523300233930068
10	80	0.05	-0.410939396622381
10	160	0.05	-0.332919943197195
10	320	0.05	-0.278234763169368
10	640	0.05	-0.239777794585544
10	1280	0.05	-0.212703275709861
10	2560	0.05	-0.193545396729639
10	5120	0.05	-0.180032577128547
20	10	0.05	-0.873908680298534
20	20	0.05	-0.6267687158
20	40	0.05	-0.463726554570148
20	80	0.05	-0.35207572264932
20	160	0.05	-0.274425063506597
20	320	0.05	-0.219953170964475
20	640	0.05	-0.181610798535838
20	1280	0.05	-0.154547070984152
20	2560	0.05	-0.135460592401064
20	5120	0.05	-0.12197016555853
40	10	0.05	-0.828816629839573
40	20	0.05	-0.583903621766989
40	40	0.05	-0.421847409981619
40	80	0.05	-0.310699753534956
40	160	0.05	-0.233267057525075
40	320	0.05	-0.178925686748539
40	640	0.05	-0.140654130772996
40	1280	0.05	-0.113627696963327
40	2560	0.05	-0.0945633978618919
40	5120	0.05	-0.0810778534810052
80	10	0.05	-0.797070852809706
80	20	0.05	-0.553692991317814
80	40	0.05	-0.392316744811223
80	80	0.05	-0.281475175709713
80	160	0.05	-0.204218571654294
80	320	0.05	-0.149955971113869
80	640	0.05	-0.11170991079563
80	1280	0.05	-0.0847398495435804
80	2560	0.05	-0.0656781754164485
80	5120	0.05	-0.0521656678080627
160	10	0.05	-0.774655168496583
160	20	0.05	-0.532345248159463
160	40	0.05	-0.371460172337589
160	80	0.05	-0.260850619722792
160	160	0.05	-0.183668554655686
160	320	0.05	-0.129447756197985
160	640	0.05	-0.0912472231416214
160	1280	0.05	-0.064301292597512
160	2560	0.05	-0.0452024592957002
160	5120	0.05	-0.0317573911489412
320	10	0.05	-0.758844523364619
320	20	0.05	-0.517293499030782
320	40	0.05	-0.356718583482343
320	80	0.05	-0.246285230455634
320	160	0.05	-0.169162485189857
320	320	0.05	-0.114974421810035
320	640	0.05	-0.0768072212689814
320	1280	0.05	-0.0498309966066274
320	2560	0.05	-0.0307938635315357
320	5120	0.05	-0.0173422113410007
640	10	0.05	-0.747727310126621
640	20	0.05	-0.506656279410512
640	40	0.05	-0.346302978530319
640	80	0.05	-0.235955245867802
640	160	0.05	-0.158890122666256
640	320	0.05	-0.104781225519963
640	640	0.05	-0.0665813535412803
640	1280	0.05	-0.0396132653295878
640	2560	0.05	-0.0205573658280524
640	5120	0.05	-0.0071126231159633
1280	10	0.05	-0.739864274323515
1280	20	0.05	-0.499166691757839
1280	40	0.05	-0.338969816374138
1280	80	0.05	-0.228697380085437
1280	160	0.05	-0.151688658536601
1280	320	0.05	-0.0975556851497824
1280	640	0.05	-0.0593801649924721
1280	1280	0.05	-0.0324177593878932
1280	2560	0.05	-0.0134049933723923
1280	5120	0.05	7.70471009184089e-05
2560	10	0.05	-0.734289746831767
2560	20	0.05	-0.493854003136387
2560	40	0.05	-0.333767994595773
2560	80	0.05	-0.223547758300238
2560	160	0.05	-0.146564122906132
2560	320	0.05	-0.0924428884622113
2560	640	0.05	-0.0542675463010872
2560	1280	0.05	-0.027314435440879
2560	2560	0.05	-0.00827238850761868
2560	5120	0.05	0.00519435985717293
5120	10	0.05	-0.730346136298813
5120	20	0.05	-0.490094352303711
5120	40	0.05	-0.330099459527304
5120	80	0.05	-0.21990286610838
5120	160	0.05	-0.142938138872014
5120	320	0.05	-0.0888230268503916
5120	640	0.05	-0.0506600634628903
5120	1280	0.05	-0.0236890250111137
5120	2560	0.05	-0.00466373838842533
5120	5120	0.05	0.00877800220362465
10	10	0.1	-0.88365956123517
10	20	0.1	-0.635995743777027
10	40	0.1	-0.472769900045003
10	80	0.1	-0.361023646610629
10	160	0.1	-0.283305792512366
10	320	0.1	-0.228819846334238
10	640	0.1	-0.190470119461814
10	1280	0.1	-0.163386697493146
10	2560	0.1	-0.144291727750831
10	5120	0.1	-0.130799322906422
20	10	0.1	-0.819246914939004
20	20	0.1	-0.574788715023202
20	40	0.1	-0.412950735902421
20	80	0.1	-0.301880505623088
20	160	0.1	-0.224495194716867
20	320	0.1	-0.170178831278304
20	640	0.1	-0.131914628229377
20	1280	0.1	-0.104932905399133
20	2560	0.1	-0.0858435464008423
20	5120	0.1	-0.0724018016220236
40	10	0.1	-0.774124151412339
40	20	0.1	-0.531839348988705
40	40	0.1	-0.370964604218005
40	80	0.1	-0.26036105199606
40	160	0.1	-0.183180469893352
40	320	0.1	-0.128962475383461
40	640	0.1	-0.0907618548193403
40	1280	0.1	-0.0637662586716179
40	2560	0.1	-0.0447162703667245
40	5120	0.1	-0.0312728185190319
80	10	0.1	-0.742435019513741
80	20	0.1	-0.501615906475011
80	40	0.1	-0.341367877987437
80	80	0.1	-0.231071055909069
80	160	0.1	-0.154066994412871
80	320	0.1	-0.0999106977150541
80	640	0.1	-0.0617359339282707
80	1280	0.1	-0.0347706779948501
80	2560	0.1	-0.0157327049288142
80	5120	0.1	-0.00226073002908875
160	10	0.1	-0.720102279251101
160	20	0.1	-0.480324086950048
