n1	pval	d33
5	0.01	1.68848776745013
5	0.02	1.42854391972376
5	0.03	1.27874983163459
5	0.04	1.17287274511049
5	0.05	1.09068862186215
10	0.01	1.05070074189156
10	0.02	0.911494893422181
10	0.03	0.827493498626274
10	0.04	0.766378185230707
10	0.05	0.717931150811528
20	0.01	0.706069989221816
20	0.02	0.618475592401014
20	0.03	0.564556318264247
20	0.04	0.524862192941998
20	0.05	0.49311738158196
40	0.01	0.487971033774524
40	0.02	0.429244477888664
40	0.03	0.392797737610402
40	0.04	0.365808760794543
40	0.05	0.34410586178307
60	0.01	0.395512231041248
60	0.02	0.348404078895442
60	0.03	0.319066212601242
60	0.04	0.297300435279419
60	0.05	0.279800146082741
80	0.01	0.341295120677308
80	0.02	0.300866544225261
80	0.03	0.275606746690976
80	0.04	0.25688311732156
80	0.05	0.241810125480154
100	0.01	0.30461277250723
100	0.02	0.268614274270044
100	0.03	0.246144457150131
100	0.04	0.229450263784335
100	0.05	0.216013467301432
120	0.01	0.277672461876086
120	0.02	0.244920286291443
120	0.03	0.224467852962655
120	0.04	0.209272292453194
120	0.05	0.197032644393717
140	0.01	0.256798469431623
140	0.02	0.226574328625049
140	0.03	0.20767519133435
140	0.04	0.193624854898485
140	0.05	0.182310862138546
160	0.01	0.240054068444211
160	0.02	0.211811134633312
160	0.03	0.194159079304997
160	0.04	0.1810332827281
160	0.05	0.170460246470421
180	0.01	0.226193188314555
180	0.02	0.199603081678729
180	0.03	0.182979776184287
180	0.04	0.170613107886657
180	0.05	0.160656500245317
200	0.01	0.214486432108109
200	0.02	0.189289163595563
200	0.03	0.173526268851101
200	0.04	0.161809043383093
200	0.05	0.152370527617869
