n1	n2	pval	dsig	dclose
5	5	0.01	1.45844507220241	0.635727676417527
5	5	0.02	1.45844507220241	0.388238875501759
5	5	0.03	1.45844507220241	0.241265251406452
5	5	0.04	1.45844507220241	0.135280416771161
5	5	0.05	1.45844507220241	0.0517703658026699
5	10	0.01	0.939560899481302	0.923094584695101
5	10	0.02	0.939560899481302	0.679089625652439
5	10	0.03	0.939560899481302	0.536053755047424
5	10	0.04	0.939560899481302	0.433756483181068
5	10	0.05	0.939560899481302	0.353643990652176
5	15	0.01	0.747972532343959	1.05379968690916
5	15	0.02	0.747972532343959	0.809238437960105
5	15	0.03	0.747972532343959	0.666417682727257
5	15	0.04	0.747972532343959	0.564573187732604
5	15	0.05	0.747972532343959	0.485008794637512
5	20	0.01	0.640169643991407	1.13319268222509
5	20	0.02	0.640169643991407	0.88774228432223
5	20	0.03	0.640169643991407	0.744768069076837
5	20	0.04	0.640169643991407	0.642948225739384
5	20	0.05	0.640169643991407	0.563467150646671
5	25	0.01	0.568693388642186	1.18814735250472
5	25	0.02	0.568693388642186	0.941906389981644
5	25	0.03	0.568693388642186	0.798651499529419
5	25	0.04	0.568693388642186	0.696721979592345
5	25	0.05	0.568693388642186	0.617237258578626
5	30	0.01	0.516841231993781	1.22911167780794
5	30	0.02	0.516841231993781	0.982194767575934
5	30	0.03	0.516841231993781	0.838692519275027
5	30	0.04	0.516841231993781	0.736652778610548
5	30	0.05	0.516841231993781	0.657093224407206
5	35	0.01	0.477008311176576	1.2612336226137
5	35	0.02	0.477008311176576	1.01371653246542
5	35	0.03	0.477008311176576	0.869939053900771
5	35	0.04	0.477008311176576	0.767779344693372
5	35	0.05	0.477008311176576	0.688178397533262
5	40	0.01	0.445166937866914	1.28731743947552
5	40	0.02	0.445166937866914	1.03926931061265
5	40	0.03	0.445166937866914	0.895282583485152
5	40	0.04	0.445166937866914	0.793007676998819
5	40	0.05	0.445166937866914	0.713332347724187
5	45	0.01	0.418957489588976	1.3090498210088
5	45	0.02	0.418957489588976	1.0605385317737
5	45	0.03	0.418957489588976	0.916349014374935
5	45	0.04	0.418957489588976	0.813960623997595
5	45	0.05	0.418957489588976	0.734214155973
5	50	0.01	0.396893490901696	1.32752952861674
5	50	0.02	0.396893490901696	1.07861397279085
5	50	0.03	0.396893490901696	0.934232292218228
5	50	0.04	0.396893490901696	0.831780310393392
5	50	0.05	0.396893490901696	0.751932476682451
5	55	0.01	0.377985652345708	1.34349926559034
5	55	0.02	0.377985652345708	1.09421511732831
5	55	0.03	0.377985652345708	0.949663824669885
5	55	0.04	0.377985652345708	0.847094837681424
5	55	0.05	0.377985652345708	0.767187939845352
5	60	0.01	0.361546593642764	1.35750474322931
5	60	0.02	0.361546593642764	1.10786820890829
5	60	0.03	0.361546593642764	0.963158547586387
5	60	0.04	0.361546593642764	0.860511246468126
5	60	0.05	0.361546593642764	0.780568985334464
5	65	0.01	0.347081827283863	1.36985734667369
5	65	0.02	0.347081827283863	1.11997430915972
5	65	0.03	0.347081827283863	0.975152197285522
5	65	0.04	0.347081827283863	0.872375146188462
5	65	0.05	0.347081827283863	0.792381569072122
5	70	0.01	0.334225300286886	1.38093256476242
5	70	0.02	0.334225300286886	1.13074087180972
5	70	0.03	0.334225300286886	0.985803017089011
5	70	0.04	0.334225300286886	0.882966171535739
5	70	0.05	0.334225300286886	0.802925974448298
5	75	0.01	0.322699451905998	1.39092330805296
5	75	0.02	0.322699451905998	1.14047512943444
5	75	0.03	0.322699451905998	0.99538677105014
5	75	0.04	0.322699451905998	0.892498042941289
5	75	0.05	0.322699451905998	0.812404781066066
5	80	0.01	0.312289476915654	1.39994928893625
5	80	0.02	0.312289476915654	1.14924649593554
5	80	0.03	0.312289476915654	1.00408793780099
5	80	0.04	0.312289476915654	0.901137312894289
5	80	0.05	0.312289476915654	0.821024571025938
5	85	0.01	0.302826184621576	1.40820100784518
5	85	0.02	0.302826184621576	1.15731170249753
5	85	0.03	0.302826184621576	1.0120240279217
5	85	0.04	0.302826184621576	0.909015973036287
5	85	0.05	0.302826184621576	0.828835101130309
5	90	0.01	0.29417425415294	1.41577288280667
5	90	0.02	0.29417425415294	1.16468022413569
5	90	0.03	0.29417425415294	1.01930121117026
5	90	0.04	0.29417425415294	0.916240166606363
5	90	0.05	0.29417425415294	0.836008390643297
5	95	0.01	0.286223986560141	1.42276801739044
5	95	0.02	0.286223986560141	1.17147320241947
5	95	0.03	0.286223986560141	1.02600632936765
5	95	0.04	0.286223986560141	0.922896353902018
5	95	0.05	0.286223986560141	0.842660922805003
5	100	0.01	0.27888538623929	1.42922490387133
5	100	0.02	0.27888538623929	1.17778665731236
5	100	0.03	0.27888538623929	1.03221097709345
5	100	0.04	0.27888538623929	0.929055767332976
5	100	0.05	0.27888538623929	0.848768164918168
5	105	0.01	0.272083832067735	1.43522435430738
5	105	0.02	0.272083832067735	1.18360217751105
5	105	0.03	0.272083832067735	1.03796841072768
5	105	0.04	0.272083832067735	0.934716655591454
5	105	0.05	0.272083832067735	0.85441405086115
5	110	0.01	0.265756857035164	1.44083805241821
5	110	0.02	0.265756857035164	1.18905078092178
5	110	0.03	0.265756857035164	1.04333216206525
5	110	0.04	0.265756857035164	0.940050878471575
5	110	0.05	0.265756857035164	0.859734240904546
5	115	0.01	0.259851715778905	1.44609810448777
5	115	0.02	0.259851715778905	1.19415059149174
5	115	0.03	0.259851715778905	1.04834737067403
5	115	0.04	0.259851715778905	0.94503956019845
5	115	0.05	0.259851715778905	0.864707628235698
5	120	0.01	0.254323521873523	1.45096382148178
5	120	0.02	0.254323521873523	1.19890464815014
5	120	0.03	0.254323521873523	1.05311201503848
5	120	0.04	0.254323521873523	0.949718665456202
5	120	0.05	0.254323521873523	0.869331733657244
5	125	0.01	0.249133803578933	1.45559906830647
5	125	0.02	0.249133803578933	1.20341506047374
5	125	0.03	0.249133803578933	1.05753574349225
5	125	0.04	0.249133803578933	0.954119083079111
5	125	0.05	0.249133803578933	0.873697417977325
5	130	0.01	0.244249371294224	1.45997029160984
5	130	0.02	0.244249371294224	1.20766754822766
5	130	0.03	0.244249371294224	1.06170691953631
5	130	0.04	0.244249371294224	0.958259876481936
5	130	0.05	0.244249371294224	0.877811691323795
5	135	0.01	0.239641420204689	1.46409394050809
5	135	0.02	0.239641420204689	1.2116377838265
5	135	0.03	0.239641420204689	1.06564916235002
5	135	0.04	0.239641420204689	0.962171452186904
5	135	0.05	0.239641420204689	0.881704921503123
5	140	0.01	0.23528481249374	1.46799800902415
5	140	0.02	0.23528481249374	1.21545162657165
5	140	0.03	0.23528481249374	1.06938295318025
5	140	0.04	0.23528481249374	0.965874574795223
5	140	0.05	0.23528481249374	0.885386013263459
5	145	0.01	0.231157498141327	1.47170259478835
5	145	0.02	0.231157498141327	1.21904863459141
5	145	0.03	0.231157498141327	1.0729261259879
5	145	0.04	0.231157498141327	0.969387193880224
5	145	0.05	0.231157498141327	0.888877757962245
5	150	0.01	0.227240043755883	1.47522421861013
5	150	0.02	0.227240043755883	1.2224674334636
5	150	0.03	0.227240043755883	1.07629429635484
5	150	0.04	0.227240043755883	0.972725164498126
5	150	0.05	0.227240043755883	0.892195961342661
5	155	0.01	0.223515246404534	1.47857754240268
5	155	0.02	0.223515246404534	1.22572234869211
5	155	0.03	0.223515246404534	1.07950123978761
5	155	0.04	0.223515246404534	0.975902551757028
5	155	0.05	0.223515246404534	0.895354645053773
5	160	0.01	0.219967814894065	1.48177562952825
5	160	0.02	0.219967814894065	1.22882613989853
5	160	0.03	0.219967814894065	1.08254736467707
5	160	0.04	0.219967814894065	0.978931882818301
5	160	0.05	0.219967814894065	0.898366298105369
5	165	0.01	0.216584105006719	1.48483016189927
5	165	0.02	0.216584105006719	1.2317902132019
5	165	0.03	0.216584105006719	1.08547678724369
5	165	0.04	0.216584105006719	0.981824356724177
5	165	0.05	0.216584105006719	0.901242086253022
5	170	0.01	0.213351898217844	1.48775162212706
5	170	0.02	0.213351898217844	1.2346247996038
5	170	0.03	0.213351898217844	1.08829656211984
5	170	0.04	0.213351898217844	0.984590020153724
5	170	0.05	0.213351898217844	0.903992027398383
5	175	0.01	0.210260215700192	1.49054944720915
5	175	0.02	0.210260215700192	1.23733910568171
5	175	0.03	0.210260215700192	1.09094261687267
5	175	0.04	0.210260215700192	0.987237915467463
5	175	0.05	0.210260215700192	0.906625139335756
5	180	0.01	0.207299161151755	1.49323215889836
5	180	0.02	0.207299161151755	1.23994144156439
5	180	0.03	0.207299161151755	1.09350087629844
5	180	0.04	0.207299161151755	0.989776206070204
5	180	0.05	0.207299161151755	0.909129203421177
5	185	0.01	0.204459787312606	1.49580747483347
5	185	0.02	0.204459787312606	1.24243933013753
5	185	0.03	0.204459787312606	1.0959520394804
5	185	0.04	0.204459787312606	0.992212283106536
5	185	0.05	0.204459787312606	0.91154898843695
5	190	0.01	0.201733982063454	1.49828493293855
5	190	0.02	0.201733982063454	1.24483960064354
5	190	0.03	0.201733982063454	1.09830161370193
5	190	0.04	0.201733982063454	0.994552856703326
5	190	0.05	0.201733982063454	0.913873789241511
5	195	0.01	0.199114370799048	1.50066553292444
5	195	0.02	0.199114370799048	1.24715107956209
5	195	0.03	0.199114370799048	1.10061561474717
5	195	0.04	0.199114370799048	0.996804034353797
5	195	0.05	0.199114370799048	0.916109682799798
5	200	0.01	0.196594232397627	1.50295796030321
5	200	0.02	0.196594232397627	1.24937382849656
5	200	0.03	0.196594232397627	1.102793320194
5	200	0.04	0.196594232397627	0.998971388551317
5	200	0.05	0.196594232397627	0.918262214483411
5	205	0.01	0.194167426603825	1.50516755301176
5	205	0.02	0.194167426603825	1.25151605527846
5	205	0.03	0.194167426603825	1.10490267656435
5	205	0.04	0.194167426603825	1.00106001538916
5	205	0.05	0.194167426603825	0.920336456447386
5	210	0.01	0.191828331037026	1.50729920537224
5	210	0.02	0.191828331037026	1.25358252805657
