n1	n2	pval	dcross
5	10	0.01	0.939560899481302
5	14	0.02	0.776917101031606
5	17	0.03	0.698662372866015
5	20	0.04	0.640169643991407
5	23	0.05	0.594299475094278
10	25	0.01	0.568693388642186
10	32	0.02	0.499742879258345
10	39	0.03	0.451025031087098
10	45	0.04	0.418957489588976
10	51	0.05	0.392884904880359
20	53	0.01	0.385219262799512
20	69	0.02	0.336682305203626
20	83	0.03	0.306507209815577
20	95	0.04	0.286223986560141
20	108	0.05	0.268234267084903
40	110	0.01	0.265756857035164
40	142	0.02	0.233607513928508
40	169	0.03	0.21398676281941
40	195	0.04	0.199114370799048
40	220	0.05	0.187393048338406
60	167	0.01	0.215273682691494
60	215	0.02	0.18957178635272
60	256	0.03	0.173650078381799
60	295	0.04	0.161713747191134
60	333	0.05	0.152171498728036
80	224	0.01	0.18570312980287
80	288	0.02	0.163675453450493
80	343	0.03	0.149928842084293
80	395	0.04	0.139679319511412
80	445	0.05	0.1315756204622
100	281	0.01	0.165710328525705
100	361	0.02	0.146130259948859
100	430	0.03	0.133857259643277
100	495	0.04	0.124736295931298
100	558	0.05	0.117467601015255
120	338	0.01	0.151037684332926
120	434	0.02	0.133237239327337
120	517	0.03	0.122047099094802
120	594	0.04	0.113844826960852
120	670	0.05	0.107181227170164
140	395	0.01	0.139679319511412
140	507	0.02	0.123247702146929
140	604	0.03	0.112896556910122
140	694	0.04	0.105308341682085
140	783	0.05	0.0991330412408843
160	452	0.01	0.130550041734673
160	580	0.02	0.115213469371025
160	690	0.03	0.10561367804635
160	794	0.04	0.0984428988886735
160	895	0.05	0.0927140724186232
180	509	0.01	0.123004747020337
180	653	0.02	0.108569987645252
180	777	0.03	0.0995156541455183
180	893	0.04	0.0928179784724183
180	1008	0.05	0.0873562331858797
200	566	0.01	0.116632690772965
200	726	0.02	0.102957371184176
200	864	0.03	0.094364984215697
200	993	0.04	0.0880143507347891
200	1121	0.05	0.0828314017750324
