n1	n2	d1	d2	sig1	sig2	sdir	sigm	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	big2
20	20	0	0	0.5	0	0.5	0.25	0.5	0.5	0.5	0.5	0.5	0.5	0
40	20	0	0	0.571428571428571	0.142857142857143	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.285714285714286
80	20	0	0	0.25	0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
160	20	0	0	1	0	1	1	1	0.666666666666667	1	1	1	1	0.333333333333333
320	20	0	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.125
20	40	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	40	0	0	0.571428571428571	0	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0
80	40	0	0	0.5	0	0.5	0	0.5	0	0.5	0.5	0.5	0.5	0
160	40	0	0	0.666666666666667	0	0.666666666666667	0.333333333333333	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.333333333333333
320	40	0	0	0.5	0.125	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.125
20	80	0	0	0.75	0	0.75	0.25	0	0.5	0.75	0.5	0.5	0.75	0
40	80	0	0	0.285714285714286	0	0.285714285714286	0.285714285714286	0	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0
80	80	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	80	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
320	80	0	0	0.625	0	0.625	0.5	0.625	0.375	0.625	0.625	0.625	0.625	0.125
20	160	0	0	0.5	0	0.5	0.25	0	0.25	0.5	0.25	0.25	0.5	0
40	160	0	0	0.571428571428571	0	0.571428571428571	0.142857142857143	0	0.142857142857143	0.571428571428571	0.428571428571429	0.428571428571429	0.571428571428571	0
