n1	n2	d1	d2	sig1	sig2	sdir	sigm	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	big2
20	20	0	0	1	0	0.5	0.25	0.5	0.5	0.75	0.75	0.75	1	0
40	20	0	0	1	0.142857142857143	0.571428571428571	0.714285714285714	0.714285714285714	0.571428571428571	1	0.857142857142857	0.857142857142857	1	0.285714285714286
80	20	0	0	1	0	0.25	0.25	0.75	0.25	1	0.75	0.75	1	0.25
160	20	0	0	1	0	1	1	1	0.666666666666667	1	1	1	1	0.333333333333333
320	20	0	0	1	0	0.5	0.75	1	0.5	1	1	1	1	0.125
20	40	0	0	1	0	0	0	0	0	1	0.25	0.5	1	0
40	40	0	0	1	0	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.857142857142857	0.714285714285714	0.714285714285714	1	0
80	40	0	0	1	0	0.5	0	0.5	0	1	1	1	1	0
160	40	0	0	1	0.333333333333333	0.666666666666667	0.333333333333333	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	1	0.333333333333333
320	40	0	0	1	0.25	0.5	0.875	0.75	0.375	0.875	0.875	0.875	1	0.125
20	80	0	0	1	0	0.75	0.25	0	0.5	1	0.5	0.5	1	0
40	80	0	0	1	0	0.285714285714286	0.285714285714286	0	0.285714285714286	1	0.428571428571429	0.428571428571429	1	0
80	80	0	0	1	0	0	0	0	0	0.75	0	0	1	0
160	80	0	0	1	0	0	0	0.666666666666667	0	1	1	1	1	0
320	80	0	0	1	0	0.625	0.5	0.625	0.375	1	0.625	0.625	1	0.125
20	160	0	0	1	0	0.5	0.25	0	0.25	0.75	0.25	0.25	1	0
40	160	0	0	1	0	0.571428571428571	0.142857142857143	0	0.142857142857143	0.857142857142857	0.571428571428571	0.571428571428571	1	0
80	160	0	0	1	0	0.25	0.25	0	0.25	1	0.5	0.5	1	0
160	160	0	0	1	0	0.666666666666667	0.333333333333333	0.333333333333333	0.333333333333333	1	1	1	1	0
320	160	0	0	1	0	0.625	0.5	0.75	0.625	1	0.875	0.875	1	0
20	320	0	0	1	0.25	0.5	0.25	0	0.25	0.75	0.25	0.25	1	0
40	320	0	0	1	0	0.428571428571429	0	0	0.142857142857143	0.571428571428571	0.142857142857143	0.142857142857143	1	0
80	320	0	0	1	0.25	0.75	0.25	0	0.5	1	0.75	0.75	1	0
160	320	0	0	1	0	0.666666666666667	0	0	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	1	0
320	320	0	0	1	0.125	0.375	0.375	0.375	0.375	0.875	0.625	0.625	1	0.125
20	20	0.2	0	1	0.142857142857143	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.857142857142857	0.714285714285714	0.714285714285714	1	0
40	20	0.2	0	1	0	0.5	0.571428571428571	0.5	0.285714285714286	0.928571428571429	0.642857142857143	0.642857142857143	1	0.0714285714285714
80	20	0.2	0	1	0.0588235294117647	0.411764705882353	0.705882352941177	0.705882352941177	0.352941176470588	0.941176470588235	0.882352941176471	0.823529411764706	1	0.117647058823529
160	20	0.2	0	1	0	0.4	0.725	0.875	0.3	1	0.875	0.875	1	0.075
320	20	0.2	0	1	0.0277777777777778	0.458333333333333	0.916666666666667	0.930555555555556	0.319444444444444	0.958333333333333	0.930555555555556	0.930555555555556	1	0.25
20	40	0.2	0	1	0	0.428571428571429	0	0	0.285714285714286	0.857142857142857	0.714285714285714	0.857142857142857	0.857142857142857	0
40	40	0.2	0	1	0	0.5	0.142857142857143	0.285714285714286	0.285714285714286	0.928571428571429	0.642857142857143	0.714285714285714	1	0
80	40	0.2	0	1	0	0.705882352941177	0.647058823529412	0.705882352941177	0.411764705882353	1	0.882352941176471	0.882352941176471	1	0
160	40	0.2	0	1	0.05	0.55	0.7	0.725	0.375	0.9	0.725	0.725	1	0.1
320	40	0.2	0	1	0.0972222222222222	0.527777777777778	0.902777777777778	0.833333333333333	0.305555555555556	0.888888888888889	0.847222222222222	0.847222222222222	1	0.166666666666667
20	80	0.2	0	1	0	0.714285714285714	0	0	0.428571428571429	0.714285714285714	0.714285714285714	0.714285714285714	1	0
40	80	0.2	0	1	0	0.571428571428571	0.142857142857143	0.142857142857143	0.214285714285714	0.928571428571429	0.357142857142857	0.428571428571429	1	0
80	80	0.2	0	1	0	0.588235294117647	0.352941176470588	0.235294117647059	0.235294117647059	0.941176470588235	0.588235294117647	0.647058823529412	1	0
160	80	0.2	0	1	0	0.65	0.65	0.65	0.3	1	0.875	0.875	1	0.025
320	80	0.2	0	1	0.0416666666666667	0.458333333333333	0.763888888888889	0.680555555555556	0.263888888888889	0.944444444444444	0.777777777777778	0.777777777777778	1	0.0555555555555556
20	160	0.2	0	1	0	0.571428571428571	0	0	0.428571428571429	0.857142857142857	0.428571428571429	0.428571428571429	0.857142857142857	0
40	160	0.2	0	1	0.142857142857143	0.5	0.142857142857143	0	0.142857142857143	0.714285714285714	0.214285714285714	0.285714285714286	1	0
80	160	0.2	0	1	0	0.470588235294118	0.176470588235294	0.0588235294117647	0.235294117647059	0.882352941176471	0.529411764705882	0.529411764705882	1	0
160	160	0.2	0	1	0.025	0.55	0.375	0.275	0.275	0.925	0.575	0.575	1	0
320	160	0.2	0	1	0.0277777777777778	0.458333333333333	0.680555555555556	0.444444444444444	0.333333333333333	0.833333333333333	0.583333333333333	0.583333333333333	0.986111111111111	0.0416666666666667
20	320	0.2	0	1	0	0.285714285714286	0	0	0	0.714285714285714	0	0.142857142857143	1	0
