n1	n2	d1	d2	sig1	sig2	sdir	sigm	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	d2.scp1	big2
20	20	0	0	1	1	1	1	1	1	1	1	1	1	1	1
40	20	0	0	1	1	1	1	1	1	1	1	1	1	1	1
80	20	0	0	1	1	1	1	1	0	1	1	1	1	1	1
160	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	20	0	0	1	1	1	1	1	0	1	1	1	1	1	1
20	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	40	0	0	1	1	1	1	1	1	1	1	1	1	1	1
160	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	40	0	0	1	1	1	1	0.5	0	1	1	1	1	1	1
20	80	0	0	1	1	1	1	0.75	1	1	1	1	1	1	0
40	80	0	0	1	1	1	1	1	1	1	1	1	1	1	0.5
80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160	80	0	0	1	1	1	1	1	1	1	1	1	1	1	1
320	80	0	0	1	1	1	1	1	0	1	1	1	1	1	1
20	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	160	0	0	1	1	1	1	0.5	1	1	1	1	1	1	0
80	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160	160	0	0	1	1	1	1	1	1	1	1	1	1	1	1
320	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	320	0	0	1	1	1	1	0	1	1	1	1	1	0	0
40	320	0	0	1	1	1	1	0	1	1	1	1	1	0	0
80	320	0	0	1	1	1	1	0	1	1	1	1	1	1	0
160	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	320	0	0	1	1	1	1	1	1	1	1	1	1	1	0.666666666666667
20	20	0.2	0	1	1	1	1	1	1	1	1	1	1	1	0.5
40	20	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1
80	20	0.2	0	1	1	1	1	1	0.25	1	1	1	1	1	1
160	20	0.2	0	1	1	1	1	0.705882352941177	0	1	0.764705882352941	0.705882352941177	1	1	1
320	20	0.2	0	1	1	1	1	0.9375	0	0.9375	0.9375	0.9375	1	1	1
20	40	0.2	0	1	1	1	1	0.75	1	1	1	1	1	1	0
40	40	0.2	0	1	1	1	1	1	1	1	1	1	1	1	0.4
80	40	0.2	0	1	1	1	1	1	1	1	1	1	1	1	0.6
