n1	n2	d1	d2	type	m	sig1	sig2	sdir	sigm	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	d2.scp1	big2
20	20	0	0	raw	1000	36	36	492	39	836	837	994	958	957	1000	492	235
20	20	0	0	sig1	36	36	1	21	14	15	16	32	23	26	36	21	1
20	20	0	0	bsln	21	21	1	21	14	15	16	21	21	21	21	21	1
20	20	0	0	sig2	1	1	1	1	1	1	1	1	1	1	1	1	1
20	20	0	0	big2	21	21	1	21	14	15	16	21	21	21	21	21	1
20	20	0	0	s2or	21	21	1	21	14	15	16	21	21	21	21	21	1
40	20	0	0	raw	1000	47	36	497	40	891	748	995	955	949	1000	497	298
40	20	0	0	sig1	47	47	3	25	21	31	24	44	36	36	47	25	3
40	20	0	0	bsln	25	25	1	25	20	25	24	25	25	25	25	25	3
40	20	0	0	sig2	1	1	1	1	1	1	1	1	1	1	1	1	1
40	20	0	0	big2	25	25	3	25	20	25	24	25	25	25	25	25	3
40	20	0	0	s2or	25	25	1	25	20	25	24	25	25	25	25	25	3
80	20	0	0	raw	1000	50	36	516	47	925	614	990	954	948	1000	516	366
80	20	0	0	sig1	50	50	2	23	32	33	18	47	39	39	50	23	4
80	20	0	0	bsln	23	23	1	23	20	23	18	23	23	23	23	23	4
80	20	0	0	sig2	1	1	1	1	1	1	0	1	1	1	1	1	1
80	20	0	0	big2	23	23	4	23	20	23	19	23	23	23	23	23	4
80	20	0	0	s2or	23	23	1	23	20	23	19	23	23	23	23	23	4
160	20	0	0	raw	1000	47	36	491	44	951	482	988	964	959	1000	491	383
160	20	0	0	sig1	47	47	1	24	32	41	17	45	41	41	47	24	9
160	20	0	0	bsln	24	24	0	24	22	24	17	24	24	24	24	24	9
160	20	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	20	0	0	big2	24	24	9	24	22	24	21	24	24	24	24	24	9
160	20	0	0	s2or	24	24	0	24	22	24	17	24	24	24	24	24	9
320	20	0	0	raw	1000	41	36	496	40	952	366	985	957	953	1000	496	418
320	20	0	0	sig1	41	41	1	20	32	38	10	40	38	38	41	20	12
320	20	0	0	bsln	20	20	1	20	20	20	10	20	20	20	20	20	12
320	20	0	0	sig2	1	1	1	1	1	1	0	1	1	1	1	1	1
320	20	0	0	big2	20	20	12	20	20	20	18	20	20	20	20	20	12
320	20	0	0	s2or	20	20	1	20	20	20	11	20	20	20	20	20	12
20	40	0	0	raw	1000	36	47	507	47	762	896	996	949	954	1000	297	194
20	40	0	0	sig1	36	36	0	18	5	1	7	33	18	20	36	7	0
20	40	0	0	bsln	18	18	0	18	5	1	7	18	15	16	18	7	0
20	40	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	40	0	0	big2	18	18	0	18	5	1	7	18	15	16	18	7	0
20	40	0	0	s2or	18	18	0	18	5	1	7	18	15	16	18	7	0
40	40	0	0	raw	1000	47	47	510	52	855	853	999	960	958	1000	510	252
40	40	0	0	sig1	47	47	0	32	21	23	23	47	36	37	47	32	0
40	40	0	0	bsln	32	32	0	32	21	23	23	32	30	30	32	32	0
40	40	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	40	0	0	big2	32	32	0	32	21	23	23	32	30	30	32	32	0
40	40	0	0	s2or	32	32	0	32	21	23	23	32	30	30	32	32	0
80	40	0	0	raw	1000	50	47	501	56	906	762	996	955	955	1000	501	303
80	40	0	0	sig1	50	50	2	30	27	32	24	48	38	38	50	30	3
80	40	0	0	bsln	30	30	1	30	23	29	24	30	30	30	30	30	3
80	40	0	0	sig2	1	1	1	1	1	1	1	1	1	1	1	1	1
80	40	0	0	big2	30	30	3	30	23	29	24	30	30	30	30	30	3
80	40	0	0	s2or	30	30	1	30	23	29	24	30	30	30	30	30	3
160	40	0	0	raw	1000	47	47	504	51	927	606	992	960	956	1000	504	360
160	40	0	0	sig1	47	47	1	29	32	38	24	46	42	42	47	29	4
160	40	0	0	bsln	29	29	0	29	26	29	24	29	29	29	29	29	4
160	40	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	40	0	0	big2	29	29	4	29	26	29	24	29	29	29	29	29	4
160	40	0	0	s2or	29	29	0	29	26	29	24	29	29	29	29	29	4
320	40	0	0	raw	1000	41	47	497	46	938	492	991	955	952	1000	497	391
320	40	0	0	sig1	41	41	3	25	31	37	21	39	38	38	41	25	12
320	40	0	0	bsln	25	25	2	25	25	24	21	25	25	25	25	25	12
320	40	0	0	sig2	2	2	2	2	2	1	0	2	2	2	2	2	2
320	40	0	0	big2	25	25	12	25	25	25	24	25	25	25	25	25	12
320	40	0	0	s2or	25	25	2	25	25	25	23	25	25	25	25	25	12
20	80	0	0	raw	1000	36	50	516	52	625	928	994	954	960	1000	70	148
20	80	0	0	sig1	36	36	4	23	11	3	14	31	15	16	36	7	0
20	80	0	0	bsln	23	23	4	23	11	3	14	23	14	15	23	7	0
20	80	0	0	sig2	4	4	4	4	4	3	4	4	4	4	4	4	0
20	80	0	0	big2	23	23	4	23	11	3	14	23	14	15	23	7	0
20	80	0	0	s2or	23	23	4	23	11	4	14	23	14	15	23	7	4
40	80	0	0	raw	1000	47	50	515	41	743	901	996	957	957	1000	312	202
40	80	0	0	sig1	47	47	2	29	9	5	19	44	27	28	47	16	1
40	80	0	0	bsln	29	29	2	29	9	5	19	29	26	26	29	16	1
40	80	0	0	sig2	2	2	2	2	2	2	2	2	2	2	2	2	1
40	80	0	0	big2	29	29	2	29	9	5	19	29	26	26	29	16	1
40	80	0	0	s2or	29	29	2	29	9	5	19	29	26	26	29	16	2
80	80	0	0	raw	1000	50	50	510	53	829	828	993	937	936	1000	510	246
80	80	0	0	sig1	50	50	0	33	22	23	23	49	34	34	50	33	0
80	80	0	0	bsln	33	33	0	33	21	23	23	33	31	31	33	33	0
