n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	big2
20	20	0	0	0.5	0.0238095238095238	0.238095238095238	0.5	0.285714285714286	0.30952380952381	0.5	0.5	0.5	0.5	0
40	20	0	0	0.520833333333333	0.0416666666666667	0.4375	0.520833333333333	0.520833333333333	0.416666666666667	0.520833333333333	0.520833333333333	0.520833333333333	0.520833333333333	0.0416666666666667
80	20	0	0	0.318181818181818	0.0227272727272727	0.272727272727273	0.318181818181818	0.318181818181818	0.272727272727273	0.318181818181818	0.318181818181818	0.318181818181818	0.318181818181818	0.136363636363636
160	20	0	0	0.408163265306122	0	0.408163265306122	0.408163265306122	0.408163265306122	0.326530612244898	0.408163265306122	0.408163265306122	0.408163265306122	0.408163265306122	0.183673469387755
320	20	0	0	0.534883720930233	0.0465116279069767	0.534883720930233	0.534883720930233	0.534883720930233	0.372093023255814	0.534883720930233	0.534883720930233	0.534883720930233	0.534883720930233	0.325581395348837
20	40	0	0	0.69047619047619	0.0476190476190476	0.404761904761905	0.69047619047619	0.214285714285714	0.476190476190476	0.69047619047619	0.619047619047619	0.642857142857143	0.69047619047619	0
40	40	0	0	0.520833333333333	0	0.375	0.520833333333333	0.333333333333333	0.375	0.520833333333333	0.520833333333333	0.520833333333333	0.520833333333333	0
80	40	0	0	0.545454545454545	0.0227272727272727	0.5	0.545454545454545	0.545454545454545	0.454545454545455	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.0681818181818182
160	40	0	0	0.387755102040816	0.0408163265306122	0.36734693877551	0.387755102040816	0.387755102040816	0.306122448979592	0.387755102040816	0.387755102040816	0.387755102040816	0.387755102040816	0.0612244897959184
320	40	0	0	0.511627906976744	0.0232558139534884	0.465116279069767	0.511627906976744	0.511627906976744	0.372093023255814	0.511627906976744	0.511627906976744	0.511627906976744	0.511627906976744	0.162790697674419
20	80	0	0	0.69047619047619	0	0.0952380952380952	0.69047619047619	0	0.357142857142857	0.69047619047619	0.452380952380952	0.523809523809524	0.69047619047619	0
40	80	0	0	0.583333333333333	0.0208333333333333	0.145833333333333	0.583333333333333	0.0416666666666667	0.3125	0.583333333333333	0.479166666666667	0.5	0.583333333333333	0
80	80	0	0	0.477272727272727	0	0.227272727272727	0.477272727272727	0.340909090909091	0.340909090909091	0.477272727272727	0.477272727272727	0.477272727272727	0.477272727272727	0
160	80	0	0	0.36734693877551	0	0.285714285714286	0.36734693877551	0.36734693877551	0.326530612244898	0.36734693877551	0.36734693877551	0.36734693877551	0.36734693877551	0
320	80	0	0	0.441860465116279	0	0.395348837209302	0.441860465116279	0.441860465116279	0.348837209302326	0.441860465116279	0.441860465116279	0.441860465116279	0.441860465116279	0.0930232558139535
20	160	0	0	0.476190476190476	0	0.0952380952380952	0.476190476190476	0	0.0952380952380952	0.452380952380952	0.166666666666667	0.19047619047619	0.476190476190476	0
40	160	0	0	0.541666666666667	0.0625	0.145833333333333	0.541666666666667	0	0.1875	0.520833333333333	0.3125	0.3125	0.541666666666667	0
80	160	0	0	0.522727272727273	0.0227272727272727	0.204545454545455	0.522727272727273	0.0681818181818182	0.204545454545455	0.522727272727273	0.409090909090909	0.409090909090909	0.522727272727273	0
160	160	0	0	0.63265306122449	0.0204081632653061	0.36734693877551	0.63265306122449	0.346938775510204	0.36734693877551	0.63265306122449	0.612244897959184	0.63265306122449	0.63265306122449	0.0204081632653061
320	160	0	0	0.418604651162791	0.0232558139534884	0.372093023255814	0.418604651162791	0.418604651162791	0.348837209302326	0.418604651162791	0.418604651162791	0.418604651162791	0.418604651162791	0.0465116279069767
20	320	0	0	0.476190476190476	0.0476190476190476	0.119047619047619	0.476190476190476	0	0.142857142857143	0.30952380952381	0.142857142857143	0.166666666666667	0.476190476190476	0
40	320	0	0	0.416666666666667	0.0208333333333333	0.125	0.416666666666667	0	0.145833333333333	0.354166666666667	0.166666666666667	0.1875	0.416666666666667	0
80	320	0	0	0.454545454545455	0.0227272727272727	0.159090909090909	0.454545454545455	0	0.25	0.431818181818182	0.340909090909091	0.340909090909091	0.454545454545455	0
160	320	0	0	0.489795918367347	0	0.26530612244898	0.489795918367347	0.102040816326531	0.346938775510204	0.489795918367347	0.448979591836735	0.448979591836735	0.489795918367347	0
320	320	0	0	0.418604651162791	0.0465116279069767	0.27906976744186	0.418604651162791	0.27906976744186	0.27906976744186	0.418604651162791	0.348837209302326	0.372093023255814	0.418604651162791	0.0232558139534884
20	20	0.2	0	0.454545454545455	0.0606060606060606	0.272727272727273	0.454545454545455	0.272727272727273	0.313131313131313	0.454545454545455	0.444444444444444	0.454545454545455	0.454545454545455	0.0202020202020202
40	20	0.2	0	0.413333333333333	0.02	0.38	0.413333333333333	0.413333333333333	0.34	0.413333333333333	0.413333333333333	0.413333333333333	0.413333333333333	0.0266666666666667
