n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	d2.scp1	big2
20	20	0	0	0.0277777777777778	0.0277777777777778	0.0277777777777778	0.0277777777777778	0.0277777777777778	0.0277777777777778	0.0277777777777778	0.0277777777777778	0.0277777777777778	0.0277777777777778	0.0277777777777778	0.0277777777777778
40	20	0	0	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809
80	20	0	0	0.02	0.02	0.02	0.02	0.02	0	0.02	0.02	0.02	0.02	0.02	0.02
160	20	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
320	20	0	0	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439
20	40	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	40	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	40	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
160	40	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
320	40	0	0	0.0487804878048781	0.0487804878048781	0.0487804878048781	0.0487804878048781	0.024390243902439	0	0.0487804878048781	0.0487804878048781	0.0487804878048781	0.0487804878048781	0.0487804878048781	0.0487804878048781
20	80	0	0	0.111111111111111	0.111111111111111	0.111111111111111	0.111111111111111	0.0833333333333333	0.111111111111111	0.111111111111111	0.111111111111111	0.111111111111111	0.111111111111111	0.111111111111111	0
40	80	0	0	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0212765957446809
80	80	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	80	0	0	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617
320	80	0	0	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439	0.024390243902439
20	160	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	160	0	0	0.0851063829787234	0.0851063829787234	0.0851063829787234	0.0851063829787234	0.0425531914893617	0.0851063829787234	0.0851063829787234	0.0851063829787234	0.0851063829787234	0.0851063829787234	0.0851063829787234	0
80	160	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	160	0	0	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809
320	160	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	320	0	0	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0	0
40	320	0	0	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0212765957446809	0	0
80	320	0	0	0.02	0.02	0.02	0.02	0	0.02	0.02	0.02	0.02	0.02	0.02	0
160	320	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
320	320	0	0	0.0731707317073171	0.0731707317073171	0.0731707317073171	0.0731707317073171	0.0731707317073171	0.0731707317073171	0.0731707317073171	0.0731707317073171	0.0731707317073171	0.0731707317073171	0.0731707317073171	0.0487804878048781
20	20	0.2	0	0.0206185567010309	0.0206185567010309	0.0206185567010309	0.0206185567010309	0.0206185567010309	0.0206185567010309	0.0206185567010309	0.0206185567010309	0.0206185567010309	0.0206185567010309	0.0206185567010309	0.0103092783505155
40	20	0.2	0	0.0078740157480315	0.0078740157480315	0.0078740157480315	0.0078740157480315	0.0078740157480315	0.0078740157480315	0.0078740157480315	0.0078740157480315	0.0078740157480315	0.0078740157480315	0.0078740157480315	0.0078740157480315
80	20	0.2	0	0.0160642570281124	0.0160642570281124	0.0160642570281124	0.0160642570281124	0.0160642570281124	0.00401606425702811	0.0160642570281124	0.0160642570281124	0.0160642570281124	0.0160642570281124	0.0160642570281124	0.0160642570281124
160	20	0.2	0	0.0378619153674833	0.0378619153674833	0.0378619153674833	0.0378619153674833	0.0267260579064588	0	0.0378619153674833	0.0289532293986637	0.0267260579064588	0.0378619153674833	0.0378619153674833	0.0378619153674833
320	20	0.2	0	0.0229555236728838	0.0229555236728838	0.0229555236728838	0.0229555236728838	0.0215208034433286	0	0.0215208034433286	0.0215208034433286	0.0215208034433286	0.0229555236728838	0.0229555236728838	0.0229555236728838
