n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	d2.scp1	big2
20	20	0	0	0.036	0.0277777777777778	0.388888888888889	0.492	0.416666666666667	0.444444444444444	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.0277777777777778	0.0277777777777778
40	20	0	0	0.047	0.0212765957446809	0.425531914893617	0.497	0.531914893617021	0.51063829787234	0.531914893617021	0.531914893617021	0.531914893617021	0.531914893617021	0.0212765957446809	0.0638297872340425
80	20	0	0	0.05	0.02	0.4	0.516	0.46	0.36	0.46	0.46	0.46	0.46	0.02	0.08
160	20	0	0	0.047	0	0.468085106382979	0.491	0.51063829787234	0.361702127659574	0.51063829787234	0.51063829787234	0.51063829787234	0.51063829787234	NA	0.191489361702128
320	20	0	0	0.041	0.024390243902439	0.48780487804878	0.496	0.48780487804878	0.24390243902439	0.48780487804878	0.48780487804878	0.48780487804878	0.48780487804878	0.024390243902439	0.292682926829268
20	40	0	0	0.036	0	0.138888888888889	0.507	0.0277777777777778	0.194444444444444	0.5	0.416666666666667	0.444444444444444	0.5	NA	0
40	40	0	0	0.047	0	0.446808510638298	0.51	0.48936170212766	0.48936170212766	0.680851063829787	0.638297872340426	0.638297872340426	0.680851063829787	NA	0
80	40	0	0	0.05	0.02	0.46	0.501	0.58	0.48	0.6	0.6	0.6	0.6	0.02	0.06
160	40	0	0	0.047	0	0.553191489361702	0.504	0.617021276595745	0.51063829787234	0.617021276595745	0.617021276595745	0.617021276595745	0.617021276595745	NA	0.0851063829787234
320	40	0	0	0.041	0.0487804878048781	0.609756097560976	0.497	0.585365853658537	0.51219512195122	0.609756097560976	0.609756097560976	0.609756097560976	0.609756097560976	0.0487804878048781	0.292682926829268
20	80	0	0	0.036	0.111111111111111	0.305555555555556	0.516	0.0833333333333333	0.388888888888889	0.638888888888889	0.388888888888889	0.416666666666667	0.638888888888889	0.111111111111111	0
40	80	0	0	0.047	0.0425531914893617	0.191489361702128	0.515	0.106382978723404	0.404255319148936	0.617021276595745	0.553191489361702	0.553191489361702	0.617021276595745	0.0425531914893617	0.0212765957446809
80	80	0	0	0.05	0	0.42	0.51	0.46	0.46	0.66	0.62	0.62	0.66	NA	0
160	80	0	0	0.047	0.0425531914893617	0.382978723404255	0.493	0.468085106382979	0.446808510638298	0.468085106382979	0.468085106382979	0.468085106382979	0.468085106382979	0.0425531914893617	0.0425531914893617
320	80	0	0	0.041	0.024390243902439	0.51219512195122	0.512	0.536585365853659	0.48780487804878	0.536585365853659	0.536585365853659	0.536585365853659	0.536585365853659	0.024390243902439	0.0731707317073171
20	160	0	0	0.036	0	0.0277777777777778	0.497	0	0.138888888888889	0.305555555555556	0.166666666666667	0.166666666666667	0.333333333333333	NA	0
40	160	0	0	0.047	0.0851063829787234	0.170212765957447	0.508	0.0425531914893617	0.297872340425532	0.468085106382979	0.425531914893617	0.446808510638298	0.48936170212766	0.0851063829787234	0
80	160	0	0	0.05	0	0.36	0.485	0.06	0.34	0.6	0.48	0.48	0.6	NA	0
160	160	0	0	0.047	0.0212765957446809	0.297872340425532	0.498	0.340425531914894	0.340425531914894	0.446808510638298	0.404255319148936	0.425531914893617	0.446808510638298	0.0212765957446809	0.0212765957446809
320	160	0	0	0.041	0	0.439024390243902	0.527	0.536585365853659	0.390243902439024	0.560975609756098	0.560975609756098	0.560975609756098	0.560975609756098	NA	0
20	320	0	0	0.036	0.0555555555555556	0.0555555555555556	0.512	0	0.166666666666667	0.277777777777778	0.166666666666667	0.166666666666667	0.361111111111111	0	0
40	320	0	0	0.047	0.0212765957446809	0.0851063829787234	0.493	0	0.191489361702128	0.51063829787234	0.276595744680851	0.319148936170213	0.574468085106383	0	0
80	320	0	0	0.05	0.02	0.16	0.49	0	0.24	0.44	0.3	0.3	0.48	0.02	0
160	320	0	0	0.047	0	0.191489361702128	0.495	0.0425531914893617	0.361702127659574	0.51063829787234	0.425531914893617	0.425531914893617	0.51063829787234	NA	0
320	320	0	0	0.041	0.0731707317073171	0.292682926829268	0.472	0.341463414634146	0.341463414634146	0.439024390243902	0.439024390243902	0.439024390243902	0.439024390243902	0.0731707317073171	0.0487804878048781
20	20	0.2	0	0.097	0.0206185567010309	0.278350515463918	0.518	0.329896907216495	0.350515463917526	0.54639175257732	0.515463917525773	0.525773195876289	0.54639175257732	0.0206185567010309	0.0103092783505155
40	20	0.2	0	0.127	0.0078740157480315	0.488188976377953	0.513	0.503937007874016	0.377952755905512	0.543307086614173	0.52755905511811	0.535433070866142	0.543307086614173	0.0078740157480315	0.031496062992126
80	20	0.2	0	0.249	0.0160642570281124	0.465863453815261	0.524	0.485943775100402	0.345381526104418	0.48995983935743	0.48995983935743	0.48995983935743	0.48995983935743	0.0160642570281124	0.112449799196787
160	20	0.2	0	0.449	0.0378619153674833	0.543429844097996	0.529	0.541202672605791	0.385300668151448	0.552338530066815	0.543429844097996	0.541202672605791	0.552338530066815	0.0378619153674833	0.191536748329621
320	20	0.2	0	0.697	0.0229555236728838	0.538020086083214	0.524	0.538020086083214	0.315638450502152	0.538020086083214	0.538020086083214	0.538020086083214	0.539454806312769	0.0229555236728838	0.24103299856528
20	40	0.2	0	0.097	0.0412371134020619	0.247422680412371	0.523	0.123711340206186	0.34020618556701	0.536082474226804	0.443298969072165	0.494845360824742	0.536082474226804	0.0412371134020619	0
40	40	0.2	0	0.127	0.0393700787401575	0.401574803149606	0.498	0.307086614173228	0.307086614173228	0.503937007874016	0.488188976377953	0.488188976377953	0.503937007874016	0.0393700787401575	0.015748031496063
80	40	0.2	0	0.249	0.0200803212851406	0.421686746987952	0.495	0.437751004016064	0.333333333333333	0.477911646586345	0.473895582329317	0.473895582329317	0.477911646586345	0.0200803212851406	0.0200803212851406
160	40	0.2	0	0.449	0.0200445434298441	0.492204899777283	0.494	0.498886414253898	0.367483296213808	0.503340757238307	0.503340757238307	0.503340757238307	0.503340757238307	0.0200445434298441	0.106904231625835
320	40	0.2	0	0.697	0.0315638450502152	0.477761836441894	0.497	0.480631276901004	0.315638450502152	0.480631276901004	0.480631276901004	0.480631276901004	0.48206599713056	0.0315638450502152	0.147776183644189
