n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	big2
20	20	0	0	1	0.0563380281690141	0.279678068410463	0.515090543259557	0.309859154929577	0.35010060362173	0.907444668008048	0.625754527162978	0.665995975855131	0.997987927565392	0.0120724346076459
40	20	0	0	1	0.050880626223092	0.465753424657534	0.536203522504892	0.663405088062622	0.418786692759295	0.960861056751468	0.796477495107632	0.798434442270059	1	0.0704500978473581
80	20	0	0	1	0.0457142857142857	0.563809523809524	0.493333333333333	0.773333333333333	0.401904761904762	0.954285714285714	0.845714285714286	0.841904761904762	0.996190476190476	0.125714285714286
160	20	0	0	1	0.0524271844660194	0.716504854368932	0.489320388349515	0.852427184466019	0.368932038834951	0.961165048543689	0.879611650485437	0.875728155339806	1	0.238834951456311
320	20	0	0	1	0.0652591170825336	0.779270633397313	0.46257197696737	0.894433781190019	0.289827255278311	0.950095969289827	0.9021113243762	0.898272552783109	0.998080614203455	0.268714011516315
20	40	0	0	1	0.0583501006036217	0.203219315895372	0.462776659959759	0.10261569416499	0.283702213279678	0.871227364185111	0.466800804828974	0.515090543259557	0.997987927565392	0
40	40	0	0	1	0.0352250489236791	0.309197651663405	0.500978473581213	0.336594911937378	0.348336594911937	0.917808219178082	0.661448140900196	0.671232876712329	0.998043052837573	0.00978473581213307
80	40	0	0	1	0.0628571428571429	0.462857142857143	0.495238095238095	0.607619047619048	0.398095238095238	0.931428571428571	0.739047619047619	0.739047619047619	1	0.0685714285714286
160	40	0	0	1	0.054368932038835	0.590291262135922	0.49126213592233	0.794174757281553	0.405825242718447	0.963106796116505	0.850485436893204	0.850485436893204	0.998058252427184	0.130097087378641
320	40	0	0	1	0.0518234165067179	0.710172744721689	0.510556621880998	0.850287907869482	0.389635316698656	0.953934740882918	0.873320537428023	0.867562380038388	0.998080614203455	0.178502879078695
20	80	0	0	1	0.0643863179074447	0.152917505030181	0.527162977867203	0.00402414486921529	0.265593561368209	0.830985915492958	0.366197183098592	0.422535211267606	0.997987927565392	0
40	80	0	0	1	0.0626223091976517	0.227005870841487	0.522504892367906	0.103718199608611	0.346379647749511	0.900195694716243	0.547945205479452	0.581213307240705	1	0
80	80	0	0	1	0.0628571428571429	0.291428571428571	0.466666666666667	0.329523809523809	0.335238095238095	0.897142857142857	0.611428571428571	0.622857142857143	0.998095238095238	0.0133333333333333
160	80	0	0	1	0.0524271844660194	0.448543689320388	0.481553398058252	0.592233009708738	0.363106796116505	0.932038834951456	0.757281553398058	0.757281553398058	0.998058252427184	0.0504854368932039
320	80	0	0	1	0.0595009596928983	0.562380038387716	0.485604606525912	0.760076775431862	0.403071017274472	0.942418426103647	0.821497120921305	0.82341650671785	0.994241842610365	0.109404990403071
20	160	0	0	1	0.0583501006036217	0.10261569416499	0.505030181086519	0	0.219315895372233	0.744466800804829	0.243460764587525	0.291750503018109	0.997987927565392	0
40	160	0	0	1	0.0567514677103718	0.156555772994129	0.524461839530333	0.00782778864970646	0.277886497064579	0.849315068493151	0.420743639921722	0.455968688845401	0.998043052837573	0
80	160	0	0	1	0.0514285714285714	0.220952380952381	0.459047619047619	0.0933333333333333	0.283809523809524	0.88	0.493333333333333	0.506666666666667	0.994285714285714	0.0019047619047619
160	160	0	0	1	0.0446601941747573	0.357281553398058	0.512621359223301	0.363106796116505	0.366990291262136	0.937864077669903	0.654368932038835	0.65631067961165	0.994174757281553	0.00970873786407767
320	160	0	0	1	0.0499040307101727	0.514395393474088	0.55278310940499	0.641074856046065	0.431861804222649	0.950095969289827	0.785028790786948	0.785028790786948	1	0.0652591170825336
