n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	d1.cm	d2.cm	dm.c1	dm.c2	c1.c2	c1.cm	c2.cm	d1.p2	d2.p1	dm.p1	dm.p2	p1.p2	d1.scp2	d2.scp1	dm.scp2	dm.scp1	d1.scpd2	d2.scpd1	dm.scpd2	dm.scpd1	big1	big2
20	20	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.518248175182482	0.518248175182482
40	20	0	0	1	1	1	1	0.987834549878346	0.939172749391727	1	0.980535279805353	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.995133819951338	1	1	1	0.0121654501216545	0.987834549878346
80	20	0	0	1	1	1	1	1	0.307692307692308	1	0.538461538461538	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.923076923076923	1	1	1	0	1
160	20	0	0	1	1	1	1	0.85	0	1	0	1	0.9	0.95	1	0.95	0.9	0.85	1	0.95	1	0.3	1	0.65	1	0.6	1	0.6	1	0	1
320	20	0	0	1	1	1	1	0.722222222222222	0	1	0	1	0.777777777777778	1	1	1	0.777777777777778	0.722222222222222	1	0.833333333333333	1	0	1	0	1	0.611111111111111	1	0.611111111111111	1	0	1
20	40	0	0	1	1	1	1	0.924574209245742	0.992700729927007	0.975669099756691	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.990267639902676	1	1	0.990267639902676	0.0097323600973236
40	40	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.502392344497608	0.533492822966507
80	40	0	0	1	1	1	1	1	0.952380952380952	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0476190476190476	0.952380952380952
160	40	0	0	1	1	1	1	1	0.315789473684211	1	0.473684210526316	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.947368421052632	1	1	1	0	1
320	40	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0.0588235294117647	1	0.647058823529412	1	0.470588235294118	1	0.470588235294118	1	0	1
20	80	0	0	1	1	1	1	0.1875	0.875	0.375	1	0.9375	1	1	1	1	0.9375	0.9375	1	1	1	1	1	1	1	1	0.8125	1	0.9375	1	0
40	80	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
80	80	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
160	80	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
320	80	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
20	160	0	0	1	1	1	1	0	0.863636363636364	0	1	0.909090909090909	1	1	1	1	0.863636363636364	0.909090909090909	0.954545454545455	1	1	1	0.227272727272727	1	0.454545454545455	1	0.454545454545455	1	0.454545454545455	1	0
40	160	0	0	1	1	1	1	0.458333333333333	1	0.541666666666667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.958333333333333	1	1	1	0
80	160	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
160	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	160	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
20	320	0	0	1	1	1	1	0	0.857142857142857	0	1	0.928571428571429	1	1	1	1	0.857142857142857	0.928571428571429	0.928571428571429	1	1	1	0	1	0	1	0.642857142857143	1	0.642857142857143	1	0
40	320	0	0	1	1	1	1	0	0.947368421052632	0	1	0.947368421052632	1	1	1	1	0.947368421052632	0.947368421052632	1	1	1	1	0.157894736842105	1	0.631578947368421	1	0.368421052631579	1	0.473684210526316	1	0
80	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160	320	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
320	320	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
20	20	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.659090909090909	0.340909090909091
40	20	0.2	0	1	1	1	1	0.982142857142857	0.892857142857143	1	0.982142857142857	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0892857142857143	0.910714285714286
80	20	0.2	0	1	1	1	1	0.970873786407767	0.300970873786408	1	0.436893203883495	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.669902912621359	1	0.854368932038835	1	0	1
160	20	0.2	0	1	1	1	1	0.964467005076142	0.0203045685279188	1	0.0203045685279188	1	0.99492385786802	1	1	1	0.989847715736041	0.964467005076142	1	1	1	0.370558375634518	1	0.685279187817259	1	0.131979695431472	1	0.233502538071066	1	0	1
320	20	0.2	0	1	1	1	1	0.889240506329114	0	1	0	1	0.930379746835443	0.987341772151899	1	1	0.914556962025316	0.860759493670886	1	0.939873417721519	1	0.0284810126582278	1	0.0474683544303797	1	0.00949367088607595	1	0.0126582278481013	1	0	1
20	40	0.2	0	1	1	1	1	0.825	1	0.975	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.95	1	1	0.975	0.025
40	40	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.695652173913043	0.304347826086957
80	40	0.2	0	1	1	1	1	1	0.98936170212766	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.148936170212766	0.851063829787234
160	40	0.2	0	1	1	1	1	0.988950276243094	0.541436464088398	1	0.662983425414365	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.795580110497238	1	0.933701657458563	1	0.00552486187845304	0.994475138121547
320	40	0.2	0	1	1	1	1	0.970394736842105	0.108552631578947	1	0.121710526315789	1	0.990131578947368	1	1	1	0.980263157894737	0.976973684210526	1	0.996710526315789	1	0.592105263157895	1	0.858552631578947	1	0.335526315789474	1	0.457236842105263	1	0.00328947368421053	0.996710526315789
20	80	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	80	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
80	80	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.833333333333333	0.166666666666667
160	80	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.222222222222222	0.777777777777778
320	80	0.2	0	1	1	1	1	1	0.666666666666667	1	0.916666666666667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0833333333333333	0.916666666666667
20	160	0.2	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.333333333333333	1	0.333333333333333	1	0	1	0	1	0
40	160	0.2	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
80	160	0.2	0	1	1	1	1	0.75	0.75	0.75	1	1	1	1	1	1	0.875	0.875	1	1	1	1	1	1	1	1	0.75	1	0.875	1	0
160	160	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.875	0.125
320	160	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.294117647058824	0.705882352941177
20	320	0.2	0	1	1	1	1	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0
40	320	0.2	0	1	1	1	1	0	0.5	0	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	0.5	1	0	1	0	1	0
80	320	0.2	0	1	1	1	1	0.333333333333333	0.888888888888889	0.333333333333333	1	1	1	1	1	1	0.888888888888889	0.888888888888889	1	1	1	1	1	1	1	1	0.666666666666667	1	0.666666666666667	1	0
160	320	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
320	320	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.764705882352941	0.235294117647059
20	20	0.5	0	1	1	1	1	0.973333333333333	0.986666666666667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.986666666666667	1	1	0.726666666666667	0.273333333333333
40	20	0.5	0	1	1	1	1	1	0.96969696969697	1	0.996212121212121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.992424242424242	1	1	1	0.253787878787879	0.746212121212121
80	20	0.5	0	1	1	1	1	0.99740932642487	0.717616580310881	1	0.787564766839378	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.88860103626943	1	0.955958549222798	1	0.0880829015544041	0.911917098445596
160	20	0.5	0	1	1	1	1	0.988425925925926	0.402777777777778	1	0.4375	1	1	1	1	1	0.99537037037037	0.988425925925926	1	1	1	0.949074074074074	1	0.99537037037037	1	0.715277777777778	1	0.798611111111111	1	0.025462962962963	0.974537037037037
320	20	0.5	0	1	1	1	1	0.997695852534562	0.225806451612903	1	0.241935483870968	1	0.997695852534562	1	1	1	0.997695852534562	0.997695852534562	1	1	1	0.949308755760369	1	0.974654377880184	1	0.585253456221198	1	0.654377880184332	1	0.00921658986175115	0.990783410138249
20	40	0.5	0	1	1	1	1	0.713235294117647	0.904411764705882	0.838235294117647	1	1	1	1	1	1	0.933823529411765	0.977941176470588	1	1	1	1	1	1	1	1	0.838235294117647	1	0.933823529411765	0.992647058823529	0.00735294117647059
40	40	0.5	0	1	1	1	1	0.94238683127572	0.946502057613169	0.987654320987654	1	1	1	1	1	1	0.987654320987654	0.995884773662551	1	1	1	1	1	1	1	1	0.958847736625514	1	1	0.798353909465021	0.201646090534979
80	40	0.5	0	1	1	1	1	0.991620111731844	0.958100558659218	1	0.991620111731844	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997206703910615	0.991620111731844	1	1	0.522346368715084	0.477653631284916
160	40	0.5	0	1	1	1	1	1	0.907268170426065	1	0.93483709273183	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.972431077694236	1	0.99749373433584	1	0.506265664160401	0.493734335839599
320	40	0.5	0	1	1	1	1	1	0.8625	1	0.8725	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.965	1	0.975	1	0.475	0.525
20	80	0.5	0	1	1	1	1	0	1	0.142857142857143	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.428571428571429	1	0.714285714285714	1	0
40	80	0.5	0	1	1	1	1	0.538461538461538	0.923076923076923	0.692307692307692	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.692307692307692	1	1	1	0
80	80	0.5	0	1	1	1	1	0.875	0.875	0.875	0.875	1	1	1	1	1	0.875	0.875	1	1	1	1	1	1	1	1	0.875	1	1	0.9375	0.0625
160	80	0.5	0	1	1	1	1	1	0.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.85	0.15
320	80	0.5	0	1	1	1	1	1	0.6	1	0.65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9	0.1
20	160	0.5	0	1	1	1	1	0	0.727272727272727	0	1	0.727272727272727	1	0.727272727272727	0.818181818181818	1	0.727272727272727	0.727272727272727	0.727272727272727	1	1	1	0.272727272727273	1	0.545454545454545	1	0	1	0	1	0
40	160	0.5	0	1	1	1	1	0	0.5	0	1	0.666666666666667	1	0.916666666666667	0.916666666666667	1	0.666666666666667	0.666666666666667	0.833333333333333	1	1	1	1	1	1	1	0.25	1	0.333333333333333	1	0
80	160	0.5	0	1	1	1	1	0.470588235294118	0.705882352941177	0.529411764705882	1	0.882352941176471	1	0.941176470588235	1	1	0.764705882352941	0.764705882352941	1	1	1	1	1	1	1	1	0.529411764705882	1	0.764705882352941	1	0
160	160	0.5	0	1	1	1	1	0.5	0.55	0.75	0.8	1	1	1	1	1	0.75	0.8	1	1	1	1	1	1	1	1	0.65	1	1	0.95	0.05
320	160	0.5	0	1	1	1	1	0.3	0.2	0.95	0.25	1	0.8	0.95	1	1	0.6	0.6	1	1	1	1	1	1	1	1	0.3	1	1	1	0
20	320	0.5	0	1	1	1	1	0	0.571428571428571	0	1	0.857142857142857	1	0.857142857142857	0.857142857142857	1	0.571428571428571	0.857142857142857	0.857142857142857	1	1	1	0	1	0	1	0	1	0	1	0
40	320	0.5	0	1	1	1	1	0	0.416666666666667	0	1	0.583333333333333	1	0.833333333333333	1	1	0.416666666666667	0.583333333333333	0.666666666666667	1	1	1	0.0833333333333333	1	0.583333333333333	1	0	1	0	1	0
80	320	0.5	0	1	1	1	1	0.142857142857143	0.619047619047619	0.142857142857143	1	0.666666666666667	1	0.714285714285714	0.904761904761905	1	0.619047619047619	0.619047619047619	0.714285714285714	1	1	1	1	1	1	1	0.19047619047619	1	0.428571428571429	1	0
160	320	0.5	0	1	1	1	1	0.0434782608695652	0.173913043478261	0.0869565217391304	0.782608695652174	0.652173913043478	1	0.695652173913043	1	1	0.260869565217391	0.260869565217391	0.782608695652174	1	1	1	1	1	1	1	0.0869565217391304	1	0.217391304347826	1	0
320	320	0.5	0	1	1	1	1	0.0869565217391304	0.0869565217391304	0.173913043478261	0.217391304347826	0.478260869565217	0.478260869565217	0.478260869565217	1	1	0.173913043478261	0.217391304347826	0.91304347826087	0.91304347826087	0.91304347826087	1	1	1	1	1	0.0869565217391304	1	0.478260869565217	1	0
20	20	0.8	0	1	1	1	1	0.91	0.943333333333333	0.98	1	1	1	1	1	1	0.986666666666667	0.993333333333333	1	1	1	1	1	1	1	1	0.936666666666667	1	1	0.8	0.2
40	20	0.8	0	1	1	1	1	0.987654320987654	0.948148148148148	1	0.980246913580247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997530864197531	0.990123456790123	1	1	0.62962962962963	0.37037037037037
80	20	0.8	0	1	1	1	1	1	0.905529953917051	1	0.947004608294931	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.993087557603687	1	1	1	0.603686635944701	0.3963133640553
160	20	0.8	0	1	1	1	1	1	0.82258064516129	1	0.859447004608295	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997695852534562	1	1	1	0.629032258064516	0.370967741935484
320	20	0.8	0	1	1	1	1	1	0.705069124423963	1	0.71889400921659	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.988479262672811	1	0.990783410138249	1	0.670506912442396	0.329493087557604
20	40	0.8	0	1	1	1	1	0.50561797752809	0.835205992509363	0.670411985018727	1	0.955056179775281	1	0.98876404494382	1	1	0.872659176029963	0.910112359550562	0.98876404494382	1	1	1	1	1	1	1	0.636704119850187	1	0.868913857677903	0.99250936329588	0.00749063670411985
40	40	0.8	0	1	1	1	1	0.706199460916442	0.735849056603774	0.892183288409704	0.92722371967655	0.98921832884097	0.997304582210243	0.991913746630728	1	1	0.900269541778976	0.919137466307278	1	1	1	1	1	1	1	1	0.743935309973046	1	0.991913746630728	0.932614555256065	0.0673854447439353
80	40	0.8	0	1	1	1	1	0.815	0.5775	1	0.755	1	0.9825	1	1	1	0.9425	0.9525	1	1	1	1	1	1	1	1	0.82	1	1	0.94	0.06
160	40	0.8	0	1	1	1	1	0.8625	0.2925	1	0.375	1	0.9725	0.9975	1	1	0.9475	0.96	1	0.9975	1	1	1	1	1	1	0.83	1	1	0.9825	0.0175
