n2	near	d1	prop.true	rwfpr	rwfnr
50	0.1	0.1	0.05	0.922709371248392	0.0495281264813804
100	0.1	0.1	0.05	0.9429249465923	0.0496231649080384
150	0.1	0.1	0.05	0.931682678534205	0.0484953282185563
200	0.1	0.1	0.05	0.897336639793079	0.0454543461066264
250	0.1	0.1	0.05	0.851937507192392	0.0419550516699398
300	0.1	0.1	0.05	0.846997148422098	0.039958670688396
350	0.1	0.1	0.05	0.873338466030281	0.0391528656934752
400	0.1	0.1	0.05	0.886078060229417	0.0375224513492014
450	0.1	0.1	0.05	0.874401227689339	0.0322284703948888
500	0.1	0.1	0.05	0.855733213432422	0.0239304163744389
50	0.1	0.2	0.05	0.527007046649908	0.037026148261123
100	0.1	0.2	0.05	0.724302710385131	0.0340946323291652
150	0.1	0.2	0.05	0.763111460334732	0.0309104580837315
200	0.1	0.2	0.05	0.738307023463514	0.027371117498749
250	0.1	0.2	0.05	0.690361282325464	0.0231996148993528
300	0.1	0.2	0.05	0.69807711197136	0.0195690709515992
350	0.1	0.2	0.05	0.750750377046408	0.0164282645975677
400	0.1	0.2	0.05	0.792463049687593	0.0148045508818259
450	0.1	0.2	0.05	0.813661080783801	0.0149420876334778
500	0.1	0.2	0.05	0.83184899142563	0.0161180066972288
50	0.1	0.3	0.05	0.405548697067839	0.0280983891193197
100	0.1	0.3	0.05	0.615557482079355	0.0219178001910092
150	0.1	0.3	0.05	0.664544335260708	0.0160026116133487
200	0.1	0.3	0.05	0.637931173906938	0.0107321660365741
250	0.1	0.3	0.05	0.59710760660353	0.00719486285713435
300	0.1	0.3	0.05	0.622379439706802	0.00494999990154405
350	0.1	0.3	0.05	0.695755101522232	0.00315205240438122
400	0.1	0.3	0.05	0.748788837406202	0.00179720835420886
450	0.1	0.3	0.05	0.771713514207676	0.0009786731362074
500	0.1	0.3	0.05	0.788907028219029	0.000516621286491859
50	0.1	0.4	0.05	0.343527393177918	0.0209881454174432
100	0.1	0.4	0.05	0.556441878946784	0.0131142297393116
150	0.1	0.4	0.05	0.615177960723328	0.00650745860286104
200	0.1	0.4	0.05	0.597216098438907	0.00217232216959151
250	0.1	0.4	0.05	0.564144056137018	0.000108055435134456
300	0.1	0.4	0.05	0.600753362312163	0
350	0.1	0.4	0.05	0.684053503395065	0
400	0.1	0.4	0.05	0.743213235685411	0
450	0.1	0.4	0.05	0.768976455751291	0
500	0.1	0.4	0.05	0.787759681181385	6.92648200485472e-05
50	0.1	0.5	0.05	0.29382587702718	0.0130015743878027
100	0.1	0.5	0.05	0.52740667500525	0.00799572889431646
150	0.1	0.5	0.05	0.604188115779293	0.00415451187392306
200	0.1	0.5	0.05	0.596344755741757	0.00197462351601833
250	0.1	0.5	0.05	0.568669726334304	0.00113591652764098
300	0.1	0.5	0.05	0.60510557471172	0.00102865497164466
350	0.1	0.5	0.05	0.68855061904758	0.00122642489522509
400	0.1	0.5	0.05	0.747841671081054	0.00149424696752857
450	0.1	0.5	0.05	0.773793259561478	0.00171641730739784
500	0.1	0.5	0.05	0.792510368392226	0.00191058834665751
50	0.1	0.6	0.05	0.250861386010427	0.00337723785991246
100	0.1	0.6	0.05	0.496998185092724	0.00192593926305193
150	0.1	0.6	0.05	0.589125127596809	0.000767420905507023
200	0.1	0.6	0.05	0.588207589456097	9.62089042679768e-05
250	0.1	0.6	0.05	0.563673004393009	0
300	0.1	0.6	0.05	0.600753362312163	0
350	0.1	0.6	0.05	0.684053503395065	0
400	0.1	0.6	0.05	0.743213235685411	0
450	0.1	0.6	0.05	0.768976455751291	0
500	0.1	0.6	0.05	0.787669646862157	3.40878571947956e-05
50	0.1	0.7	0.05	0.250082135174377	0.00317010434599579
100	0.1	0.7	0.05	0.496175481021671	0.00175028511597953
150	0.1	0.7	0.05	0.588638534149861	0.000654719566315129
200	0.1	0.7	0.05	0.587992305541394	4.57085790722586e-05
250	0.1	0.7	0.05	0.563673004393009	0
300	0.1	0.7	0.05	0.600753362312163	0
350	0.1	0.7	0.05	0.684053503395065	0
400	0.1	0.7	0.05	0.743213235685411	0
450	0.1	0.7	0.05	0.768976455751291	0
500	0.1	0.7	0.05	0.787669193468324	3.39106868182069e-05
50	0.1	0.8	0.05	0.242736766722626	0.0011477587089005
100	0.1	0.8	0.05	0.490964594417915	0.000622574214791208
150	0.1	0.8	0.05	0.586789963192562	0.000224629249535041
200	0.1	0.8	0.05	0.587833088497238	8.33308768726687e-06
250	0.1	0.8	0.05	0.563673004393009	0
300	0.1	0.8	0.05	0.600753362312163	0
350	0.1	0.8	0.05	0.684053503395065	0
400	0.1	0.8	0.05	0.743213235685411	0
450	0.1	0.8	0.05	0.768976455751291	0
500	0.1	0.8	0.05	0.787614676492456	1.26054240134411e-05
50	0.1	0.9	0.05	0.240519294033011	0.000511271512847485
100	0.1	0.9	0.05	0.48934489402549	0.000266626608106007
150	0.1	0.9	0.05	0.586205069103248	8.790481146043e-05
200	0.1	0.9	0.05	0.58779760348867	0
250	0.1	0.9	0.05	0.563673004393009	0
300	0.1	0.9	0.05	0.600753362312163	0
350	0.1	0.9	0.05	0.684053503395065	0
400	0.1	0.9	0.05	0.743213235685411	0
450	0.1	0.9	0.05	0.768976455751291	0
500	0.1	0.9	0.05	0.787597689070563	5.96594236125418e-06
50	0.1	1	0.05	0.239533255123262	0.00022419572541937
100	0.1	1	0.05	0.488667116877599	0.000116901352698861
150	0.1	1	0.05	0.585994206696552	3.85376385775284e-05
200	0.1	1	0.05	0.58779760348867	0
250	0.1	1	0.05	0.563673004393009	0
300	0.1	1	0.05	0.600753362312163	0
350	0.1	1	0.05	0.684053503395065	0
400	0.1	1	0.05	0.743213235685411	0
450	0.1	1	0.05	0.768976455751291	0
500	0.1	1	0.05	0.787589116814609	2.61536025587593e-06
50	0.3	0.1	0.05	0.883247656180988	0.0390414022705356
100	0.3	0.1	0.05	0.908955463470177	0.039332463256167
150	0.3	0.1	0.05	0.91829884762146	0.0387676422723676
200	0.3	0.1	0.05	0.91760049494193	0.0363701700702301
250	0.3	0.1	0.05	0.912309625268971	0.032895185210987
300	0.3	0.1	0.05	0.908425063365834	0.029928356326444
350	0.3	0.1	0.05	0.906529058924708	0.0273640178618369
400	0.3	0.1	0.05	0.906669979410361	0.0251653450750779
450	0.3	0.1	0.05	0.906815439466525	0.0223254063835419
500	0.3	0.1	0.05	0.907921620681026	0.0187193136376249
50	0.3	0.2	0.05	0.871324447636976	0.0368777716833742
100	0.3	0.2	0.05	0.892335035122732	0.0346593786858422
150	0.3	0.2	0.05	0.901142443411175	0.0322393943272555
200	0.3	0.2	0.05	0.902149749522018	0.0293770104962152
250	0.3	0.2	0.05	0.898278881420834	0.0259908724912058
300	0.3	0.2	0.05	0.896102740239443	0.0234452562722247
350	0.3	0.2	0.05	0.896414561390899	0.0216156412752603
400	0.3	0.2	0.05	0.900343303136878	0.0212233114359246
450	0.3	0.2	0.05	0.907546577153717	0.022829897085486
500	0.3	0.2	0.05	0.916977104956156	0.0258706480548248
50	0.3	0.3	0.05	0.85063168148348	0.032954107139524
100	0.3	0.3	0.05	0.876015014642317	0.0298512242666502
150	0.3	0.3	0.05	0.887831569719331	0.0269361290115216
200	0.3	0.3	0.05	0.890981209852065	0.0241047305285366
250	0.3	0.3	0.05	0.889793927094513	0.021660170742838
300	0.3	0.3	0.05	0.889404915651855	0.0198084461337347
350	0.3	0.3	0.05	0.890213807002345	0.0179923992102821
400	0.3	0.3	0.05	0.892902842272776	0.0164738481697842
450	0.3	0.3	0.05	0.896899751288504	0.0153492869872664
500	0.3	0.3	0.05	0.902588309041875	0.0143898940786115
50	0.3	0.4	0.05	0.817284938427698	0.026137798431985
100	0.3	0.4	0.05	0.849742594562581	0.0216130989984979
150	0.3	0.4	0.05	0.86492667921971	0.0172813929881466
200	0.3	0.4	0.05	0.869894525078958	0.0136136823858588
250	0.3	0.4	0.05	0.869445248088701	0.0107620483377151
300	0.3	0.4	0.05	0.869872832726802	0.00871828236271801
350	0.3	0.4	0.05	0.872640120495638	0.00728947258580044
400	0.3	0.4	0.05	0.877827378453106	0.00645498775317227
