cutoff	n2	d2
0.05	50	0.768962258252519
0.05	100	0.575612530288062
0.05	150	0.483108364448317
0.05	200	0.447490062523973
0.05	250	0.419820862845947
0.05	300	0.39508977092597
0.05	350	0.377108388974952
0.05	400	0.370982341201746
0.05	450	0.376104512746193
0.05	500	0.362987399708964
0.2	50	0.59160492799449
0.2	100	0.447695026315887
0.2	150	0.364017369259997
0.2	200	0.337776886752232
0.2	250	0.311083560143164
0.2	300	0.285580230047617
0.2	350	0.270067518840509
0.2	400	0.252209563058616
0.2	450	0.260263411415703
0.2	500	0.250326917995888
