near	d1	n2	fpr	fnr
0.1	0.1	50	0.0303656830714723	0.949435509893608
0.1	0.1	100	0.0274020058719413	0.909062414951434
0.1	0.1	150	0.0306447680249409	0.866315167566268
0.1	0.1	200	0.0382377321076133	0.826356266593694
0.1	0.1	250	0.0445238387851554	0.78920050574777
0.1	0.1	300	0.0513242134906881	0.75416138672954
0.1	0.1	350	0.0589267866395621	0.720165562377773
0.1	0.1	400	0.0699898090569473	0.691242967427497
0.1	0.1	450	0.0881077798706133	0.673837390405503
0.1	0.1	500	0.111759434363118	0.663043341127432
0.1	0.2	50	0.0303656830714723	0.821135974006146
0.1	0.2	100	0.0274020058719413	0.730582736033952
0.1	0.2	150	0.0306447680249409	0.638990854357112
0.1	0.2	200	0.0382377321076133	0.545833150440639
0.1	0.2	250	0.0445238387851554	0.456390632842666
0.1	0.2	300	0.0513242134906881	0.378854035527708
0.1	0.2	350	0.0589267866395621	0.321510131800763
0.1	0.2	400	0.0699898090569473	0.285235735256545
0.1	0.2	450	0.0881077798706133	0.260976514589013
0.1	0.2	500	0.111759434363118	0.238371855083155
0.1	0.3	50	0.0303656830714723	0.633618600401382
0.1	0.3	100	0.0274020058719413	0.471555972604075
0.1	0.3	150	0.0306447680249409	0.325674642009408
0.1	0.3	200	0.0382377321076133	0.214642960833004
0.1	0.3	250	0.0445238387851554	0.139949483731618
0.1	0.3	300	0.0513242134906881	0.0949774739074908
0.1	0.3	350	0.0589267866395621	0.0692589119587575
0.1	0.3	400	0.0699898090569473	0.0529901907826897
0.1	0.3	450	0.0881077798706133	0.0403475768331438
0.1	0.3	500	0.111759434363118	0.0288518430918047
0.1	0.4	50	0.0303656830714723	0.421498595640005
0.1	0.4	100	0.0274020058719413	0.270446410971721
0.1	0.4	150	0.0306447680249409	0.14580154182245
0.1	0.4	200	0.0382377321076133	0.0632808926317215
0.1	0.4	250	0.0445238387851554	0.0192614293752845
0.1	0.4	300	0.0513242134906881	0.00101683030707646
0.1	0.4	350	0.0589267866395621	0
0.1	0.4	400	0.0699898090569473	0
0.1	0.4	450	0.0881077798706133	0.00172723111454189
0.1	0.4	500	0.111759434363118	0.00513596120827693
0.1	0.5	50	0.0303656830714723	0.229717246719078
0.1	0.5	100	0.0274020058719413	0.132167186036697
0.1	0.5	150	0.0306447680249409	0.0580614237340654
0.1	0.5	200	0.0382377321076133	0.0143542286211039
0.1	0.5	250	0.0445238387851554	0
0.1	0.5	300	0.0513242134906881	0
0.1	0.5	350	0.0589267866395621	0
0.1	0.5	400	0.0699898090569473	0
0.1	0.5	450	0.0881077798706133	0
0.1	0.5	500	0.111759434363118	0.00134562268238192
0.1	0.6	50	0.0303656830714723	0.123322511112558
0.1	0.6	100	0.0274020058719413	0.0661204610166424
0.1	0.6	150	0.0306447680249409	0.0251883078783414
0.1	0.6	200	0.0382377321076133	0.00363178345596762
0.1	0.6	250	0.0445238387851554	0
0.1	0.6	300	0.0513242134906881	0
0.1	0.6	350	0.0589267866395621	0
0.1	0.6	400	0.0699898090569473	0.000117170825885765
0.1	0.6	450	0.0881077798706133	0.00189227232722011
0.1	0.6	500	0.111759434363118	0.00329137677956058
0.1	0.7	50	0.0303656830714723	0.0486523830887437
0.1	0.7	100	0.0274020058719413	0.0248623880184685
0.1	0.7	150	0.0306447680249409	0.00827449534898353
0.1	0.7	200	0.0382377321076133	0
0.1	0.7	250	0.0445238387851554	0
0.1	0.7	300	0.0513242134906881	0
0.1	0.7	350	0.0589267866395621	0
0.1	0.7	400	0.0699898090569473	0
0.1	0.7	450	0.0881077798706133	0
0.1	0.7	500	0.111759434363118	0.000454042438042926
0.1	0.8	50	0.0303656830714723	0.022752154941428
0.1	0.8	100	0.0274020058719413	0.0114560038867589
0.1	0.8	150	0.0306447680249409	0.00367985775559446
0.1	0.8	200	0.0382377321076133	0
0.1	0.8	250	0.0445238387851554	0
0.1	0.8	300	0.0513242134906881	0
0.1	0.8	350	0.0589267866395621	0
0.1	0.8	400	0.0699898090569473	0
0.1	0.8	450	0.0881077798706133	0
0.1	0.8	500	0.111759434363118	0.000217159512003138
0.1	0.9	50	0.0303656830714723	0.00784544264941511
0.1	0.9	100	0.0274020058719413	0.00395028170810281
0.1	0.9	150	0.0306447680249409	0.00126889576191106
0.1	0.9	200	0.0382377321076133	0
0.1	0.9	250	0.0445238387851554	0
0.1	0.9	300	0.0513242134906881	0
0.1	0.9	350	0.0589267866395621	0
0.1	0.9	400	0.0699898090569473	0
0.1	0.9	450	0.0881077798706133	0
0.1	0.9	500	0.111759434363118	7.48813684497816e-05
0.1	1	50	0.0303656830714723	0.00412471607294786
0.1	1	100	0.0274020058719413	0.00207684781881597
0.1	1	150	0.0306447680249409	0.000667117838716234
0.1	1	200	0.0382377321076133	0
0.1	1	250	0.0445238387851554	0
0.1	1	300	0.0513242134906881	0
0.1	1	350	0.0589267866395621	0
0.1	1	400	0.0699898090569473	0
0.1	1	450	0.0881077798706133	0
0.1	1	500	0.111759434363118	3.93686370305914e-05
0.3	0.1	50	0.0706422598100722	0.814580685689663
0.3	0.1	100	0.0888403878710975	0.724617032267981
