near	d1	n2	rate
0.1	0.1	NA	NA
0.1	0.2	NA	NA
0.1	0.3	329	0.0766690558201943
0.1	0.4	203	0.059985584511791
0.1	0.5	153	0.0533280362081046
0.1	0.6	116	0.0479637108690546
0.1	0.7	70	0.0406125058999415
0.1	0.8	NA	NA
0.1	0.9	NA	NA
0.1	1	NA	NA
0.2	0.1	NA	NA
0.2	0.2	NA	NA
0.2	0.3	351	0.159008766545249
0.2	0.4	203	0.112378861144602
0.2	0.5	144	0.0905867960202537
0.2	0.6	105	0.0750212422462248
0.2	0.7	65	0.058584254727684
0.2	0.8	NA	NA
0.2	0.9	NA	NA
0.2	1	NA	NA
0.3	0.1	NA	NA
0.3	0.2	487	0.294802995186492
0.3	0.3	350	0.258362669339037
0.3	0.4	201	0.190011180199484
0.3	0.5	137	0.148005191609314
0.3	0.6	96	0.117608937089271
0.3	0.7	60	0.0895442749992359
0.3	0.8	NA	NA
0.3	0.9	NA	NA
0.3	1	NA	NA
0.4	0.1	NA	NA
0.4	0.2	305	0.307440537000895
0.4	0.3	231	0.274891464305897
0.4	0.4	202	0.257472913623044
0.4	0.5	137	0.207235348671453
0.4	0.6	93	0.1662905446491
0.4	0.7	65	0.137916450947543
0.4	0.8	NA	NA
0.4	0.9	NA	NA
0.4	1	NA	NA
0.5	0.1	380	0.364758088955831
0.5	0.2	219	0.31561824859376
0.5	0.3	174	0.287396310922229
0.5	0.4	154	0.271688947103783
0.5	0.5	139	0.258540740797929
0.5	0.6	104	0.224917222827458
0.5	0.7	74	0.193143150394387
0.5	0.8	NA	NA
0.5	0.9	NA	NA
0.5	1	NA	NA
0.6	0.1	272	0.367266738802016
0.6	0.2	172	0.321210504615307
0.6	0.3	137	0.294942807669337
0.6	0.4	120	0.28025834029442
0.6	0.5	119	0.279480414974072
0.6	0.6	119	0.279050372636582
0.6	0.7	87	0.248145690866936
0.6	0.8	57	0.217151619579826
0.6	0.9	NA	NA
0.6	1	NA	NA
0.7	0.1	215	0.368963688321658
0.7	0.2	138	0.325100197542405
0.7	0.3	107	0.300196193386636
0.7	0.4	105	0.298238687657583
0.7	0.5	104	0.297427348187516
0.7	0.6	103	0.297079473139368
0.7	0.7	103	0.29712729419634
0.7	0.8	72	0.268442805403675
0.7	0.9	NA	NA
0.7	1	NA	NA
0.8	0.1	177	0.370366624009401
0.8	0.2	110	0.328024695593378
0.8	0.3	94	0.315609489907992
0.8	0.4	92	0.31381474386663
0.8	0.5	91	0.312975394864137
0.8	0.6	91	0.312707512166642
0.8	0.7	91	0.312776300128682
0.8	0.8	90	0.312545962515899
0.8	0.9	60	0.287193315911233
0.8	1	NA	NA
0.9	0.1	149	0.371567129691704
0.9	0.2	99	0.340450102722255
0.9	0.3	84	0.32900729754624
0.9	0.4	81	0.327365624165527
0.9	0.5	80	0.326506566948579
0.9	0.6	80	0.326309559651129
0.9	0.7	80	0.326392106466001
0.9	0.8	80	0.326173454337985
0.9	0.9	81	0.326687256323281
0.9	1	NA	NA
1	0.1	138	0.380201754313019
1	0.2	90	0.351437143161678
1	0.3	75	0.340865669119956
1	0.4	72	0.339365235905732
1	0.5	71	0.338496572372033
1	0.6	71	0.338359989686791
1	0.7	71	0.338451577956772
1	0.8	71	0.338244502415481
1	0.9	72	0.338745492182642
1	1	71	0.338415334231093
