cutoff	near	d1	n2.fpr	n2.fnr
0.05	0.1	0.1	186	NA
0.2	0.1	0.1	NA	NA
0.05	0.1	0.2	211	NA
0.2	0.1	0.2	NA	NA
0.05	0.1	0.3	211	394
0.2	0.1	0.3	NA	211
0.05	0.1	0.4	211	209
0.2	0.1	0.4	NA	124
0.05	0.1	0.5	211	155
0.2	0.1	0.5	NA	65
0.05	0.1	0.6	211	114
0.2	0.1	0.6	NA	NA
0.05	0.1	0.7	211	52
0.2	0.1	0.7	NA	NA
0.05	0.1	0.8	211	NA
0.2	0.1	0.8	NA	NA
0.05	0.1	0.9	211	NA
0.2	0.1	0.9	NA	NA
0.05	0.1	1	211	NA
0.2	0.1	1	NA	NA
0.05	0.2	0.1	NA	NA
0.2	0.2	0.1	484	NA
0.05	0.2	0.2	NA	NA
0.2	0.2	0.2	479	NA
0.05	0.2	0.3	NA	NA
0.2	0.2	0.3	479	285
0.05	0.2	0.4	NA	285
0.2	0.2	0.4	479	146
0.05	0.2	0.5	NA	178
0.2	0.2	0.5	479	80
0.05	0.2	0.6	NA	129
0.2	0.2	0.6	479	NA
0.05	0.2	0.7	NA	78
0.2	0.2	0.7	479	NA
0.05	0.2	0.8	NA	NA
0.2	0.2	0.8	479	NA
0.05	0.2	0.9	NA	NA
0.2	0.2	0.9	479	NA
0.05	0.2	1	NA	NA
0.2	0.2	1	479	NA
0.05	0.3	0.1	NA	NA
0.2	0.3	0.1	218	NA
0.05	0.3	0.2	NA	NA
0.2	0.3	0.2	217	NA
0.05	0.3	0.3	NA	NA
0.2	0.3	0.3	217	NA
0.05	0.3	0.4	NA	NA
0.2	0.3	0.4	217	192
0.05	0.3	0.5	NA	239
0.2	0.3	0.5	217	104
0.05	0.3	0.6	NA	157
0.2	0.3	0.6	217	NA
0.05	0.3	0.7	NA	106
0.2	0.3	0.7	217	NA
0.05	0.3	0.8	NA	59
0.2	0.3	0.8	217	NA
0.05	0.3	0.9	NA	NA
0.2	0.3	0.9	217	NA
0.05	0.3	1	NA	NA
0.2	0.3	1	217	NA
0.05	0.4	0.1	NA	NA
0.2	0.4	0.1	129	NA
0.05	0.4	0.2	NA	NA
0.2	0.4	0.2	128	NA
0.05	0.4	0.3	NA	NA
0.2	0.4	0.3	128	443
0.05	0.4	0.4	NA	NA
0.2	0.4	0.4	128	313
0.05	0.4	0.5	NA	NA
0.2	0.4	0.5	128	143
0.05	0.4	0.6	NA	213
0.2	0.4	0.6	128	70
0.05	0.4	0.7	NA	147
0.2	0.4	0.7	128	NA
0.05	0.4	0.8	NA	105
0.2	0.4	0.8	128	NA
0.05	0.4	0.9	NA	62
0.2	0.4	0.9	128	NA
0.05	0.4	1	NA	NA
0.2	0.4	1	128	NA
0.05	0.5	0.1	NA	NA
0.2	0.5	0.1	80	NA
0.05	0.5	0.2	NA	NA
0.2	0.5	0.2	80	NA
0.05	0.5	0.3	NA	NA
0.2	0.5	0.3	80	336
0.05	0.5	0.4	NA	NA
0.2	0.5	0.4	80	253
0.05	0.5	0.5	NA	NA
0.2	0.5	0.5	80	211
0.05	0.5	0.6	NA	478
0.2	0.5	0.6	80	123
0.05	0.5	0.7	NA	213
0.2	0.5	0.7	80	70
0.05	0.5	0.8	NA	147
0.2	0.5	0.8	80	NA
0.05	0.5	0.9	NA	107
0.2	0.5	0.9	80	NA
0.05	0.5	1	NA	60
0.2	0.5	1	80	NA
0.05	0.6	0.1	NA	NA
0.2	0.6	0.1	NA	NA
0.05	0.6	0.2	NA	NA
0.2	0.6	0.2	NA	NA
0.05	0.6	0.3	NA	NA
0.2	0.6	0.3	NA	267
0.05	0.6	0.4	NA	NA
0.2	0.6	0.4	NA	214
0.05	0.6	0.5	NA	NA
0.2	0.6	0.5	NA	211
0.05	0.6	0.6	NA	NA
0.2	0.6	0.6	NA	209
0.05	0.6	0.7	NA	477
0.2	0.6	0.7	NA	123
0.05	0.6	0.8	NA	212
0.2	0.6	0.8	NA	69
0.05	0.6	0.9	NA	147
0.2	0.6	0.9	NA	NA
0.05	0.6	1	NA	106
0.2	0.6	1	NA	NA
0.05	0.7	0.1	NA	NA
0.2	0.7	0.1	NA	NA
0.05	0.7	0.2	NA	NA
0.2	0.7	0.2	NA	426
0.05	0.7	0.3	NA	NA
0.2	0.7	0.3	NA	224
0.05	0.7	0.4	NA	NA
0.2	0.7	0.4	NA	214
0.05	0.7	0.5	NA	NA
0.2	0.7	0.5	NA	211
0.05	0.7	0.6	NA	NA
0.2	0.7	0.6	NA	209
0.05	0.7	0.7	NA	NA
0.2	0.7	0.7	NA	209
0.05	0.7	0.8	NA	479
0.2	0.7	0.8	NA	123
0.05	0.7	0.9	NA	213
0.2	0.7	0.9	NA	70
0.05	0.7	1	NA	147
0.2	0.7	1	NA	NA
0.05	0.8	0.1	NA	NA
0.2	0.8	0.1	NA	NA
0.05	0.8	0.2	NA	NA
0.2	0.8	0.2	NA	340
0.05	0.8	0.3	NA	NA
0.2	0.8	0.3	NA	224
0.05	0.8	0.4	NA	NA
0.2	0.8	0.4	NA	214
0.05	0.8	0.5	NA	NA
0.2	0.8	0.5	NA	211
0.05	0.8	0.6	NA	NA
0.2	0.8	0.6	NA	209
0.05	0.8	0.7	NA	NA
0.2	0.8	0.7	NA	209
0.05	0.8	0.8	NA	NA
0.2	0.8	0.8	NA	208
0.05	0.8	0.9	NA	477
0.2	0.8	0.9	NA	124
0.05	0.8	1	NA	212
0.2	0.8	1	NA	70
0.05	0.9	0.1	NA	NA
0.2	0.9	0.1	NA	NA
0.05	0.9	0.2	NA	NA
0.2	0.9	0.2	NA	340
0.05	0.9	0.3	NA	NA
0.2	0.9	0.3	NA	224
0.05	0.9	0.4	NA	NA
0.2	0.9	0.4	NA	214
0.05	0.9	0.5	NA	NA
0.2	0.9	0.5	NA	211
0.05	0.9	0.6	NA	NA
0.2	0.9	0.6	NA	209
0.05	0.9	0.7	NA	NA
0.2	0.9	0.7	NA	209
0.05	0.9	0.8	NA	NA
0.2	0.9	0.8	NA	208
0.05	0.9	0.9	NA	NA
0.2	0.9	0.9	NA	209
0.05	0.9	1	NA	477
0.2	0.9	1	NA	123
0.05	1	0.1	NA	NA
0.2	1	0.1	NA	NA
0.05	1	0.2	NA	NA
0.2	1	0.2	NA	340
0.05	1	0.3	NA	NA
0.2	1	0.3	NA	224
0.05	1	0.4	NA	NA
0.2	1	0.4	NA	214
0.05	1	0.5	NA	NA
