n2	near	d1	prop.true	rwfpr	rwfnr
50	0.1	0.1	0.05	0.91306108244874	0.0485067609997752
100	0.1	0.1	0.05	0.89016593138798	0.0469517051839979
150	0.1	0.1	0.05	0.874895232561249	0.0454186866122799
200	0.1	0.1	0.05	0.864562463393151	0.0440067429226756
250	0.1	0.1	0.05	0.857189515938034	0.042723887912203
300	0.1	0.1	0.05	0.853554636600444	0.041565297598636
350	0.1	0.1	0.05	0.853198492018243	0.0405402501686299
400	0.1	0.1	0.05	0.854790917327853	0.0396315201751001
450	0.1	0.1	0.05	0.855812851166459	0.0387105988197229
500	0.1	0.1	0.05	0.855345685620797	0.0376830396524927
50	0.1	0.2	0.05	0.792412889686803	0.0426142362655515
100	0.1	0.2	0.05	0.747313534084068	0.0375791470638611
150	0.1	0.2	0.05	0.72023328967165	0.0327488202504289
200	0.1	0.2	0.05	0.703707332117754	0.0284280141519098
250	0.1	0.2	0.05	0.693608250211873	0.0246910589925357
300	0.1	0.2	0.05	0.691736939104239	0.0215476452477435
350	0.1	0.2	0.05	0.696415835725424	0.018957096165937
400	0.1	0.2	0.05	0.704632948144545	0.01681457077762
450	0.1	0.2	0.05	0.712557143253251	0.0149739609544624
500	0.1	0.2	0.05	0.71877058543692	0.0132860852948578
50	0.1	0.3	0.05	0.653199341634006	0.0329546769961443
100	0.1	0.3	0.05	0.617334922835888	0.0249990863029343
150	0.1	0.3	0.05	0.598523552024642	0.017752079154492
200	0.1	0.3	0.05	0.591444503424694	0.0120025962496761
250	0.1	0.3	0.05	0.592367023331233	0.00795442662493863
300	0.1	0.3	0.05	0.602719421682104	0.00536384706456569
350	0.1	0.3	0.05	0.619458710703763	0.00380683078675956
400	0.1	0.3	0.05	0.63850561168898	0.00284737753856695
450	0.1	0.3	0.05	0.655544986073421	0.00217271422781257
500	0.1	0.3	0.05	0.669457617324694	0.00160922102749805
50	0.1	0.4	0.05	0.545557536379906	0.0218711790708556
100	0.1	0.4	0.05	0.538930870233664	0.0142212000980128
150	0.1	0.4	0.05	0.539807585583126	0.00785060650746303
200	0.1	0.4	0.05	0.547476942986218	0.00352189360487092
250	0.1	0.4	0.05	0.559859799650354	0.0011359129477628
300	0.1	0.4	0.05	0.579069538774154	0.000115113354925291
350	0.1	0.4	0.05	0.603031952856725	0
400	0.1	0.4	0.05	0.626717046810797	0
450	0.1	0.4	0.05	0.647105077137931	5.43720149428441e-05
500	0.1	0.4	0.05	0.664098432336167	0.000217552091278962
50	0.1	0.5	0.05	0.479806085725835	0.012459014832657
100	0.1	0.5	0.05	0.498377851366068	0.007189803559467
150	0.1	0.5	0.05	0.516006845912177	0.00312585439283371
200	0.1	0.5	0.05	0.534543167744517	0.000730102012379574
250	0.1	0.5	0.05	0.554827873777	0
300	0.1	0.5	0.05	0.578574307155194	0
350	0.1	0.5	0.05	0.603031952856725	0
400	0.1	0.5	0.05	0.626717046810797	0
450	0.1	0.5	0.05	0.646891771875288	0
500	0.1	0.5	0.05	0.66380100405022	0.00013954331458693
50	0.1	0.6	0.05	0.445923440405469	0.00643142744926593
100	0.1	0.6	0.05	0.479479174758731	0.0034665250452953
150	0.1	0.6	0.05	0.507386347590011	0.00129319359562545
200	0.1	0.6	0.05	0.531795323758005	0.000117395738289803
250	0.1	0.6	0.05	0.554827873777	0
300	0.1	0.6	0.05	0.578574307155194	0
350	0.1	0.6	0.05	0.603031952856725	0
400	0.1	0.6	0.05	0.626717046810797	0
450	0.1	0.6	0.05	0.646891771875288	0
500	0.1	0.6	0.05	0.663543372955042	7.19060741573854e-05
50	0.1	0.7	0.05	0.427821923891603	0.00278457880455961
100	0.1	0.7	0.05	0.469846114195312	0.00144178778876882
150	0.1	0.7	0.05	0.503703409746333	0.000488979029281387
200	0.1	0.7	0.05	0.531272434909079	0
250	0.1	0.7	0.05	0.554827873777	0
300	0.1	0.7	0.05	0.578574307155194	0
350	0.1	0.7	0.05	0.603031952856725	0
400	0.1	0.7	0.05	0.626717046810797	0
450	0.1	0.7	0.05	0.646891771875288	0
500	0.1	0.7	0.05	0.663375269691692	2.77397828652533e-05
50	0.1	0.8	0.05	0.419644601763343	0.00102442925904136
100	0.1	0.8	0.05	0.465615723141394	0.000523438841572167
